Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 16890 | GridSize: 121
Generation 2 | Revalues: 22490 | GridSize: 120
Generation 3 | Revalues: 25450 | GridSize: 113
Generation 4 | Revalues: 28110 | GridSize: 125
Generation 5 | Revalues: 29940 | GridSize: 146
Generation 6 | Revalues: 31830 | GridSize: 153
Generation 7 | Revalues: 33220 | GridSize: 156
Generation 8 | Revalues: 34500 | GridSize: 164
Generation 9 | Revalues: 36630 | GridSize: 147
Generation 10 | Revalues: 37960 | GridSize: 165
Generation 11 | Revalues: 40910 | GridSize: 178
Generation 12 | Revalues: 42240 | GridSize: 184
Generation 13 | Revalues: 43620 | GridSize: 191
Generation 14 | Revalues: 45220 | GridSize: 195
Generation 15 | Revalues: 46910 | GridSize: 207
Generation 16 | Revalues: 48060 | GridSize: 203
Generation 17 | Revalues: 50320 | GridSize: 214
Generation 18 | Revalues: 52880 | GridSize: 201
Generation 19 | Revalues: 54940 | GridSize: 202
Generation 20 | Revalues: 56440 | GridSize: 203
Generation 21 | Revalues: 57880 | GridSize: 216
Generation 22 | Revalues: 59210 | GridSize: 217
Generation 23 | Revalues: 60380 | GridSize: 222
Generation 24 | Revalues: 61730 | GridSize: 221
Generation 25 | Revalues: 63090 | GridSize: 220
Generation 26 | Revalues: 64610 | GridSize: 219
Generation 27 | Revalues: 65820 | GridSize: 224
Generation 28 | Revalues: 66820 | GridSize: 235
Generation 29 | Revalues: 68250 | GridSize: 230
Generation 30 | Revalues: 69670 | GridSize: 229
Generation 31 | Revalues: 70930 | GridSize: 228
Generation 32 | Revalues: 72210 | GridSize: 229
Generation 33 | Revalues: 73800 | GridSize: 228
Generation 34 | Revalues: 75000 | GridSize: 226
Generation 35 | Revalues: 76310 | GridSize: 235
Generation 36 | Revalues: 77980 | GridSize: 240
Generation 37 | Revalues: 79750 | GridSize: 232
Generation 38 | Revalues: 81460 | GridSize: 245
Generation 39 | Revalues: 82580 | GridSize: 248
Generation 40 | Revalues: 83960 | GridSize: 258
Generation 41 | Revalues: 85120 | GridSize: 253
Generation 42 | Revalues: 86300 | GridSize: 246
Generation 43 | Revalues: 87620 | GridSize: 245
Generation 44 | Revalues: 88680 | GridSize: 254
Generation 45 | Revalues: 89880 | GridSize: 247
Generation 46 | Revalues: 91070 | GridSize: 242
Generation 47 | Revalues: 92180 | GridSize: 254
Generation 48 | Revalues: 93790 | GridSize: 262
Generation 49 | Revalues: 95080 | GridSize: 252
Generation 50 | Revalues: 96200 | GridSize: 257
Generation 51 | Revalues: 97230 | GridSize: 256
Generation 52 | Revalues: 98400 | GridSize: 263
Generation 53 | Revalues: 99540 | GridSize: 264
Generation 54 | Revalues: 100740 | GridSize: 261
Generation 55 | Revalues: 102050 | GridSize: 257
Generation 56 | Revalues: 103070 | GridSize: 267
Generation 57 | Revalues: 104270 | GridSize: 263
Generation 58 | Revalues: 105520 | GridSize: 262
Generation 59 | Revalues: 106740 | GridSize: 268
Generation 60 | Revalues: 107900 | GridSize: 255
Generation 61 | Revalues: 109060 | GridSize: 259
Generation 62 | Revalues: 110100 | GridSize: 268
Generation 63 | Revalues: 111300 | GridSize: 269
Generation 64 | Revalues: 112300 | GridSize: 279
Generation 65 | Revalues: 113640 | GridSize: 283
Generation 66 | Revalues: 114850 | GridSize: 286
Generation 67 | Revalues: 115930 | GridSize: 291
Generation 68 | Revalues: 117060 | GridSize: 299
Generation 69 | Revalues: 118650 | GridSize: 299
Generation 70 | Revalues: 119650 | GridSize: 299
Generation 71 | Revalues: 120770 | GridSize: 299
Generation 72 | Revalues: 122140 | GridSize: 298
Generation 73 | Revalues: 123160 | GridSize: 300
Generation 74 | Revalues: 124210 | GridSize: 300
Generation 75 | Revalues: 125410 | GridSize: 300
Generation 76 | Revalues: 126600 | GridSize: 296
Generation 77 | Revalues: 127620 | GridSize: 300
Generation 78 | Revalues: 128750 | GridSize: 288
Generation 79 | Revalues: 130340 | GridSize: 283
Generation 80 | Revalues: 131420 | GridSize: 289
Generation 81 | Revalues: 132440 | GridSize: 284
Generation 82 | Revalues: 133460 | GridSize: 293
Generation 83 | Revalues: 135450 | GridSize: 289
Generation 84 | Revalues: 136520 | GridSize: 286
Generation 85 | Revalues: 137540 | GridSize: 284
Generation 86 | Revalues: 138620 | GridSize: 294
Generation 87 | Revalues: 139800 | GridSize: 292
Generation 88 | Revalues: 140920 | GridSize: 284
Generation 89 | Revalues: 142030 | GridSize: 282
Generation 90 | Revalues: 143030 | GridSize: 285
Generation 91 | Revalues: 144190 | GridSize: 287
Generation 92 | Revalues: 145380 | GridSize: 291
Generation 93 | Revalues: 146420 | GridSize: 298
Generation 94 | Revalues: 147780 | GridSize: 299
Generation 95 | Revalues: 148870 | GridSize: 292
Generation 96 | Revalues: 150010 | GridSize: 293
Generation 97 | Revalues: 151030 | GridSize: 300
Generation 98 | Revalues: 152030 | GridSize: 297
Generation 99 | Revalues: 153100 | GridSize: 295
Generation 100 | Revalues: 154340 | GridSize: 294
Generation 101 | Revalues: 155430 | GridSize: 300
Generation 102 | Revalues: 156640 | GridSize: 291
Generation 103 | Revalues: 157900 | GridSize: 281
Generation 104 | Revalues: 159170 | GridSize: 277
Generation 105 | Revalues: 160250 | GridSize: 284
Generation 106 | Revalues: 161350 | GridSize: 286
Generation 107 | Revalues: 162430 | GridSize: 292
Generation 108 | Revalues: 163570 | GridSize: 296
Generation 109 | Revalues: 164990 | GridSize: 284
Generation 110 | Revalues: 166130 | GridSize: 296
Generation 111 | Revalues: 167230 | GridSize: 296
Generation 112 | Revalues: 168230 | GridSize: 292
Generation 113 | Revalues: 169390 | GridSize: 296
Generation 114 | Revalues: 170410 | GridSize: 300
Generation 115 | Revalues: 171600 | GridSize: 300
Generation 116 | Revalues: 172650 | GridSize: 290
Generation 117 | Revalues: 173750 | GridSize: 295
Generation 118 | Revalues: 174780 | GridSize: 300
Generation 119 | Revalues: 175860 | GridSize: 300
Generation 120 | Revalues: 176950 | GridSize: 296
Generation 121 | Revalues: 178210 | GridSize: 296
Generation 122 | Revalues: 179440 | GridSize: 296
Generation 123 | Revalues: 180590 | GridSize: 300
Generation 124 | Revalues: 181740 | GridSize: 300
Generation 125 | Revalues: 183060 | GridSize: 295
Generation 126 | Revalues: 184130 | GridSize: 297
Generation 127 | Revalues: 185200 | GridSize: 298
Generation 128 | Revalues: 186240 | GridSize: 298
Generation 129 | Revalues: 187340 | GridSize: 293
Generation 130 | Revalues: 188470 | GridSize: 292
Generation 131 | Revalues: 189510 | GridSize: 299
Generation 132 | Revalues: 190640 | GridSize: 299
Generation 133 | Revalues: 191640 | GridSize: 300
Generation 134 | Revalues: 192690 | GridSize: 298
Generation 135 | Revalues: 193700 | GridSize: 298
Generation 136 | Revalues: 194830 | GridSize: 300
Generation 137 | Revalues: 195880 | GridSize: 294
Generation 138 | Revalues: 196900 | GridSize: 300
Generation 139 | Revalues: 198010 | GridSize: 300
Generation 140 | Revalues: 199200 | GridSize: 299
Generation 141 | Revalues: 200310 | GridSize: 298
Generation 142 | Revalues: 201970 | GridSize: 300
Generation 143 | Revalues: 203100 | GridSize: 300
Generation 144 | Revalues: 204260 | GridSize: 290
Generation 145 | Revalues: 205320 | GridSize: 296
Generation 146 | Revalues: 206360 | GridSize: 298
Generation 147 | Revalues: 207460 | GridSize: 300
Generation 148 | Revalues: 208490 | GridSize: 300
Generation 149 | Revalues: 209530 | GridSize: 300
Generation 150 | Revalues: 210550 | GridSize: 297
Generation 151 | Revalues: 211690 | GridSize: 300
Generation 152 | Revalues: 212710 | GridSize: 297
Generation 153 | Revalues: 213860 | GridSize: 299
Generation 154 | Revalues: 215050 | GridSize: 300
Generation 155 | Revalues: 216240 | GridSize: 299
Generation 156 | Revalues: 217250 | GridSize: 300
Generation 157 | Revalues: 218330 | GridSize: 300
Generation 158 | Revalues: 219460 | GridSize: 300
Generation 159 | Revalues: 220530 | GridSize: 299
Generation 160 | Revalues: 221540 | GridSize: 299
Generation 161 | Revalues: 222630 | GridSize: 298
