Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 10930 | GridSize: 116
Generation 2 | Revalues: 12960 | GridSize: 137
Generation 3 | Revalues: 14430 | GridSize: 151
Generation 4 | Revalues: 15970 | GridSize: 148
Generation 5 | Revalues: 17450 | GridSize: 159
Generation 6 | Revalues: 18880 | GridSize: 176
Generation 7 | Revalues: 20650 | GridSize: 182
Generation 8 | Revalues: 22450 | GridSize: 200
Generation 9 | Revalues: 23500 | GridSize: 202
Generation 10 | Revalues: 24670 | GridSize: 205
Generation 11 | Revalues: 26080 | GridSize: 185
Generation 12 | Revalues: 27250 | GridSize: 187
Generation 13 | Revalues: 28470 | GridSize: 201
Generation 14 | Revalues: 29800 | GridSize: 205
Generation 15 | Revalues: 31140 | GridSize: 206
Generation 16 | Revalues: 32250 | GridSize: 209
Generation 17 | Revalues: 33570 | GridSize: 213
Generation 18 | Revalues: 34630 | GridSize: 221
Generation 19 | Revalues: 36010 | GridSize: 229
Generation 20 | Revalues: 37100 | GridSize: 223
Generation 21 | Revalues: 38180 | GridSize: 236
Generation 22 | Revalues: 39330 | GridSize: 239
Generation 23 | Revalues: 40470 | GridSize: 253
Generation 24 | Revalues: 41630 | GridSize: 256
Generation 25 | Revalues: 42630 | GridSize: 268
Generation 26 | Revalues: 44110 | GridSize: 267
Generation 27 | Revalues: 45180 | GridSize: 272
Generation 28 | Revalues: 46720 | GridSize: 259
Generation 29 | Revalues: 47940 | GridSize: 268
Generation 30 | Revalues: 49020 | GridSize: 265
Generation 31 | Revalues: 50100 | GridSize: 272
Generation 32 | Revalues: 51280 | GridSize: 262
Generation 33 | Revalues: 52440 | GridSize: 273
Generation 34 | Revalues: 53870 | GridSize: 275
Generation 35 | Revalues: 55010 | GridSize: 271
Generation 36 | Revalues: 56130 | GridSize: 274
Generation 37 | Revalues: 57270 | GridSize: 284
Generation 38 | Revalues: 58520 | GridSize: 270
Generation 39 | Revalues: 59630 | GridSize: 275
Generation 40 | Revalues: 61190 | GridSize: 275
Generation 41 | Revalues: 62330 | GridSize: 289
Generation 42 | Revalues: 63390 | GridSize: 295
Generation 43 | Revalues: 64850 | GridSize: 292
Generation 44 | Revalues: 66070 | GridSize: 272
Generation 45 | Revalues: 67310 | GridSize: 285
Generation 46 | Revalues: 68590 | GridSize: 287
Generation 47 | Revalues: 69740 | GridSize: 290
Generation 48 | Revalues: 70840 | GridSize: 285
Generation 49 | Revalues: 71850 | GridSize: 284
Generation 50 | Revalues: 73140 | GridSize: 278
Generation 51 | Revalues: 74310 | GridSize: 281
Generation 52 | Revalues: 75390 | GridSize: 285
Generation 53 | Revalues: 76460 | GridSize: 277
Generation 54 | Revalues: 77520 | GridSize: 282
Generation 55 | Revalues: 78550 | GridSize: 286
Generation 56 | Revalues: 79550 | GridSize: 294
Generation 57 | Revalues: 80570 | GridSize: 292
Generation 58 | Revalues: 81630 | GridSize: 295
Generation 59 | Revalues: 82900 | GridSize: 293
Generation 60 | Revalues: 84000 | GridSize: 287
Generation 61 | Revalues: 85190 | GridSize: 289
Generation 62 | Revalues: 86240 | GridSize: 298
Generation 63 | Revalues: 87260 | GridSize: 300
Generation 64 | Revalues: 88510 | GridSize: 297
Generation 65 | Revalues: 89740 | GridSize: 300
Generation 66 | Revalues: 90830 | GridSize: 300
Generation 67 | Revalues: 91970 | GridSize: 300
Generation 68 | Revalues: 93240 | GridSize: 300
Generation 69 | Revalues: 94310 | GridSize: 297
Generation 70 | Revalues: 95340 | GridSize: 297
Generation 71 | Revalues: 96370 | GridSize: 296
Generation 72 | Revalues: 97480 | GridSize: 300
Generation 73 | Revalues: 98570 | GridSize: 296
Generation 74 | Revalues: 99770 | GridSize: 300
Generation 75 | Revalues: 100820 | GridSize: 300
Generation 76 | Revalues: 101930 | GridSize: 299
Generation 77 | Revalues: 102930 | GridSize: 297
Generation 78 | Revalues: 103970 | GridSize: 298
Generation 79 | Revalues: 105180 | GridSize: 297
Generation 80 | Revalues: 106220 | GridSize: 298
Generation 81 | Revalues: 107350 | GridSize: 296
Generation 82 | Revalues: 108590 | GridSize: 296
Generation 83 | Revalues: 109600 | GridSize: 296
Generation 84 | Revalues: 110660 | GridSize: 295
Generation 85 | Revalues: 111680 | GridSize: 299
Generation 86 | Revalues: 112690 | GridSize: 297
Generation 87 | Revalues: 113740 | GridSize: 295
Generation 88 | Revalues: 114760 | GridSize: 298
Generation 89 | Revalues: 115820 | GridSize: 299
Generation 90 | Revalues: 116880 | GridSize: 297
Generation 91 | Revalues: 117980 | GridSize: 297
Generation 92 | Revalues: 119060 | GridSize: 299
Generation 93 | Revalues: 120070 | GridSize: 300
Generation 94 | Revalues: 121100 | GridSize: 299
Generation 95 | Revalues: 122130 | GridSize: 299
Generation 96 | Revalues: 123170 | GridSize: 298
Generation 97 | Revalues: 124210 | GridSize: 293
Generation 98 | Revalues: 125270 | GridSize: 299
Generation 99 | Revalues: 126350 | GridSize: 300
Generation 100 | Revalues: 127350 | GridSize: 300
Generation 101 | Revalues: 128350 | GridSize: 300
Generation 102 | Revalues: 129430 | GridSize: 299
Generation 103 | Revalues: 130430 | GridSize: 300
Generation 104 | Revalues: 131500 | GridSize: 299
Generation 105 | Revalues: 132530 | GridSize: 300
Generation 106 | Revalues: 133630 | GridSize: 299
Generation 107 | Revalues: 134690 | GridSize: 300
Generation 108 | Revalues: 135900 | GridSize: 298
Generation 109 | Revalues: 137050 | GridSize: 298
Generation 110 | Revalues: 138130 | GridSize: 300
Generation 111 | Revalues: 139150 | GridSize: 299
Generation 112 | Revalues: 140280 | GridSize: 300
Generation 113 | Revalues: 141290 | GridSize: 299
Generation 114 | Revalues: 142440 | GridSize: 300
Generation 115 | Revalues: 143630 | GridSize: 290
Generation 116 | Revalues: 144680 | GridSize: 296
Generation 117 | Revalues: 145710 | GridSize: 298
Generation 118 | Revalues: 146770 | GridSize: 297
Generation 119 | Revalues: 147770 | GridSize: 300
Generation 120 | Revalues: 148910 | GridSize: 299
Generation 121 | Revalues: 150100 | GridSize: 298
Generation 122 | Revalues: 151100 | GridSize: 300
Generation 123 | Revalues: 152100 | GridSize: 299
Generation 124 | Revalues: 153140 | GridSize: 299
Generation 125 | Revalues: 154150 | GridSize: 297
Generation 126 | Revalues: 155170 | GridSize: 300
Generation 127 | Revalues: 156190 | GridSize: 300
Generation 128 | Revalues: 157310 | GridSize: 298
Generation 129 | Revalues: 158460 | GridSize: 296
Generation 130 | Revalues: 159560 | GridSize: 297
Generation 131 | Revalues: 160620 | GridSize: 299
Generation 132 | Revalues: 161680 | GridSize: 300
Generation 133 | Revalues: 162780 | GridSize: 298
Generation 134 | Revalues: 163790 | GridSize: 299
Generation 135 | Revalues: 164850 | GridSize: 299
Generation 136 | Revalues: 165950 | GridSize: 300
Generation 137 | Revalues: 166950 | GridSize: 300
