Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 18210 | GridSize: 253
Generation 2 | Revalues: 22880 | GridSize: 267
Generation 3 | Revalues: 25520 | GridSize: 270
Generation 4 | Revalues: 28130 | GridSize: 295
Generation 5 | Revalues: 29720 | GridSize: 289
Generation 6 | Revalues: 31170 | GridSize: 292
Generation 7 | Revalues: 32710 | GridSize: 290
Generation 8 | Revalues: 35510 | GridSize: 290
Generation 9 | Revalues: 37190 | GridSize: 291
Generation 10 | Revalues: 38490 | GridSize: 297
Generation 11 | Revalues: 40110 | GridSize: 289
Generation 12 | Revalues: 41550 | GridSize: 298
Generation 13 | Revalues: 43250 | GridSize: 298
Generation 14 | Revalues: 44970 | GridSize: 294
Generation 15 | Revalues: 46070 | GridSize: 300
Generation 16 | Revalues: 47230 | GridSize: 296
Generation 17 | Revalues: 49230 | GridSize: 300
Generation 18 | Revalues: 50880 | GridSize: 300
Generation 19 | Revalues: 52420 | GridSize: 297
Generation 20 | Revalues: 53620 | GridSize: 300
Generation 21 | Revalues: 54840 | GridSize: 298
Generation 22 | Revalues: 56470 | GridSize: 299
Generation 23 | Revalues: 58260 | GridSize: 297
Generation 24 | Revalues: 59710 | GridSize: 300
Generation 25 | Revalues: 61000 | GridSize: 300
Generation 26 | Revalues: 62200 | GridSize: 300
Generation 27 | Revalues: 63620 | GridSize: 300
Generation 28 | Revalues: 65450 | GridSize: 284
Generation 29 | Revalues: 66790 | GridSize: 283
Generation 30 | Revalues: 68130 | GridSize: 296
Generation 31 | Revalues: 70300 | GridSize: 295
Generation 32 | Revalues: 71700 | GridSize: 299
Generation 33 | Revalues: 72910 | GridSize: 300
Generation 34 | Revalues: 74380 | GridSize: 300
Generation 35 | Revalues: 75850 | GridSize: 300
Generation 36 | Revalues: 78000 | GridSize: 287
Generation 37 | Revalues: 79350 | GridSize: 299
Generation 38 | Revalues: 80520 | GridSize: 294
Generation 39 | Revalues: 82110 | GridSize: 300
Generation 40 | Revalues: 83870 | GridSize: 295
Generation 41 | Revalues: 85120 | GridSize: 300
Generation 42 | Revalues: 86510 | GridSize: 297
Generation 43 | Revalues: 87850 | GridSize: 300
Generation 44 | Revalues: 89620 | GridSize: 295
Generation 45 | Revalues: 90830 | GridSize: 297
Generation 46 | Revalues: 91940 | GridSize: 300
Generation 47 | Revalues: 93030 | GridSize: 300
Generation 48 | Revalues: 94290 | GridSize: 299
Generation 49 | Revalues: 95420 | GridSize: 300
Generation 50 | Revalues: 97020 | GridSize: 297
Generation 51 | Revalues: 98220 | GridSize: 298
Generation 52 | Revalues: 99280 | GridSize: 300
Generation 53 | Revalues: 100410 | GridSize: 300
Generation 54 | Revalues: 101860 | GridSize: 299
Generation 55 | Revalues: 103690 | GridSize: 300
Generation 56 | Revalues: 104780 | GridSize: 300
Generation 57 | Revalues: 106200 | GridSize: 300
Generation 58 | Revalues: 107450 | GridSize: 298
Generation 59 | Revalues: 108690 | GridSize: 300
Generation 60 | Revalues: 109910 | GridSize: 300
Generation 61 | Revalues: 111510 | GridSize: 300
Generation 62 | Revalues: 113600 | GridSize: 295
Generation 63 | Revalues: 114790 | GridSize: 300
Generation 64 | Revalues: 115900 | GridSize: 300
Generation 65 | Revalues: 117030 | GridSize: 298
Generation 66 | Revalues: 118080 | GridSize: 300
Generation 67 | Revalues: 119180 | GridSize: 300
Generation 68 | Revalues: 120420 | GridSize: 300
Generation 69 | Revalues: 121600 | GridSize: 297
Generation 70 | Revalues: 122870 | GridSize: 297
Generation 71 | Revalues: 123930 | GridSize: 300
Generation 72 | Revalues: 125180 | GridSize: 300
Generation 73 | Revalues: 126510 | GridSize: 300
Generation 74 | Revalues: 127760 | GridSize: 300
Generation 75 | Revalues: 128820 | GridSize: 300
Generation 76 | Revalues: 130000 | GridSize: 300
Generation 77 | Revalues: 131130 | GridSize: 300
Generation 78 | Revalues: 132230 | GridSize: 299
Generation 79 | Revalues: 133480 | GridSize: 300
Generation 80 | Revalues: 134830 | GridSize: 297
Generation 81 | Revalues: 136090 | GridSize: 299
Generation 82 | Revalues: 137310 | GridSize: 293
Generation 83 | Revalues: 138450 | GridSize: 300
Generation 84 | Revalues: 139590 | GridSize: 300
Generation 85 | Revalues: 140740 | GridSize: 300
Generation 86 | Revalues: 141850 | GridSize: 300
Generation 87 | Revalues: 142980 | GridSize: 298
Generation 88 | Revalues: 143990 | GridSize: 299
Generation 89 | Revalues: 145050 | GridSize: 300
Generation 90 | Revalues: 146270 | GridSize: 300
Generation 91 | Revalues: 147320 | GridSize: 299
Generation 92 | Revalues: 148370 | GridSize: 300
Generation 93 | Revalues: 149490 | GridSize: 300
Generation 94 | Revalues: 150610 | GridSize: 300
Generation 95 | Revalues: 151630 | GridSize: 300
Generation 96 | Revalues: 152650 | GridSize: 300
Generation 97 | Revalues: 153800 | GridSize: 300
