Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 18240 | GridSize: 149
Generation 2 | Revalues: 21350 | GridSize: 166
Generation 3 | Revalues: 24620 | GridSize: 189
Generation 4 | Revalues: 28540 | GridSize: 198
Generation 5 | Revalues: 30120 | GridSize: 192
Generation 6 | Revalues: 33010 | GridSize: 200
Generation 7 | Revalues: 35290 | GridSize: 197
Generation 8 | Revalues: 37510 | GridSize: 200
Generation 9 | Revalues: 39000 | GridSize: 191
Generation 10 | Revalues: 40610 | GridSize: 195
Generation 11 | Revalues: 42910 | GridSize: 191
Generation 12 | Revalues: 44370 | GridSize: 197
Generation 13 | Revalues: 45700 | GridSize: 209
Generation 14 | Revalues: 48000 | GridSize: 222
Generation 15 | Revalues: 49420 | GridSize: 232
Generation 16 | Revalues: 50760 | GridSize: 232
Generation 17 | Revalues: 52150 | GridSize: 237
Generation 18 | Revalues: 53950 | GridSize: 235
Generation 19 | Revalues: 57470 | GridSize: 258
Generation 20 | Revalues: 59030 | GridSize: 251
Generation 21 | Revalues: 60430 | GridSize: 261
Generation 22 | Revalues: 61930 | GridSize: 268
Generation 23 | Revalues: 63170 | GridSize: 263
Generation 24 | Revalues: 64700 | GridSize: 252
Generation 25 | Revalues: 65860 | GridSize: 264
Generation 26 | Revalues: 67650 | GridSize: 279
Generation 27 | Revalues: 69070 | GridSize: 287
Generation 28 | Revalues: 70820 | GridSize: 284
Generation 29 | Revalues: 72140 | GridSize: 278
Generation 30 | Revalues: 73480 | GridSize: 285
Generation 31 | Revalues: 74820 | GridSize: 283
Generation 32 | Revalues: 76390 | GridSize: 282
Generation 33 | Revalues: 77700 | GridSize: 296
Generation 34 | Revalues: 79020 | GridSize: 297
Generation 35 | Revalues: 80830 | GridSize: 285
Generation 36 | Revalues: 82190 | GridSize: 289
Generation 37 | Revalues: 83440 | GridSize: 300
Generation 38 | Revalues: 84950 | GridSize: 292
Generation 39 | Revalues: 86250 | GridSize: 274
Generation 40 | Revalues: 87310 | GridSize: 279
Generation 41 | Revalues: 89160 | GridSize: 276
Generation 42 | Revalues: 90770 | GridSize: 272
Generation 43 | Revalues: 91840 | GridSize: 288
Generation 44 | Revalues: 93580 | GridSize: 289
Generation 45 | Revalues: 94810 | GridSize: 297
Generation 46 | Revalues: 96200 | GridSize: 297
Generation 47 | Revalues: 97620 | GridSize: 286
Generation 48 | Revalues: 99000 | GridSize: 298
Generation 49 | Revalues: 100120 | GridSize: 300
Generation 50 | Revalues: 101780 | GridSize: 300
Generation 51 | Revalues: 103200 | GridSize: 300
Generation 52 | Revalues: 104690 | GridSize: 292
Generation 53 | Revalues: 106020 | GridSize: 299
Generation 54 | Revalues: 107140 | GridSize: 294
Generation 55 | Revalues: 108360 | GridSize: 298
Generation 56 | Revalues: 109920 | GridSize: 300
Generation 57 | Revalues: 111250 | GridSize: 300
Generation 58 | Revalues: 112690 | GridSize: 300
Generation 59 | Revalues: 113900 | GridSize: 300
Generation 60 | Revalues: 115180 | GridSize: 300
Generation 61 | Revalues: 116320 | GridSize: 300
Generation 62 | Revalues: 117570 | GridSize: 297
Generation 63 | Revalues: 118670 | GridSize: 300
Generation 64 | Revalues: 120100 | GridSize: 300
Generation 65 | Revalues: 121200 | GridSize: 300
Generation 66 | Revalues: 122360 | GridSize: 300
Generation 67 | Revalues: 123580 | GridSize: 294
Generation 68 | Revalues: 124690 | GridSize: 300
Generation 69 | Revalues: 125730 | GridSize: 299
Generation 70 | Revalues: 126820 | GridSize: 300
Generation 71 | Revalues: 127980 | GridSize: 300
Generation 72 | Revalues: 129050 | GridSize: 295
Generation 73 | Revalues: 130260 | GridSize: 300
Generation 74 | Revalues: 131400 | GridSize: 300
Generation 75 | Revalues: 132770 | GridSize: 298
Generation 76 | Revalues: 134110 | GridSize: 285
Generation 77 | Revalues: 135340 | GridSize: 284
Generation 78 | Revalues: 136610 | GridSize: 285
Generation 79 | Revalues: 137810 | GridSize: 285
Generation 80 | Revalues: 138990 | GridSize: 293
Generation 81 | Revalues: 140160 | GridSize: 296
Generation 82 | Revalues: 141230 | GridSize: 298
Generation 83 | Revalues: 142380 | GridSize: 297
Generation 84 | Revalues: 143790 | GridSize: 299
Generation 85 | Revalues: 144870 | GridSize: 300
Generation 86 | Revalues: 145940 | GridSize: 298
Generation 87 | Revalues: 147440 | GridSize: 293
Generation 88 | Revalues: 148680 | GridSize: 299
Generation 89 | Revalues: 150290 | GridSize: 295
Generation 90 | Revalues: 151620 | GridSize: 293
Generation 91 | Revalues: 152820 | GridSize: 300
Generation 92 | Revalues: 154130 | GridSize: 300
Generation 93 | Revalues: 155250 | GridSize: 298
Generation 94 | Revalues: 156880 | GridSize: 300
Generation 95 | Revalues: 158850 | GridSize: 298
Generation 96 | Revalues: 160250 | GridSize: 295
Generation 97 | Revalues: 161610 | GridSize: 297
Generation 98 | Revalues: 162860 | GridSize: 300
Generation 99 | Revalues: 163970 | GridSize: 300
Generation 100 | Revalues: 165180 | GridSize: 300
Generation 101 | Revalues: 166510 | GridSize: 300
Generation 102 | Revalues: 167710 | GridSize: 292
Generation 103 | Revalues: 169290 | GridSize: 292
Generation 104 | Revalues: 171600 | GridSize: 294
Generation 105 | Revalues: 172920 | GridSize: 297
Generation 106 | Revalues: 173960 | GridSize: 298
Generation 107 | Revalues: 175250 | GridSize: 300
Generation 108 | Revalues: 176990 | GridSize: 297
Generation 109 | Revalues: 178090 | GridSize: 300
Generation 110 | Revalues: 179280 | GridSize: 300
Generation 111 | Revalues: 180310 | GridSize: 300
Generation 112 | Revalues: 181610 | GridSize: 299
Generation 113 | Revalues: 182640 | GridSize: 300
Generation 114 | Revalues: 183750 | GridSize: 296
Generation 115 | Revalues: 184920 | GridSize: 300
Generation 116 | Revalues: 186130 | GridSize: 299
Generation 117 | Revalues: 187160 | GridSize: 300
Generation 118 | Revalues: 188410 | GridSize: 295
Generation 119 | Revalues: 189520 | GridSize: 299
Generation 120 | Revalues: 190720 | GridSize: 300
Generation 121 | Revalues: 191800 | GridSize: 300
Generation 122 | Revalues: 192930 | GridSize: 298
Generation 123 | Revalues: 194020 | GridSize: 296
Generation 124 | Revalues: 195060 | GridSize: 300
Generation 125 | Revalues: 196140 | GridSize: 299
Generation 126 | Revalues: 197200 | GridSize: 299
Generation 127 | Revalues: 198400 | GridSize: 300
Generation 128 | Revalues: 199480 | GridSize: 298
Generation 129 | Revalues: 200590 | GridSize: 300
Generation 130 | Revalues: 201820 | GridSize: 300
Generation 131 | Revalues: 203000 | GridSize: 300
Generation 132 | Revalues: 204190 | GridSize: 300
Generation 133 | Revalues: 205340 | GridSize: 299
Generation 134 | Revalues: 206440 | GridSize: 299
Generation 135 | Revalues: 207610 | GridSize: 300
Generation 136 | Revalues: 208930 | GridSize: 299
Generation 137 | Revalues: 210200 | GridSize: 300
Generation 138 | Revalues: 211350 | GridSize: 300
Generation 139 | Revalues: 212520 | GridSize: 299
Generation 140 | Revalues: 213650 | GridSize: 300
Generation 141 | Revalues: 214820 | GridSize: 300
Generation 142 | Revalues: 215840 | GridSize: 300
Generation 143 | Revalues: 216930 | GridSize: 297
Generation 144 | Revalues: 218140 | GridSize: 298
Generation 145 | Revalues: 219200 | GridSize: 298
Generation 146 | Revalues: 220250 | GridSize: 300
Generation 147 | Revalues: 221300 | GridSize: 297
Generation 148 | Revalues: 222510 | GridSize: 300
Generation 149 | Revalues: 223530 | GridSize: 300
Generation 150 | Revalues: 224600 | GridSize: 300
Generation 151 | Revalues: 225810 | GridSize: 300
Generation 152 | Revalues: 226910 | GridSize: 300
Generation 153 | Revalues: 227960 | GridSize: 300
Generation 154 | Revalues: 229340 | GridSize: 300
Generation 155 | Revalues: 230390 | GridSize: 299
Generation 156 | Revalues: 231440 | GridSize: 300
Generation 157 | Revalues: 232450 | GridSize: 300
Generation 158 | Revalues: 233550 | GridSize: 300
Generation 159 | Revalues: 234600 | GridSize: 300
Generation 160 | Revalues: 235770 | GridSize: 299
Generation 161 | Revalues: 236810 | GridSize: 300
Generation 162 | Revalues: 238100 | GridSize: 300
Generation 163 | Revalues: 239120 | GridSize: 300
Generation 164 | Revalues: 240250 | GridSize: 300
Generation 165 | Revalues: 241360 | GridSize: 296
Generation 166 | Revalues: 242380 | GridSize: 299
Generation 167 | Revalues: 243400 | GridSize: 299
Generation 168 | Revalues: 244440 | GridSize: 300
Generation 169 | Revalues: 245540 | GridSize: 299
Generation 170 | Revalues: 246610 | GridSize: 296
Generation 171 | Revalues: 247680 | GridSize: 298
Generation 172 | Revalues: 248840 | GridSize: 295
Generation 173 | Revalues: 250070 | GridSize: 298
Generation 174 | Revalues: 251120 | GridSize: 300
Generation 175 | Revalues: 252140 | GridSize: 300
Generation 176 | Revalues: 253360 | GridSize: 297
Generation 177 | Revalues: 254460 | GridSize: 298
Generation 178 | Revalues: 255770 | GridSize: 300
Generation 179 | Revalues: 256870 | GridSize: 300
Generation 180 | Revalues: 258000 | GridSize: 300
Generation 181 | Revalues: 259200 | GridSize: 294
Generation 182 | Revalues: 260240 | GridSize: 300
Generation 183 | Revalues: 261350 | GridSize: 299
Generation 184 | Revalues: 262600 | GridSize: 294
Generation 185 | Revalues: 263750 | GridSize: 295
Generation 186 | Revalues: 264780 | GridSize: 300
Generation 187 | Revalues: 266140 | GridSize: 300
Generation 188 | Revalues: 267250 | GridSize: 300
Generation 189 | Revalues: 268290 | GridSize: 293
Generation 190 | Revalues: 269450 | GridSize: 292
Generation 191 | Revalues: 270530 | GridSize: 295
Generation 192 | Revalues: 271710 | GridSize: 292
Generation 193 | Revalues: 272750 | GridSize: 294
Generation 194 | Revalues: 273980 | GridSize: 298
Generation 195 | Revalues: 275180 | GridSize: 300
Generation 196 | Revalues: 276350 | GridSize: 300
Generation 197 | Revalues: 277610 | GridSize: 297
Generation 198 | Revalues: 278720 | GridSize: 298
Generation 199 | Revalues: 280050 | GridSize: 296
Generation 200 | Revalues: 281480 | GridSize: 298
Generation 201 | Revalues: 282700 | GridSize: 300
Generation 202 | Revalues: 283740 | GridSize: 296
Generation 203 | Revalues: 284750 | GridSize: 300
Generation 204 | Revalues: 285860 | GridSize: 295
Generation 205 | Revalues: 286950 | GridSize: 299
Generation 206 | Revalues: 288130 | GridSize: 300
Generation 207 | Revalues: 289360 | GridSize: 298
Generation 208 | Revalues: 290760 | GridSize: 299
Generation 209 | Revalues: 291950 | GridSize: 300
Generation 210 | Revalues: 293240 | GridSize: 300
Generation 211 | Revalues: 294570 | GridSize: 296
Generation 212 | Revalues: 295800 | GridSize: 300
Generation 213 | Revalues: 296860 | GridSize: 300
Generation 214 | Revalues: 297960 | GridSize: 300
Generation 215 | Revalues: 299050 | GridSize: 300
Generation 216 | Revalues: 300410 | GridSize: 300
Generation 217 | Revalues: 301560 | GridSize: 300
Generation 218 | Revalues: 303110 | GridSize: 300
Generation 219 | Revalues: 304310 | GridSize: 300
Generation 220 | Revalues: 305860 | GridSize: 298
Generation 221 | Revalues: 306890 | GridSize: 299
Generation 222 | Revalues: 308010 | GridSize: 299
Generation 223 | Revalues: 309180 | GridSize: 298
Generation 224 | Revalues: 310220 | GridSize: 300
Generation 225 | Revalues: 311710 | GridSize: 292
Generation 226 | Revalues: 312860 | GridSize: 300
Generation 227 | Revalues: 314320 | GridSize: 300
Generation 228 | Revalues: 315430 | GridSize: 300
Generation 229 | Revalues: 316550 | GridSize: 299
Generation 230 | Revalues: 317940 | GridSize: 295
Generation 231 | Revalues: 319060 | GridSize: 296
Generation 232 | Revalues: 320410 | GridSize: 288
Generation 233 | Revalues: 321530 | GridSize: 291
Generation 234 | Revalues: 322570 | GridSize: 300
Generation 235 | Revalues: 323750 | GridSize: 300
Generation 236 | Revalues: 324780 | GridSize: 299
Generation 237 | Revalues: 326150 | GridSize: 294
Generation 238 | Revalues: 327150 | GridSize: 300
Generation 239 | Revalues: 328230 | GridSize: 298
Generation 240 | Revalues: 329340 | GridSize: 297
Generation 241 | Revalues: 330450 | GridSize: 294
Generation 242 | Revalues: 332170 | GridSize: 296
Generation 243 | Revalues: 333190 | GridSize: 300
Generation 244 | Revalues: 334280 | GridSize: 298
Generation 245 | Revalues: 335640 | GridSize: 300
Generation 246 | Revalues: 336810 | GridSize: 300
Generation 247 | Revalues: 338140 | GridSize: 297
Generation 248 | Revalues: 339200 | GridSize: 300
Generation 249 | Revalues: 340450 | GridSize: 290
Generation 250 | Revalues: 341520 | GridSize: 298
Generation 251 | Revalues: 342630 | GridSize: 294
Generation 252 | Revalues: 343630 | GridSize: 300
Generation 253 | Revalues: 344660 | GridSize: 300
Generation 254 | Revalues: 345750 | GridSize: 300
Generation 255 | Revalues: 346840 | GridSize: 296
Generation 256 | Revalues: 347980 | GridSize: 291
Generation 257 | Revalues: 348990 | GridSize: 295
Generation 258 | Revalues: 350230 | GridSize: 299
Generation 259 | Revalues: 351350 | GridSize: 298
Generation 260 | Revalues: 352490 | GridSize: 300
Generation 261 | Revalues: 353680 | GridSize: 297
Generation 262 | Revalues: 354730 | GridSize: 300
Generation 263 | Revalues: 355730 | GridSize: 299
Generation 264 | Revalues: 356780 | GridSize: 300
Generation 265 | Revalues: 357950 | GridSize: 300
Generation 266 | Revalues: 358970 | GridSize: 300
Generation 267 | Revalues: 360030 | GridSize: 300
Generation 268 | Revalues: 361030 | GridSize: 298
Generation 269 | Revalues: 362040 | GridSize: 300
