Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 27270 | GridSize: 300
Generation 2 | Revalues: 31780 | GridSize: 300
Generation 3 | Revalues: 39740 | GridSize: 300
Generation 4 | Revalues: 43170 | GridSize: 300
Generation 5 | Revalues: 45980 | GridSize: 300
Generation 6 | Revalues: 48250 | GridSize: 300
Generation 7 | Revalues: 50570 | GridSize: 300
Generation 8 | Revalues: 53050 | GridSize: 300
Generation 9 | Revalues: 55020 | GridSize: 300
Generation 10 | Revalues: 57070 | GridSize: 300
Generation 11 | Revalues: 59640 | GridSize: 300
Generation 12 | Revalues: 61930 | GridSize: 300
Generation 13 | Revalues: 63680 | GridSize: 300
Generation 14 | Revalues: 65100 | GridSize: 300
Generation 15 | Revalues: 66660 | GridSize: 300
Generation 16 | Revalues: 68410 | GridSize: 300
Generation 17 | Revalues: 70290 | GridSize: 300
Generation 18 | Revalues: 72220 | GridSize: 300
Generation 19 | Revalues: 73830 | GridSize: 300
Generation 20 | Revalues: 75380 | GridSize: 300
Generation 21 | Revalues: 77290 | GridSize: 300
Generation 22 | Revalues: 79250 | GridSize: 300
Generation 23 | Revalues: 80690 | GridSize: 300
Generation 24 | Revalues: 82470 | GridSize: 300
Generation 25 | Revalues: 84300 | GridSize: 300
Generation 26 | Revalues: 85920 | GridSize: 300
Generation 27 | Revalues: 87290 | GridSize: 300
Generation 28 | Revalues: 88570 | GridSize: 300
Generation 29 | Revalues: 90330 | GridSize: 300
Generation 30 | Revalues: 91600 | GridSize: 300
Generation 31 | Revalues: 93420 | GridSize: 300
Generation 32 | Revalues: 95060 | GridSize: 300
Generation 33 | Revalues: 96930 | GridSize: 300
Generation 34 | Revalues: 98470 | GridSize: 299
Generation 35 | Revalues: 99710 | GridSize: 300
Generation 36 | Revalues: 101480 | GridSize: 300
Generation 37 | Revalues: 103100 | GridSize: 300
Generation 38 | Revalues: 104620 | GridSize: 300
Generation 39 | Revalues: 106240 | GridSize: 300
Generation 40 | Revalues: 108660 | GridSize: 300
Generation 41 | Revalues: 110080 | GridSize: 300
Generation 42 | Revalues: 111730 | GridSize: 300
Generation 43 | Revalues: 113390 | GridSize: 300
Generation 44 | Revalues: 115070 | GridSize: 300
Generation 45 | Revalues: 116320 | GridSize: 298
Generation 46 | Revalues: 117680 | GridSize: 300
Generation 47 | Revalues: 118920 | GridSize: 300
Generation 48 | Revalues: 120240 | GridSize: 300
Generation 49 | Revalues: 121520 | GridSize: 300
Generation 50 | Revalues: 122960 | GridSize: 300
Generation 51 | Revalues: 124440 | GridSize: 300
Generation 52 | Revalues: 125810 | GridSize: 300
Generation 53 | Revalues: 127210 | GridSize: 300
Generation 54 | Revalues: 128640 | GridSize: 300
Generation 55 | Revalues: 129950 | GridSize: 300
Generation 56 | Revalues: 131370 | GridSize: 300
Generation 57 | Revalues: 132630 | GridSize: 300
Generation 58 | Revalues: 133930 | GridSize: 300
Generation 59 | Revalues: 135060 | GridSize: 300
Generation 60 | Revalues: 136500 | GridSize: 300
Generation 61 | Revalues: 137920 | GridSize: 300
Generation 62 | Revalues: 139210 | GridSize: 300
Generation 63 | Revalues: 140320 | GridSize: 300
Generation 64 | Revalues: 141510 | GridSize: 300
Generation 65 | Revalues: 142700 | GridSize: 300
Generation 66 | Revalues: 143920 | GridSize: 300
Generation 67 | Revalues: 145170 | GridSize: 300
Generation 68 | Revalues: 146420 | GridSize: 300
Generation 69 | Revalues: 147620 | GridSize: 300
Generation 70 | Revalues: 148790 | GridSize: 299
Generation 71 | Revalues: 150210 | GridSize: 300
Generation 72 | Revalues: 151630 | GridSize: 300
Generation 73 | Revalues: 152890 | GridSize: 300
Generation 74 | Revalues: 154100 | GridSize: 300
Generation 75 | Revalues: 155610 | GridSize: 300
Generation 76 | Revalues: 156930 | GridSize: 300
Generation 77 | Revalues: 158180 | GridSize: 300
Generation 78 | Revalues: 159350 | GridSize: 300
Generation 79 | Revalues: 160620 | GridSize: 300
Generation 80 | Revalues: 161960 | GridSize: 300
Generation 81 | Revalues: 163290 | GridSize: 299
Generation 82 | Revalues: 164570 | GridSize: 300
Generation 83 | Revalues: 166000 | GridSize: 300
Generation 84 | Revalues: 167300 | GridSize: 300
Generation 85 | Revalues: 168650 | GridSize: 300
Generation 86 | Revalues: 170010 | GridSize: 300
Generation 87 | Revalues: 171260 | GridSize: 300
Generation 88 | Revalues: 172510 | GridSize: 300
Generation 89 | Revalues: 173750 | GridSize: 300
Generation 90 | Revalues: 174940 | GridSize: 300
Generation 91 | Revalues: 176150 | GridSize: 300
Generation 92 | Revalues: 177320 | GridSize: 300
Generation 93 | Revalues: 178590 | GridSize: 300
Generation 94 | Revalues: 179870 | GridSize: 300
Generation 95 | Revalues: 181090 | GridSize: 300
Generation 96 | Revalues: 182400 | GridSize: 300
Generation 97 | Revalues: 183680 | GridSize: 300
Generation 98 | Revalues: 184960 | GridSize: 300
Generation 99 | Revalues: 186200 | GridSize: 300
Generation 100 | Revalues: 187260 | GridSize: 300
Generation 101 | Revalues: 188360 | GridSize: 300
Generation 102 | Revalues: 189560 | GridSize: 300
Generation 103 | Revalues: 190750 | GridSize: 299
Generation 104 | Revalues: 191900 | GridSize: 300
Generation 105 | Revalues: 192980 | GridSize: 300
Generation 106 | Revalues: 194160 | GridSize: 300
Generation 107 | Revalues: 195180 | GridSize: 300
Generation 108 | Revalues: 196490 | GridSize: 300
Generation 109 | Revalues: 197700 | GridSize: 300
Generation 110 | Revalues: 199060 | GridSize: 300
Generation 111 | Revalues: 200200 | GridSize: 300
Generation 112 | Revalues: 201400 | GridSize: 300
Generation 113 | Revalues: 202530 | GridSize: 300
Generation 114 | Revalues: 203760 | GridSize: 300
Generation 115 | Revalues: 204960 | GridSize: 300
Generation 116 | Revalues: 206150 | GridSize: 300
Generation 117 | Revalues: 207380 | GridSize: 300
Generation 118 | Revalues: 208540 | GridSize: 299
Generation 119 | Revalues: 209780 | GridSize: 300
Generation 120 | Revalues: 210810 | GridSize: 300
Generation 121 | Revalues: 211960 | GridSize: 300
Generation 122 | Revalues: 213240 | GridSize: 300
Generation 123 | Revalues: 214430 | GridSize: 300
Generation 124 | Revalues: 215710 | GridSize: 300
Generation 125 | Revalues: 216990 | GridSize: 300
Generation 126 | Revalues: 218040 | GridSize: 300
Generation 127 | Revalues: 219300 | GridSize: 300
Generation 128 | Revalues: 220510 | GridSize: 300
Generation 129 | Revalues: 221730 | GridSize: 300
Generation 130 | Revalues: 222930 | GridSize: 299
Generation 131 | Revalues: 224350 | GridSize: 300
Generation 132 | Revalues: 225510 | GridSize: 300
Generation 133 | Revalues: 226700 | GridSize: 300
Generation 134 | Revalues: 227880 | GridSize: 300
Generation 135 | Revalues: 228970 | GridSize: 300
Generation 136 | Revalues: 230180 | GridSize: 298
Generation 137 | Revalues: 231400 | GridSize: 300
Generation 138 | Revalues: 232440 | GridSize: 300
Generation 139 | Revalues: 233610 | GridSize: 299
Generation 140 | Revalues: 234730 | GridSize: 300
Generation 141 | Revalues: 236040 | GridSize: 300
Generation 142 | Revalues: 237200 | GridSize: 300
Generation 143 | Revalues: 238250 | GridSize: 300
Generation 144 | Revalues: 239310 | GridSize: 300
Generation 145 | Revalues: 240440 | GridSize: 300
Generation 146 | Revalues: 241590 | GridSize: 300
Generation 147 | Revalues: 242850 | GridSize: 300
Generation 148 | Revalues: 244010 | GridSize: 300
Generation 149 | Revalues: 245510 | GridSize: 300
Generation 150 | Revalues: 246690 | GridSize: 300
Generation 151 | Revalues: 247770 | GridSize: 300
Generation 152 | Revalues: 248870 | GridSize: 300
Generation 153 | Revalues: 249890 | GridSize: 300
Generation 154 | Revalues: 250980 | GridSize: 300
Generation 155 | Revalues: 252160 | GridSize: 300
Generation 156 | Revalues: 253250 | GridSize: 300
Generation 157 | Revalues: 254360 | GridSize: 300
Generation 158 | Revalues: 255380 | GridSize: 300
Generation 159 | Revalues: 256390 | GridSize: 300
Generation 160 | Revalues: 257640 | GridSize: 298
Generation 161 | Revalues: 258890 | GridSize: 300
Generation 162 | Revalues: 260200 | GridSize: 300
Generation 163 | Revalues: 261230 | GridSize: 300
Generation 164 | Revalues: 262440 | GridSize: 300
Generation 165 | Revalues: 263720 | GridSize: 300
Generation 166 | Revalues: 264760 | GridSize: 300
Generation 167 | Revalues: 265760 | GridSize: 300
Generation 168 | Revalues: 266880 | GridSize: 300
Generation 169 | Revalues: 268100 | GridSize: 300
Generation 170 | Revalues: 269250 | GridSize: 300
Generation 171 | Revalues: 270370 | GridSize: 300
Generation 172 | Revalues: 271450 | GridSize: 300
Generation 173 | Revalues: 272500 | GridSize: 300
Generation 174 | Revalues: 273630 | GridSize: 299
Generation 175 | Revalues: 274750 | GridSize: 300
Generation 176 | Revalues: 275800 | GridSize: 300
Generation 177 | Revalues: 276940 | GridSize: 300
Generation 178 | Revalues: 278060 | GridSize: 300
Generation 179 | Revalues: 279150 | GridSize: 300
Generation 180 | Revalues: 280410 | GridSize: 299
Generation 181 | Revalues: 281480 | GridSize: 300
Generation 182 | Revalues: 282600 | GridSize: 300
Generation 183 | Revalues: 283620 | GridSize: 300
Generation 184 | Revalues: 284830 | GridSize: 300
Generation 185 | Revalues: 285870 | GridSize: 300
Generation 186 | Revalues: 286930 | GridSize: 298
Generation 187 | Revalues: 287990 | GridSize: 300
Generation 188 | Revalues: 289030 | GridSize: 300
Generation 189 | Revalues: 290090 | GridSize: 300
Generation 190 | Revalues: 291250 | GridSize: 300
Generation 191 | Revalues: 292400 | GridSize: 300
Generation 192 | Revalues: 293540 | GridSize: 300
Generation 193 | Revalues: 294560 | GridSize: 300
Generation 194 | Revalues: 295680 | GridSize: 300
Generation 195 | Revalues: 296850 | GridSize: 300
Generation 196 | Revalues: 298020 | GridSize: 300
Generation 197 | Revalues: 299280 | GridSize: 300
Generation 198 | Revalues: 300310 | GridSize: 300
Generation 199 | Revalues: 301430 | GridSize: 300
Generation 200 | Revalues: 302580 | GridSize: 300
Generation 201 | Revalues: 303590 | GridSize: 300
