Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 28290 | GridSize: 300
Generation 2 | Revalues: 34980 | GridSize: 299
Generation 3 | Revalues: 37810 | GridSize: 300
Generation 4 | Revalues: 41010 | GridSize: 300
Generation 5 | Revalues: 42790 | GridSize: 298
Generation 6 | Revalues: 46030 | GridSize: 300
Generation 7 | Revalues: 48020 | GridSize: 300
Generation 8 | Revalues: 50310 | GridSize: 299
Generation 9 | Revalues: 51770 | GridSize: 300
Generation 10 | Revalues: 53360 | GridSize: 300
Generation 11 | Revalues: 55780 | GridSize: 300
Generation 12 | Revalues: 57980 | GridSize: 299
Generation 13 | Revalues: 60070 | GridSize: 300
Generation 14 | Revalues: 61910 | GridSize: 300
Generation 15 | Revalues: 64310 | GridSize: 300
Generation 16 | Revalues: 66050 | GridSize: 298
Generation 17 | Revalues: 68850 | GridSize: 298
Generation 18 | Revalues: 71280 | GridSize: 300
Generation 19 | Revalues: 72870 | GridSize: 300
Generation 20 | Revalues: 74260 | GridSize: 300
Generation 21 | Revalues: 76050 | GridSize: 300
Generation 22 | Revalues: 77630 | GridSize: 300
Generation 23 | Revalues: 79370 | GridSize: 299
Generation 24 | Revalues: 80730 | GridSize: 298
Generation 25 | Revalues: 81960 | GridSize: 300
Generation 26 | Revalues: 83020 | GridSize: 300
Generation 27 | Revalues: 84690 | GridSize: 300
Generation 28 | Revalues: 86250 | GridSize: 300
Generation 29 | Revalues: 87480 | GridSize: 300
Generation 30 | Revalues: 89030 | GridSize: 300
Generation 31 | Revalues: 90640 | GridSize: 299
Generation 32 | Revalues: 92270 | GridSize: 300
Generation 33 | Revalues: 93560 | GridSize: 296
Generation 34 | Revalues: 94810 | GridSize: 300
Generation 35 | Revalues: 96120 | GridSize: 300
Generation 36 | Revalues: 97420 | GridSize: 300
Generation 37 | Revalues: 99230 | GridSize: 300
Generation 38 | Revalues: 100750 | GridSize: 300
Generation 39 | Revalues: 102100 | GridSize: 300
Generation 40 | Revalues: 103590 | GridSize: 300
Generation 41 | Revalues: 104700 | GridSize: 300
Generation 42 | Revalues: 106310 | GridSize: 300
Generation 43 | Revalues: 107620 | GridSize: 299
Generation 44 | Revalues: 108980 | GridSize: 300
Generation 45 | Revalues: 110660 | GridSize: 300
Generation 46 | Revalues: 111970 | GridSize: 300
Generation 47 | Revalues: 113340 | GridSize: 300
Generation 48 | Revalues: 114950 | GridSize: 300
Generation 49 | Revalues: 116470 | GridSize: 300
Generation 50 | Revalues: 117790 | GridSize: 300
Generation 51 | Revalues: 119010 | GridSize: 298
Generation 52 | Revalues: 120320 | GridSize: 300
Generation 53 | Revalues: 121630 | GridSize: 300
Generation 54 | Revalues: 123010 | GridSize: 300
Generation 55 | Revalues: 124340 | GridSize: 300
Generation 56 | Revalues: 125470 | GridSize: 300
Generation 57 | Revalues: 126810 | GridSize: 300
Generation 58 | Revalues: 128420 | GridSize: 300
Generation 59 | Revalues: 129580 | GridSize: 300
Generation 60 | Revalues: 131070 | GridSize: 300
Generation 61 | Revalues: 132430 | GridSize: 300
Generation 62 | Revalues: 134180 | GridSize: 300
Generation 63 | Revalues: 135430 | GridSize: 300
Generation 64 | Revalues: 136720 | GridSize: 300
Generation 65 | Revalues: 138120 | GridSize: 300
Generation 66 | Revalues: 139240 | GridSize: 300
Generation 67 | Revalues: 140430 | GridSize: 300
Generation 68 | Revalues: 141660 | GridSize: 300
Generation 69 | Revalues: 142820 | GridSize: 298
Generation 70 | Revalues: 143920 | GridSize: 299
Generation 71 | Revalues: 145140 | GridSize: 300
Generation 72 | Revalues: 146380 | GridSize: 300
Generation 73 | Revalues: 147440 | GridSize: 300
Generation 74 | Revalues: 148540 | GridSize: 300
Generation 75 | Revalues: 149610 | GridSize: 300
Generation 76 | Revalues: 150700 | GridSize: 300
Generation 77 | Revalues: 151950 | GridSize: 300
Generation 78 | Revalues: 152990 | GridSize: 300
Generation 79 | Revalues: 154380 | GridSize: 299
Generation 80 | Revalues: 155770 | GridSize: 300
Generation 81 | Revalues: 157010 | GridSize: 300
Generation 82 | Revalues: 158200 | GridSize: 300
Generation 83 | Revalues: 159280 | GridSize: 299
Generation 84 | Revalues: 160590 | GridSize: 300
Generation 85 | Revalues: 161920 | GridSize: 300
Generation 86 | Revalues: 162990 | GridSize: 298
Generation 87 | Revalues: 164310 | GridSize: 300
Generation 88 | Revalues: 165460 | GridSize: 300
Generation 89 | Revalues: 166570 | GridSize: 300
Generation 90 | Revalues: 167880 | GridSize: 300
Generation 91 | Revalues: 169070 | GridSize: 299
Generation 92 | Revalues: 170290 | GridSize: 300
Generation 93 | Revalues: 171310 | GridSize: 300
Generation 94 | Revalues: 172410 | GridSize: 300
Generation 95 | Revalues: 173580 | GridSize: 300
Generation 96 | Revalues: 174810 | GridSize: 296
Generation 97 | Revalues: 175950 | GridSize: 300
Generation 98 | Revalues: 177130 | GridSize: 300
Generation 99 | Revalues: 178310 | GridSize: 300
Generation 100 | Revalues: 179490 | GridSize: 300
Generation 101 | Revalues: 180610 | GridSize: 300
Generation 102 | Revalues: 181740 | GridSize: 300
Generation 103 | Revalues: 182890 | GridSize: 300
Generation 104 | Revalues: 184010 | GridSize: 300
Generation 105 | Revalues: 185270 | GridSize: 300
Generation 106 | Revalues: 186390 | GridSize: 300
Generation 107 | Revalues: 187810 | GridSize: 300
Generation 108 | Revalues: 188980 | GridSize: 300
Generation 109 | Revalues: 190180 | GridSize: 300
Generation 110 | Revalues: 191480 | GridSize: 299
Generation 111 | Revalues: 192690 | GridSize: 295
Generation 112 | Revalues: 193820 | GridSize: 300
Generation 113 | Revalues: 195190 | GridSize: 300
Generation 114 | Revalues: 196420 | GridSize: 300
Generation 115 | Revalues: 197620 | GridSize: 300
Generation 116 | Revalues: 198780 | GridSize: 300
Generation 117 | Revalues: 200050 | GridSize: 295
Generation 118 | Revalues: 201240 | GridSize: 299
Generation 119 | Revalues: 202610 | GridSize: 300
Generation 120 | Revalues: 203760 | GridSize: 300
Generation 121 | Revalues: 204860 | GridSize: 300
Generation 122 | Revalues: 206090 | GridSize: 300
Generation 123 | Revalues: 207160 | GridSize: 300
Generation 124 | Revalues: 208390 | GridSize: 300
Generation 125 | Revalues: 209560 | GridSize: 300
Generation 126 | Revalues: 210620 | GridSize: 300
Generation 127 | Revalues: 211890 | GridSize: 297
Generation 128 | Revalues: 212970 | GridSize: 300
Generation 129 | Revalues: 214030 | GridSize: 300
Generation 130 | Revalues: 215150 | GridSize: 300
Generation 131 | Revalues: 216190 | GridSize: 300
Generation 132 | Revalues: 217260 | GridSize: 300
Generation 133 | Revalues: 218370 | GridSize: 300
Generation 134 | Revalues: 219520 | GridSize: 300
Generation 135 | Revalues: 220720 | GridSize: 300
Generation 136 | Revalues: 221880 | GridSize: 300
Generation 137 | Revalues: 223040 | GridSize: 300
Generation 138 | Revalues: 224100 | GridSize: 300
Generation 139 | Revalues: 225280 | GridSize: 297
Generation 140 | Revalues: 226510 | GridSize: 300
Generation 141 | Revalues: 227600 | GridSize: 300
Generation 142 | Revalues: 228770 | GridSize: 300
Generation 143 | Revalues: 229820 | GridSize: 300
