Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 44500 | GridSize: 300
Generation 2 | Revalues: 48290 | GridSize: 297
Generation 3 | Revalues: 52740 | GridSize: 299
Generation 4 | Revalues: 54210 | GridSize: 299
Generation 5 | Revalues: 56070 | GridSize: 298
Generation 6 | Revalues: 58760 | GridSize: 300
Generation 7 | Revalues: 60590 | GridSize: 300
Generation 8 | Revalues: 62210 | GridSize: 298
Generation 9 | Revalues: 64160 | GridSize: 300
Generation 10 | Revalues: 66840 | GridSize: 296
Generation 11 | Revalues: 68760 | GridSize: 298
Generation 12 | Revalues: 70690 | GridSize: 299
Generation 13 | Revalues: 72740 | GridSize: 300
Generation 14 | Revalues: 74300 | GridSize: 300
Generation 15 | Revalues: 76790 | GridSize: 298
Generation 16 | Revalues: 78230 | GridSize: 300
Generation 17 | Revalues: 79860 | GridSize: 300
Generation 18 | Revalues: 81780 | GridSize: 300
Generation 19 | Revalues: 83860 | GridSize: 297
Generation 20 | Revalues: 85180 | GridSize: 300
Generation 21 | Revalues: 87150 | GridSize: 300
Generation 22 | Revalues: 88820 | GridSize: 299
Generation 23 | Revalues: 90410 | GridSize: 300
Generation 24 | Revalues: 92000 | GridSize: 299
Generation 25 | Revalues: 93400 | GridSize: 300
Generation 26 | Revalues: 95350 | GridSize: 300
Generation 27 | Revalues: 96740 | GridSize: 300
Generation 28 | Revalues: 98170 | GridSize: 297
Generation 29 | Revalues: 99770 | GridSize: 298
Generation 30 | Revalues: 101570 | GridSize: 297
Generation 31 | Revalues: 102830 | GridSize: 300
Generation 32 | Revalues: 104310 | GridSize: 300
Generation 33 | Revalues: 105920 | GridSize: 300
Generation 34 | Revalues: 107300 | GridSize: 299
Generation 35 | Revalues: 108740 | GridSize: 300
Generation 36 | Revalues: 110050 | GridSize: 294
Generation 37 | Revalues: 111320 | GridSize: 300
Generation 38 | Revalues: 112550 | GridSize: 300
Generation 39 | Revalues: 114040 | GridSize: 300
Generation 40 | Revalues: 115340 | GridSize: 300
Generation 41 | Revalues: 116820 | GridSize: 300
Generation 42 | Revalues: 117980 | GridSize: 300
Generation 43 | Revalues: 119110 | GridSize: 298
Generation 44 | Revalues: 120670 | GridSize: 300
Generation 45 | Revalues: 122130 | GridSize: 300
Generation 46 | Revalues: 123590 | GridSize: 300
Generation 47 | Revalues: 124770 | GridSize: 300
Generation 48 | Revalues: 125990 | GridSize: 300
Generation 49 | Revalues: 127310 | GridSize: 300
Generation 50 | Revalues: 128990 | GridSize: 300
Generation 51 | Revalues: 130310 | GridSize: 300
Generation 52 | Revalues: 131770 | GridSize: 300
Generation 53 | Revalues: 133000 | GridSize: 300
Generation 54 | Revalues: 134610 | GridSize: 300
Generation 55 | Revalues: 136310 | GridSize: 297
Generation 56 | Revalues: 137580 | GridSize: 300
Generation 57 | Revalues: 139190 | GridSize: 299
Generation 58 | Revalues: 140620 | GridSize: 299
Generation 59 | Revalues: 142190 | GridSize: 300
Generation 60 | Revalues: 143740 | GridSize: 300
Generation 61 | Revalues: 145090 | GridSize: 300
Generation 62 | Revalues: 146600 | GridSize: 300
Generation 63 | Revalues: 148050 | GridSize: 300
Generation 64 | Revalues: 149290 | GridSize: 300
Generation 65 | Revalues: 150570 | GridSize: 300
Generation 66 | Revalues: 151820 | GridSize: 300
Generation 67 | Revalues: 153210 | GridSize: 300
Generation 68 | Revalues: 154700 | GridSize: 299
Generation 69 | Revalues: 155870 | GridSize: 300
Generation 70 | Revalues: 156960 | GridSize: 300
Generation 71 | Revalues: 159180 | GridSize: 300
Generation 72 | Revalues: 160350 | GridSize: 300
Generation 73 | Revalues: 161730 | GridSize: 300
Generation 74 | Revalues: 163270 | GridSize: 300
Generation 75 | Revalues: 164880 | GridSize: 300
Generation 76 | Revalues: 166260 | GridSize: 300
Generation 77 | Revalues: 167460 | GridSize: 300
Generation 78 | Revalues: 168650 | GridSize: 298
Generation 79 | Revalues: 169840 | GridSize: 300
Generation 80 | Revalues: 171460 | GridSize: 300
Generation 81 | Revalues: 172820 | GridSize: 300
Generation 82 | Revalues: 173990 | GridSize: 300
Generation 83 | Revalues: 175240 | GridSize: 300
Generation 84 | Revalues: 176310 | GridSize: 300
Generation 85 | Revalues: 177530 | GridSize: 298
Generation 86 | Revalues: 178700 | GridSize: 299
Generation 87 | Revalues: 180240 | GridSize: 300
Generation 88 | Revalues: 181520 | GridSize: 300
Generation 89 | Revalues: 183080 | GridSize: 300
Generation 90 | Revalues: 184690 | GridSize: 300
Generation 91 | Revalues: 185910 | GridSize: 300
Generation 92 | Revalues: 187290 | GridSize: 300
Generation 93 | Revalues: 188450 | GridSize: 298
Generation 94 | Revalues: 189940 | GridSize: 300
Generation 95 | Revalues: 191410 | GridSize: 300
Generation 96 | Revalues: 192600 | GridSize: 300
Generation 97 | Revalues: 193790 | GridSize: 300
Generation 98 | Revalues: 195080 | GridSize: 300
Generation 99 | Revalues: 196310 | GridSize: 300
Generation 100 | Revalues: 197470 | GridSize: 300
Generation 101 | Revalues: 198750 | GridSize: 300
Generation 102 | Revalues: 200110 | GridSize: 300
Generation 103 | Revalues: 201300 | GridSize: 300
Generation 104 | Revalues: 202380 | GridSize: 298
Generation 105 | Revalues: 203550 | GridSize: 300
Generation 106 | Revalues: 204770 | GridSize: 298
Generation 107 | Revalues: 206130 | GridSize: 300
Generation 108 | Revalues: 207270 | GridSize: 298
Generation 109 | Revalues: 208470 | GridSize: 300
Generation 110 | Revalues: 209740 | GridSize: 300
Generation 111 | Revalues: 211040 | GridSize: 300
Generation 112 | Revalues: 212200 | GridSize: 300
Generation 113 | Revalues: 213570 | GridSize: 300
Generation 114 | Revalues: 215070 | GridSize: 300
Generation 115 | Revalues: 216420 | GridSize: 300
Generation 116 | Revalues: 217700 | GridSize: 300
Generation 117 | Revalues: 218790 | GridSize: 300
Generation 118 | Revalues: 220000 | GridSize: 299
Generation 119 | Revalues: 221050 | GridSize: 298
Generation 120 | Revalues: 222200 | GridSize: 300
Generation 121 | Revalues: 223360 | GridSize: 299
Generation 122 | Revalues: 224540 | GridSize: 300
Generation 123 | Revalues: 225730 | GridSize: 299
Generation 124 | Revalues: 227130 | GridSize: 300
Generation 125 | Revalues: 228250 | GridSize: 300
Generation 126 | Revalues: 229480 | GridSize: 300
Generation 127 | Revalues: 230550 | GridSize: 300
Generation 128 | Revalues: 231840 | GridSize: 300
Generation 129 | Revalues: 232860 | GridSize: 300
Generation 130 | Revalues: 233920 | GridSize: 300
Generation 131 | Revalues: 235040 | GridSize: 300
Generation 132 | Revalues: 236160 | GridSize: 300
Generation 133 | Revalues: 237360 | GridSize: 300
Generation 134 | Revalues: 238760 | GridSize: 300
Generation 135 | Revalues: 239940 | GridSize: 300
Generation 136 | Revalues: 240990 | GridSize: 300
Generation 137 | Revalues: 242120 | GridSize: 300
Generation 138 | Revalues: 243230 | GridSize: 300
Generation 139 | Revalues: 244550 | GridSize: 297
Generation 140 | Revalues: 245800 | GridSize: 300
Generation 141 | Revalues: 247210 | GridSize: 300
Generation 142 | Revalues: 248560 | GridSize: 300
Generation 143 | Revalues: 249730 | GridSize: 300
Generation 144 | Revalues: 251110 | GridSize: 299
Generation 145 | Revalues: 252280 | GridSize: 300
