Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 26820 | GridSize: 293
Generation 2 | Revalues: 31570 | GridSize: 293
Generation 3 | Revalues: 34070 | GridSize: 300
Generation 4 | Revalues: 36070 | GridSize: 299
Generation 5 | Revalues: 39880 | GridSize: 300
Generation 6 | Revalues: 42300 | GridSize: 300
Generation 7 | Revalues: 44510 | GridSize: 300
Generation 8 | Revalues: 46670 | GridSize: 300
Generation 9 | Revalues: 48350 | GridSize: 300
Generation 10 | Revalues: 50560 | GridSize: 300
Generation 11 | Revalues: 52660 | GridSize: 298
Generation 12 | Revalues: 55010 | GridSize: 300
Generation 13 | Revalues: 56510 | GridSize: 300
Generation 14 | Revalues: 58530 | GridSize: 300
Generation 15 | Revalues: 60200 | GridSize: 300
Generation 16 | Revalues: 62030 | GridSize: 300
Generation 17 | Revalues: 63710 | GridSize: 300
Generation 18 | Revalues: 65380 | GridSize: 300
Generation 19 | Revalues: 66930 | GridSize: 299
Generation 20 | Revalues: 69380 | GridSize: 300
Generation 21 | Revalues: 70890 | GridSize: 300
Generation 22 | Revalues: 72600 | GridSize: 300
Generation 23 | Revalues: 74020 | GridSize: 300
Generation 24 | Revalues: 75420 | GridSize: 300
Generation 25 | Revalues: 77090 | GridSize: 300
Generation 26 | Revalues: 78630 | GridSize: 300
Generation 27 | Revalues: 80010 | GridSize: 300
Generation 28 | Revalues: 81540 | GridSize: 300
Generation 29 | Revalues: 83040 | GridSize: 300
Generation 30 | Revalues: 84470 | GridSize: 300
Generation 31 | Revalues: 85880 | GridSize: 300
Generation 32 | Revalues: 87320 | GridSize: 300
Generation 33 | Revalues: 88730 | GridSize: 300
Generation 34 | Revalues: 89890 | GridSize: 300
Generation 35 | Revalues: 91400 | GridSize: 300
Generation 36 | Revalues: 92730 | GridSize: 300
Generation 37 | Revalues: 94010 | GridSize: 300
Generation 38 | Revalues: 95250 | GridSize: 300
Generation 39 | Revalues: 97280 | GridSize: 300
Generation 40 | Revalues: 98830 | GridSize: 299
Generation 41 | Revalues: 100240 | GridSize: 300
Generation 42 | Revalues: 101860 | GridSize: 299
Generation 43 | Revalues: 103320 | GridSize: 300
Generation 44 | Revalues: 104790 | GridSize: 300
Generation 45 | Revalues: 106270 | GridSize: 300
Generation 46 | Revalues: 107610 | GridSize: 300
Generation 47 | Revalues: 109020 | GridSize: 300
Generation 48 | Revalues: 110450 | GridSize: 298
Generation 49 | Revalues: 111650 | GridSize: 300
Generation 50 | Revalues: 113150 | GridSize: 300
Generation 51 | Revalues: 114390 | GridSize: 300
Generation 52 | Revalues: 115570 | GridSize: 300
Generation 53 | Revalues: 116790 | GridSize: 300
Generation 54 | Revalues: 117800 | GridSize: 300
Generation 55 | Revalues: 119260 | GridSize: 300
Generation 56 | Revalues: 120300 | GridSize: 300
Generation 57 | Revalues: 121360 | GridSize: 298
Generation 58 | Revalues: 122570 | GridSize: 300
Generation 59 | Revalues: 123980 | GridSize: 299
Generation 60 | Revalues: 125360 | GridSize: 300
Generation 61 | Revalues: 126720 | GridSize: 300
Generation 62 | Revalues: 127910 | GridSize: 300
Generation 63 | Revalues: 129340 | GridSize: 300
Generation 64 | Revalues: 130990 | GridSize: 300
Generation 65 | Revalues: 132340 | GridSize: 300
Generation 66 | Revalues: 133730 | GridSize: 300
Generation 67 | Revalues: 135160 | GridSize: 300
Generation 68 | Revalues: 136460 | GridSize: 300
Generation 69 | Revalues: 137910 | GridSize: 300
Generation 70 | Revalues: 139300 | GridSize: 298
Generation 71 | Revalues: 140560 | GridSize: 300
Generation 72 | Revalues: 141680 | GridSize: 300
Generation 73 | Revalues: 142930 | GridSize: 300
Generation 74 | Revalues: 144070 | GridSize: 300
Generation 75 | Revalues: 145290 | GridSize: 300
Generation 76 | Revalues: 146470 | GridSize: 300
Generation 77 | Revalues: 147580 | GridSize: 300
Generation 78 | Revalues: 148750 | GridSize: 300
Generation 79 | Revalues: 149890 | GridSize: 298
Generation 80 | Revalues: 151230 | GridSize: 300
Generation 81 | Revalues: 152280 | GridSize: 300
Generation 82 | Revalues: 153490 | GridSize: 299
Generation 83 | Revalues: 155000 | GridSize: 300
Generation 84 | Revalues: 156340 | GridSize: 300
Generation 85 | Revalues: 157620 | GridSize: 300
Generation 86 | Revalues: 158730 | GridSize: 300
Generation 87 | Revalues: 159830 | GridSize: 300
Generation 88 | Revalues: 160950 | GridSize: 300
Generation 89 | Revalues: 162000 | GridSize: 300
Generation 90 | Revalues: 163120 | GridSize: 300
Generation 91 | Revalues: 164460 | GridSize: 300
Generation 92 | Revalues: 165780 | GridSize: 300
Generation 93 | Revalues: 166830 | GridSize: 300
Generation 94 | Revalues: 168190 | GridSize: 300
Generation 95 | Revalues: 169290 | GridSize: 300
Generation 96 | Revalues: 170320 | GridSize: 300
Generation 97 | Revalues: 171480 | GridSize: 300
Generation 98 | Revalues: 172840 | GridSize: 300
Generation 99 | Revalues: 173990 | GridSize: 300
Generation 100 | Revalues: 175080 | GridSize: 300
Generation 101 | Revalues: 176230 | GridSize: 300
Generation 102 | Revalues: 177660 | GridSize: 300
Generation 103 | Revalues: 179020 | GridSize: 298
Generation 104 | Revalues: 180160 | GridSize: 300
Generation 105 | Revalues: 181290 | GridSize: 300
Generation 106 | Revalues: 182720 | GridSize: 300
Generation 107 | Revalues: 183880 | GridSize: 300
Generation 108 | Revalues: 185060 | GridSize: 297
