Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 36820 | GridSize: 300
Generation 2 | Revalues: 40640 | GridSize: 300
Generation 3 | Revalues: 47140 | GridSize: 300
Generation 4 | Revalues: 50530 | GridSize: 299
Generation 5 | Revalues: 53550 | GridSize: 300
Generation 6 | Revalues: 55240 | GridSize: 299
Generation 7 | Revalues: 58100 | GridSize: 300
Generation 8 | Revalues: 60530 | GridSize: 295
Generation 9 | Revalues: 62690 | GridSize: 300
Generation 10 | Revalues: 65140 | GridSize: 300
Generation 11 | Revalues: 67340 | GridSize: 300
Generation 12 | Revalues: 70180 | GridSize: 299
Generation 13 | Revalues: 72610 | GridSize: 300
Generation 14 | Revalues: 74810 | GridSize: 300
Generation 15 | Revalues: 76990 | GridSize: 300
Generation 16 | Revalues: 78690 | GridSize: 300
Generation 17 | Revalues: 80290 | GridSize: 300
Generation 18 | Revalues: 82220 | GridSize: 300
Generation 19 | Revalues: 83900 | GridSize: 300
Generation 20 | Revalues: 86450 | GridSize: 300
Generation 21 | Revalues: 88030 | GridSize: 298
Generation 22 | Revalues: 89610 | GridSize: 300
Generation 23 | Revalues: 91250 | GridSize: 300
Generation 24 | Revalues: 92980 | GridSize: 300
Generation 25 | Revalues: 94740 | GridSize: 300
Generation 26 | Revalues: 96130 | GridSize: 300
Generation 27 | Revalues: 97380 | GridSize: 299
Generation 28 | Revalues: 99170 | GridSize: 300
Generation 29 | Revalues: 100600 | GridSize: 300
Generation 30 | Revalues: 102150 | GridSize: 298
Generation 31 | Revalues: 103620 | GridSize: 300
Generation 32 | Revalues: 104920 | GridSize: 299
Generation 33 | Revalues: 106180 | GridSize: 296
Generation 34 | Revalues: 107760 | GridSize: 300
Generation 35 | Revalues: 109090 | GridSize: 300
Generation 36 | Revalues: 110590 | GridSize: 300
Generation 37 | Revalues: 111970 | GridSize: 300
Generation 38 | Revalues: 113510 | GridSize: 300
Generation 39 | Revalues: 115260 | GridSize: 300
Generation 40 | Revalues: 116550 | GridSize: 299
Generation 41 | Revalues: 117980 | GridSize: 300
Generation 42 | Revalues: 119620 | GridSize: 299
Generation 43 | Revalues: 121520 | GridSize: 299
Generation 44 | Revalues: 122820 | GridSize: 300
Generation 45 | Revalues: 124080 | GridSize: 299
Generation 46 | Revalues: 125450 | GridSize: 300
Generation 47 | Revalues: 126910 | GridSize: 300
Generation 48 | Revalues: 128180 | GridSize: 300
Generation 49 | Revalues: 129510 | GridSize: 300
