Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 69410 | GridSize: 300
Generation 2 | Revalues: 80250 | GridSize: 300
Generation 3 | Revalues: 91670 | GridSize: 300
Generation 4 | Revalues: 97050 | GridSize: 300
Generation 5 | Revalues: 101470 | GridSize: 300
Generation 6 | Revalues: 104050 | GridSize: 300
Generation 7 | Revalues: 106860 | GridSize: 300
Generation 8 | Revalues: 110390 | GridSize: 300
Generation 9 | Revalues: 112890 | GridSize: 300
Generation 10 | Revalues: 115040 | GridSize: 300
Generation 11 | Revalues: 118400 | GridSize: 300
Generation 12 | Revalues: 121010 | GridSize: 300
Generation 13 | Revalues: 123860 | GridSize: 300
Generation 14 | Revalues: 125840 | GridSize: 300
Generation 15 | Revalues: 129340 | GridSize: 300
Generation 16 | Revalues: 132080 | GridSize: 300
Generation 17 | Revalues: 135670 | GridSize: 300
Generation 18 | Revalues: 138090 | GridSize: 300
Generation 19 | Revalues: 140310 | GridSize: 300
Generation 20 | Revalues: 142600 | GridSize: 300
Generation 21 | Revalues: 144550 | GridSize: 300
Generation 22 | Revalues: 146900 | GridSize: 300
Generation 23 | Revalues: 149260 | GridSize: 300
Generation 24 | Revalues: 151420 | GridSize: 300
Generation 25 | Revalues: 153490 | GridSize: 300
Generation 26 | Revalues: 155760 | GridSize: 299
Generation 27 | Revalues: 158000 | GridSize: 300
Generation 28 | Revalues: 160140 | GridSize: 298
Generation 29 | Revalues: 163070 | GridSize: 300
Generation 30 | Revalues: 164810 | GridSize: 300
Generation 31 | Revalues: 167140 | GridSize: 300
Generation 32 | Revalues: 170020 | GridSize: 300
Generation 33 | Revalues: 172790 | GridSize: 300
Generation 34 | Revalues: 174590 | GridSize: 300
Generation 35 | Revalues: 176980 | GridSize: 299
Generation 36 | Revalues: 178480 | GridSize: 300
Generation 37 | Revalues: 180120 | GridSize: 300
Generation 38 | Revalues: 182170 | GridSize: 300
Generation 39 | Revalues: 184160 | GridSize: 300
Generation 40 | Revalues: 185940 | GridSize: 300
Generation 41 | Revalues: 187610 | GridSize: 300
Generation 42 | Revalues: 189470 | GridSize: 300
Generation 43 | Revalues: 191130 | GridSize: 299
Generation 44 | Revalues: 193100 | GridSize: 300
Generation 45 | Revalues: 195170 | GridSize: 300
Generation 46 | Revalues: 196710 | GridSize: 300
Generation 47 | Revalues: 198510 | GridSize: 300
Generation 48 | Revalues: 200790 | GridSize: 300
