Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 12270 | GridSize: 116
Generation 2 | Revalues: 14020 | GridSize: 120
Generation 3 | Revalues: 16680 | GridSize: 114
Generation 4 | Revalues: 18930 | GridSize: 113
Generation 5 | Revalues: 20330 | GridSize: 126
Generation 6 | Revalues: 21580 | GridSize: 137
Generation 7 | Revalues: 23000 | GridSize: 143
Generation 8 | Revalues: 24290 | GridSize: 150
Generation 9 | Revalues: 25440 | GridSize: 155
Generation 10 | Revalues: 26800 | GridSize: 155
Generation 11 | Revalues: 28030 | GridSize: 160
Generation 12 | Revalues: 29530 | GridSize: 160
Generation 13 | Revalues: 30900 | GridSize: 170
Generation 14 | Revalues: 32290 | GridSize: 152
Generation 15 | Revalues: 33460 | GridSize: 164
Generation 16 | Revalues: 34970 | GridSize: 163
Generation 17 | Revalues: 36360 | GridSize: 160
Generation 18 | Revalues: 37510 | GridSize: 158
Generation 19 | Revalues: 38680 | GridSize: 158
Generation 20 | Revalues: 39910 | GridSize: 162
Generation 21 | Revalues: 40940 | GridSize: 174
Generation 22 | Revalues: 42080 | GridSize: 177
Generation 23 | Revalues: 43210 | GridSize: 182
Generation 24 | Revalues: 44390 | GridSize: 187
Generation 25 | Revalues: 45650 | GridSize: 192
Generation 26 | Revalues: 46960 | GridSize: 185
Generation 27 | Revalues: 48310 | GridSize: 185
Generation 28 | Revalues: 49510 | GridSize: 190
Generation 29 | Revalues: 50960 | GridSize: 187
Generation 30 | Revalues: 52160 | GridSize: 188
Generation 31 | Revalues: 53240 | GridSize: 190
Generation 32 | Revalues: 54320 | GridSize: 195
Generation 33 | Revalues: 55450 | GridSize: 197
Generation 34 | Revalues: 56730 | GridSize: 196
Generation 35 | Revalues: 58020 | GridSize: 190
Generation 36 | Revalues: 59030 | GridSize: 192
Generation 37 | Revalues: 60170 | GridSize: 193
Generation 38 | Revalues: 61370 | GridSize: 199
Generation 39 | Revalues: 62540 | GridSize: 193
Generation 40 | Revalues: 63820 | GridSize: 196
Generation 41 | Revalues: 65190 | GridSize: 199
Generation 42 | Revalues: 66550 | GridSize: 193
Generation 43 | Revalues: 67980 | GridSize: 196
Generation 44 | Revalues: 69060 | GridSize: 199
Generation 45 | Revalues: 70210 | GridSize: 199
Generation 46 | Revalues: 71280 | GridSize: 211
Generation 47 | Revalues: 72470 | GridSize: 207
Generation 48 | Revalues: 73780 | GridSize: 196
Generation 49 | Revalues: 74840 | GridSize: 196
Generation 50 | Revalues: 76150 | GridSize: 196
Generation 51 | Revalues: 77230 | GridSize: 199
Generation 52 | Revalues: 78330 | GridSize: 194
Generation 53 | Revalues: 79590 | GridSize: 205
Generation 54 | Revalues: 80650 | GridSize: 208
Generation 55 | Revalues: 81700 | GridSize: 208
Generation 56 | Revalues: 82750 | GridSize: 202
Generation 57 | Revalues: 84100 | GridSize: 193
Generation 58 | Revalues: 85120 | GridSize: 194
Generation 59 | Revalues: 86210 | GridSize: 199
Generation 60 | Revalues: 87410 | GridSize: 201
Generation 61 | Revalues: 88530 | GridSize: 204
