Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 22960 | GridSize: 297
Generation 2 | Revalues: 25950 | GridSize: 300
Generation 3 | Revalues: 28970 | GridSize: 300
Generation 4 | Revalues: 34520 | GridSize: 292
Generation 5 | Revalues: 36880 | GridSize: 300
Generation 6 | Revalues: 39060 | GridSize: 299
Generation 7 | Revalues: 40570 | GridSize: 297
Generation 8 | Revalues: 42420 | GridSize: 300
Generation 9 | Revalues: 44560 | GridSize: 297
Generation 10 | Revalues: 46010 | GridSize: 298
Generation 11 | Revalues: 47300 | GridSize: 300
Generation 12 | Revalues: 50290 | GridSize: 299
Generation 13 | Revalues: 51750 | GridSize: 299
Generation 14 | Revalues: 53310 | GridSize: 300
Generation 15 | Revalues: 54600 | GridSize: 299
Generation 16 | Revalues: 56090 | GridSize: 300
Generation 17 | Revalues: 57720 | GridSize: 298
Generation 18 | Revalues: 59600 | GridSize: 300
Generation 19 | Revalues: 61270 | GridSize: 300
Generation 20 | Revalues: 62850 | GridSize: 300
Generation 21 | Revalues: 64220 | GridSize: 300
Generation 22 | Revalues: 65430 | GridSize: 300
Generation 23 | Revalues: 66970 | GridSize: 300
Generation 24 | Revalues: 68470 | GridSize: 300
Generation 25 | Revalues: 69920 | GridSize: 299
Generation 26 | Revalues: 71620 | GridSize: 300
Generation 27 | Revalues: 72810 | GridSize: 300
Generation 28 | Revalues: 74000 | GridSize: 300
Generation 29 | Revalues: 75580 | GridSize: 300
Generation 30 | Revalues: 77010 | GridSize: 300
Generation 31 | Revalues: 78820 | GridSize: 300
Generation 32 | Revalues: 79860 | GridSize: 297
Generation 33 | Revalues: 81340 | GridSize: 300
Generation 34 | Revalues: 82430 | GridSize: 300
Generation 35 | Revalues: 83670 | GridSize: 299
Generation 36 | Revalues: 85060 | GridSize: 300
Generation 37 | Revalues: 86290 | GridSize: 300
Generation 38 | Revalues: 87530 | GridSize: 300
Generation 39 | Revalues: 88910 | GridSize: 300
Generation 40 | Revalues: 90060 | GridSize: 300
Generation 41 | Revalues: 91210 | GridSize: 300
Generation 42 | Revalues: 92280 | GridSize: 300
Generation 43 | Revalues: 93740 | GridSize: 300
Generation 44 | Revalues: 95190 | GridSize: 300
Generation 45 | Revalues: 96530 | GridSize: 300
Generation 46 | Revalues: 98630 | GridSize: 297
Generation 47 | Revalues: 99700 | GridSize: 300
Generation 48 | Revalues: 100920 | GridSize: 300
Generation 49 | Revalues: 102080 | GridSize: 300
Generation 50 | Revalues: 103440 | GridSize: 300
Generation 51 | Revalues: 104660 | GridSize: 300
Generation 52 | Revalues: 105760 | GridSize: 300
Generation 53 | Revalues: 107140 | GridSize: 300
Generation 54 | Revalues: 108510 | GridSize: 300
Generation 55 | Revalues: 109710 | GridSize: 300
Generation 56 | Revalues: 110980 | GridSize: 300
Generation 57 | Revalues: 112180 | GridSize: 300
Generation 58 | Revalues: 113360 | GridSize: 300
Generation 59 | Revalues: 114620 | GridSize: 300
Generation 60 | Revalues: 115840 | GridSize: 300
Generation 61 | Revalues: 116910 | GridSize: 299
Generation 62 | Revalues: 118600 | GridSize: 295
Generation 63 | Revalues: 119810 | GridSize: 299
Generation 64 | Revalues: 120950 | GridSize: 300
Generation 65 | Revalues: 122080 | GridSize: 300
Generation 66 | Revalues: 123230 | GridSize: 300
Generation 67 | Revalues: 124400 | GridSize: 299
Generation 68 | Revalues: 125470 | GridSize: 299
Generation 69 | Revalues: 126670 | GridSize: 300
Generation 70 | Revalues: 127810 | GridSize: 299
Generation 71 | Revalues: 128900 | GridSize: 300
Generation 72 | Revalues: 130030 | GridSize: 300
Generation 73 | Revalues: 131150 | GridSize: 299
Generation 74 | Revalues: 132350 | GridSize: 299
Generation 75 | Revalues: 133620 | GridSize: 300
Generation 76 | Revalues: 134770 | GridSize: 300
Generation 77 | Revalues: 135810 | GridSize: 300
Generation 78 | Revalues: 136890 | GridSize: 298
Generation 79 | Revalues: 138040 | GridSize: 297
Generation 80 | Revalues: 139150 | GridSize: 299
Generation 81 | Revalues: 140230 | GridSize: 300
Generation 82 | Revalues: 141540 | GridSize: 300
Generation 83 | Revalues: 142680 | GridSize: 300
Generation 84 | Revalues: 143800 | GridSize: 300
Generation 85 | Revalues: 144960 | GridSize: 300
Generation 86 | Revalues: 145990 | GridSize: 300
Generation 87 | Revalues: 147100 | GridSize: 298
Generation 88 | Revalues: 148370 | GridSize: 300
Generation 89 | Revalues: 149500 | GridSize: 300
Generation 90 | Revalues: 150590 | GridSize: 300
Generation 91 | Revalues: 151860 | GridSize: 300
Generation 92 | Revalues: 153130 | GridSize: 300
Generation 93 | Revalues: 154230 | GridSize: 299
Generation 94 | Revalues: 155270 | GridSize: 300
Generation 95 | Revalues: 156380 | GridSize: 300
Generation 96 | Revalues: 157450 | GridSize: 299
Generation 97 | Revalues: 158570 | GridSize: 300
Generation 98 | Revalues: 159620 | GridSize: 300
