Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 19980 | GridSize: 200
Generation 2 | Revalues: 23980 | GridSize: 209
Generation 3 | Revalues: 27240 | GridSize: 226
Generation 4 | Revalues: 28830 | GridSize: 235
Generation 5 | Revalues: 30170 | GridSize: 239
Generation 6 | Revalues: 31540 | GridSize: 264
Generation 7 | Revalues: 33850 | GridSize: 258
Generation 8 | Revalues: 35680 | GridSize: 260
Generation 9 | Revalues: 37160 | GridSize: 283
Generation 10 | Revalues: 39070 | GridSize: 275
Generation 11 | Revalues: 40360 | GridSize: 274
Generation 12 | Revalues: 42010 | GridSize: 282
Generation 13 | Revalues: 43180 | GridSize: 298
Generation 14 | Revalues: 44510 | GridSize: 285
Generation 15 | Revalues: 45660 | GridSize: 291
Generation 16 | Revalues: 47320 | GridSize: 297
Generation 17 | Revalues: 48820 | GridSize: 297
Generation 18 | Revalues: 50040 | GridSize: 297
Generation 19 | Revalues: 51340 | GridSize: 300
Generation 20 | Revalues: 52820 | GridSize: 300
Generation 21 | Revalues: 54280 | GridSize: 286
Generation 22 | Revalues: 56010 | GridSize: 297
Generation 23 | Revalues: 57140 | GridSize: 300
Generation 24 | Revalues: 58440 | GridSize: 300
Generation 25 | Revalues: 59770 | GridSize: 297
Generation 26 | Revalues: 61300 | GridSize: 296
Generation 27 | Revalues: 62780 | GridSize: 290
Generation 28 | Revalues: 64480 | GridSize: 300
Generation 29 | Revalues: 66770 | GridSize: 293
Generation 30 | Revalues: 68250 | GridSize: 296
Generation 31 | Revalues: 69950 | GridSize: 297
Generation 32 | Revalues: 71090 | GridSize: 298
Generation 33 | Revalues: 72340 | GridSize: 300
Generation 34 | Revalues: 73740 | GridSize: 288
Generation 35 | Revalues: 74950 | GridSize: 296
Generation 36 | Revalues: 76100 | GridSize: 299
Generation 37 | Revalues: 77600 | GridSize: 298
Generation 38 | Revalues: 78640 | GridSize: 299
Generation 39 | Revalues: 80010 | GridSize: 297
Generation 40 | Revalues: 81390 | GridSize: 298
Generation 41 | Revalues: 82670 | GridSize: 300
Generation 42 | Revalues: 83790 | GridSize: 299
Generation 43 | Revalues: 85170 | GridSize: 300
Generation 44 | Revalues: 86480 | GridSize: 300
Generation 45 | Revalues: 87480 | GridSize: 300
Generation 46 | Revalues: 88960 | GridSize: 295
Generation 47 | Revalues: 90040 | GridSize: 290
Generation 48 | Revalues: 91420 | GridSize: 300
Generation 49 | Revalues: 92590 | GridSize: 295
Generation 50 | Revalues: 94160 | GridSize: 300
Generation 51 | Revalues: 95550 | GridSize: 300
Generation 52 | Revalues: 96730 | GridSize: 300
Generation 53 | Revalues: 97860 | GridSize: 296
Generation 54 | Revalues: 99120 | GridSize: 300
Generation 55 | Revalues: 100360 | GridSize: 294
Generation 56 | Revalues: 101700 | GridSize: 299
Generation 57 | Revalues: 103070 | GridSize: 300
Generation 58 | Revalues: 104510 | GridSize: 298
Generation 59 | Revalues: 105890 | GridSize: 298
Generation 60 | Revalues: 107180 | GridSize: 281
Generation 61 | Revalues: 108220 | GridSize: 290
Generation 62 | Revalues: 109380 | GridSize: 300
Generation 63 | Revalues: 110500 | GridSize: 300
Generation 64 | Revalues: 111800 | GridSize: 296
Generation 65 | Revalues: 113000 | GridSize: 300
Generation 66 | Revalues: 114290 | GridSize: 298
Generation 67 | Revalues: 115360 | GridSize: 300
Generation 68 | Revalues: 116470 | GridSize: 300
Generation 69 | Revalues: 117890 | GridSize: 300
Generation 70 | Revalues: 118900 | GridSize: 297
Generation 71 | Revalues: 119950 | GridSize: 300
Generation 72 | Revalues: 121770 | GridSize: 299
Generation 73 | Revalues: 122950 | GridSize: 296
Generation 74 | Revalues: 124400 | GridSize: 299
Generation 75 | Revalues: 125910 | GridSize: 293
Generation 76 | Revalues: 126960 | GridSize: 300
Generation 77 | Revalues: 128460 | GridSize: 296
Generation 78 | Revalues: 129610 | GridSize: 300
Generation 79 | Revalues: 130710 | GridSize: 300
Generation 80 | Revalues: 132090 | GridSize: 299
Generation 81 | Revalues: 133120 | GridSize: 299
Generation 82 | Revalues: 134330 | GridSize: 296
Generation 83 | Revalues: 135360 | GridSize: 300
Generation 84 | Revalues: 136440 | GridSize: 300
Generation 85 | Revalues: 137890 | GridSize: 296
Generation 86 | Revalues: 139030 | GridSize: 295
Generation 87 | Revalues: 140200 | GridSize: 300
Generation 88 | Revalues: 141470 | GridSize: 298
Generation 89 | Revalues: 142840 | GridSize: 300
Generation 90 | Revalues: 144080 | GridSize: 300
Generation 91 | Revalues: 145180 | GridSize: 294
Generation 92 | Revalues: 146220 | GridSize: 300
Generation 93 | Revalues: 147420 | GridSize: 300
Generation 94 | Revalues: 148690 | GridSize: 299
Generation 95 | Revalues: 149810 | GridSize: 296
Generation 96 | Revalues: 150890 | GridSize: 300
Generation 97 | Revalues: 152160 | GridSize: 300
Generation 98 | Revalues: 153410 | GridSize: 292
Generation 99 | Revalues: 154770 | GridSize: 298
Generation 100 | Revalues: 155870 | GridSize: 297
Generation 101 | Revalues: 156980 | GridSize: 300
Generation 102 | Revalues: 158200 | GridSize: 300
Generation 103 | Revalues: 159350 | GridSize: 298
Generation 104 | Revalues: 160550 | GridSize: 300
Generation 105 | Revalues: 161690 | GridSize: 300
Generation 106 | Revalues: 162730 | GridSize: 300
Generation 107 | Revalues: 164170 | GridSize: 295
Generation 108 | Revalues: 165310 | GridSize: 298
Generation 109 | Revalues: 166420 | GridSize: 299
Generation 110 | Revalues: 167420 | GridSize: 300
