Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 33990 | GridSize: 300
Generation 2 | Revalues: 36340 | GridSize: 292
Generation 3 | Revalues: 38950 | GridSize: 298
Generation 4 | Revalues: 43180 | GridSize: 300
Generation 5 | Revalues: 47680 | GridSize: 297
Generation 6 | Revalues: 50180 | GridSize: 300
Generation 7 | Revalues: 52530 | GridSize: 300
Generation 8 | Revalues: 55540 | GridSize: 300
Generation 9 | Revalues: 57260 | GridSize: 298
Generation 10 | Revalues: 59830 | GridSize: 300
Generation 11 | Revalues: 61670 | GridSize: 300
Generation 12 | Revalues: 64200 | GridSize: 300
Generation 13 | Revalues: 66550 | GridSize: 296
Generation 14 | Revalues: 68150 | GridSize: 300
Generation 15 | Revalues: 70410 | GridSize: 300
Generation 16 | Revalues: 71960 | GridSize: 300
Generation 17 | Revalues: 73550 | GridSize: 300
Generation 18 | Revalues: 75030 | GridSize: 300
Generation 19 | Revalues: 76800 | GridSize: 300
Generation 20 | Revalues: 78350 | GridSize: 300
Generation 21 | Revalues: 79630 | GridSize: 300
Generation 22 | Revalues: 81030 | GridSize: 300
Generation 23 | Revalues: 82430 | GridSize: 299
Generation 24 | Revalues: 83940 | GridSize: 300
Generation 25 | Revalues: 85820 | GridSize: 300
Generation 26 | Revalues: 87150 | GridSize: 300
Generation 27 | Revalues: 89510 | GridSize: 300
Generation 28 | Revalues: 91650 | GridSize: 298
Generation 29 | Revalues: 92920 | GridSize: 300
Generation 30 | Revalues: 94400 | GridSize: 300
Generation 31 | Revalues: 95760 | GridSize: 300
Generation 32 | Revalues: 97370 | GridSize: 300
Generation 33 | Revalues: 99980 | GridSize: 300
Generation 34 | Revalues: 101110 | GridSize: 299
Generation 35 | Revalues: 102550 | GridSize: 300
Generation 36 | Revalues: 103930 | GridSize: 300
Generation 37 | Revalues: 105380 | GridSize: 300
Generation 38 | Revalues: 106560 | GridSize: 300
Generation 39 | Revalues: 107910 | GridSize: 300
Generation 40 | Revalues: 109430 | GridSize: 300
Generation 41 | Revalues: 110660 | GridSize: 299
Generation 42 | Revalues: 112130 | GridSize: 300
Generation 43 | Revalues: 113820 | GridSize: 300
Generation 44 | Revalues: 115180 | GridSize: 300
Generation 45 | Revalues: 116740 | GridSize: 299
Generation 46 | Revalues: 118190 | GridSize: 300
Generation 47 | Revalues: 119750 | GridSize: 300
Generation 48 | Revalues: 120810 | GridSize: 300
Generation 49 | Revalues: 122140 | GridSize: 299
Generation 50 | Revalues: 123640 | GridSize: 298
Generation 51 | Revalues: 125100 | GridSize: 300
Generation 52 | Revalues: 126360 | GridSize: 300
Generation 53 | Revalues: 127480 | GridSize: 300
Generation 54 | Revalues: 128840 | GridSize: 300
Generation 55 | Revalues: 130110 | GridSize: 300
Generation 56 | Revalues: 131240 | GridSize: 300
Generation 57 | Revalues: 132580 | GridSize: 300
Generation 58 | Revalues: 133920 | GridSize: 300
Generation 59 | Revalues: 135380 | GridSize: 299
Generation 60 | Revalues: 137040 | GridSize: 300
Generation 61 | Revalues: 138260 | GridSize: 300
Generation 62 | Revalues: 139450 | GridSize: 300
Generation 63 | Revalues: 140580 | GridSize: 300
Generation 64 | Revalues: 141850 | GridSize: 300
Generation 65 | Revalues: 143090 | GridSize: 300
Generation 66 | Revalues: 144220 | GridSize: 300
Generation 67 | Revalues: 145410 | GridSize: 300
Generation 68 | Revalues: 146800 | GridSize: 300
Generation 69 | Revalues: 147940 | GridSize: 300
Generation 70 | Revalues: 149150 | GridSize: 300
Generation 71 | Revalues: 150480 | GridSize: 300
Generation 72 | Revalues: 151690 | GridSize: 300
Generation 73 | Revalues: 152760 | GridSize: 300
Generation 74 | Revalues: 153850 | GridSize: 300
Generation 75 | Revalues: 155020 | GridSize: 300
Generation 76 | Revalues: 156190 | GridSize: 300
Generation 77 | Revalues: 157400 | GridSize: 299
Generation 78 | Revalues: 158760 | GridSize: 298
Generation 79 | Revalues: 160020 | GridSize: 300
Generation 80 | Revalues: 161600 | GridSize: 300
