Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 27980 | GridSize: 300
Generation 2 | Revalues: 32690 | GridSize: 300
Generation 3 | Revalues: 36050 | GridSize: 300
Generation 4 | Revalues: 40250 | GridSize: 300
Generation 5 | Revalues: 43620 | GridSize: 300
Generation 6 | Revalues: 45630 | GridSize: 297
Generation 7 | Revalues: 47680 | GridSize: 298
Generation 8 | Revalues: 49350 | GridSize: 300
Generation 9 | Revalues: 50640 | GridSize: 300
Generation 10 | Revalues: 52060 | GridSize: 300
Generation 11 | Revalues: 54780 | GridSize: 300
Generation 12 | Revalues: 56650 | GridSize: 298
Generation 13 | Revalues: 58300 | GridSize: 300
Generation 14 | Revalues: 60120 | GridSize: 300
Generation 15 | Revalues: 62290 | GridSize: 299
Generation 16 | Revalues: 64310 | GridSize: 300
Generation 17 | Revalues: 65620 | GridSize: 298
Generation 18 | Revalues: 67100 | GridSize: 300
Generation 19 | Revalues: 68440 | GridSize: 300
Generation 20 | Revalues: 69620 | GridSize: 299
Generation 21 | Revalues: 70690 | GridSize: 300
Generation 22 | Revalues: 71950 | GridSize: 299
Generation 23 | Revalues: 73860 | GridSize: 293
Generation 24 | Revalues: 75140 | GridSize: 300
Generation 25 | Revalues: 76550 | GridSize: 299
Generation 26 | Revalues: 77750 | GridSize: 300
Generation 27 | Revalues: 79150 | GridSize: 300
Generation 28 | Revalues: 80460 | GridSize: 299
Generation 29 | Revalues: 81730 | GridSize: 300
Generation 30 | Revalues: 83630 | GridSize: 300
Generation 31 | Revalues: 85740 | GridSize: 300
Generation 32 | Revalues: 87520 | GridSize: 300
Generation 33 | Revalues: 88720 | GridSize: 300
Generation 34 | Revalues: 90330 | GridSize: 300
Generation 35 | Revalues: 91680 | GridSize: 300
Generation 36 | Revalues: 92910 | GridSize: 300
Generation 37 | Revalues: 94230 | GridSize: 300
Generation 38 | Revalues: 95630 | GridSize: 300
Generation 39 | Revalues: 97250 | GridSize: 300
Generation 40 | Revalues: 98450 | GridSize: 300
Generation 41 | Revalues: 99770 | GridSize: 300
Generation 42 | Revalues: 101020 | GridSize: 299
Generation 43 | Revalues: 102280 | GridSize: 299
Generation 44 | Revalues: 103710 | GridSize: 300
Generation 45 | Revalues: 105220 | GridSize: 300
Generation 46 | Revalues: 106690 | GridSize: 300
Generation 47 | Revalues: 107860 | GridSize: 300
Generation 48 | Revalues: 109290 | GridSize: 300
Generation 49 | Revalues: 110710 | GridSize: 300
Generation 50 | Revalues: 111960 | GridSize: 300
Generation 51 | Revalues: 113420 | GridSize: 299
Generation 52 | Revalues: 114930 | GridSize: 300
Generation 53 | Revalues: 116680 | GridSize: 298
Generation 54 | Revalues: 118130 | GridSize: 298
Generation 55 | Revalues: 119510 | GridSize: 298
Generation 56 | Revalues: 120780 | GridSize: 300
Generation 57 | Revalues: 122000 | GridSize: 296
Generation 58 | Revalues: 123130 | GridSize: 300
Generation 59 | Revalues: 124540 | GridSize: 300
Generation 60 | Revalues: 125810 | GridSize: 300
Generation 61 | Revalues: 127140 | GridSize: 300
Generation 62 | Revalues: 128250 | GridSize: 300
Generation 63 | Revalues: 129850 | GridSize: 300
Generation 64 | Revalues: 131400 | GridSize: 300
Generation 65 | Revalues: 132650 | GridSize: 300
Generation 66 | Revalues: 133840 | GridSize: 300
Generation 67 | Revalues: 135080 | GridSize: 295
Generation 68 | Revalues: 136340 | GridSize: 300
