Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 31470 | GridSize: 300
Generation 2 | Revalues: 42500 | GridSize: 300
Generation 3 | Revalues: 44790 | GridSize: 298
Generation 4 | Revalues: 50240 | GridSize: 289
Generation 5 | Revalues: 53430 | GridSize: 300
Generation 6 | Revalues: 57200 | GridSize: 296
Generation 7 | Revalues: 59040 | GridSize: 300
Generation 8 | Revalues: 62410 | GridSize: 299
Generation 9 | Revalues: 66740 | GridSize: 295
Generation 10 | Revalues: 70980 | GridSize: 300
Generation 11 | Revalues: 72950 | GridSize: 300
Generation 12 | Revalues: 74600 | GridSize: 300
Generation 13 | Revalues: 76700 | GridSize: 299
Generation 14 | Revalues: 78520 | GridSize: 300
Generation 15 | Revalues: 80700 | GridSize: 299
Generation 16 | Revalues: 83230 | GridSize: 300
Generation 17 | Revalues: 85440 | GridSize: 298
Generation 18 | Revalues: 86660 | GridSize: 300
Generation 19 | Revalues: 88110 | GridSize: 298
Generation 20 | Revalues: 89690 | GridSize: 300
Generation 21 | Revalues: 91880 | GridSize: 300
Generation 22 | Revalues: 94050 | GridSize: 298
Generation 23 | Revalues: 95600 | GridSize: 299
Generation 24 | Revalues: 97530 | GridSize: 300
Generation 25 | Revalues: 98980 | GridSize: 298
Generation 26 | Revalues: 100500 | GridSize: 300
Generation 27 | Revalues: 101860 | GridSize: 300
Generation 28 | Revalues: 103770 | GridSize: 300
Generation 29 | Revalues: 105590 | GridSize: 300
Generation 30 | Revalues: 107300 | GridSize: 300
Generation 31 | Revalues: 108640 | GridSize: 299
Generation 32 | Revalues: 111770 | GridSize: 300
Generation 33 | Revalues: 113780 | GridSize: 300
Generation 34 | Revalues: 115190 | GridSize: 300
Generation 35 | Revalues: 116720 | GridSize: 300
Generation 36 | Revalues: 118090 | GridSize: 300
Generation 37 | Revalues: 120100 | GridSize: 298
Generation 38 | Revalues: 121450 | GridSize: 300
Generation 39 | Revalues: 122860 | GridSize: 300
Generation 40 | Revalues: 124270 | GridSize: 299
Generation 41 | Revalues: 125720 | GridSize: 300
Generation 42 | Revalues: 127120 | GridSize: 300
Generation 43 | Revalues: 128740 | GridSize: 300
Generation 44 | Revalues: 130610 | GridSize: 299
Generation 45 | Revalues: 131920 | GridSize: 299
Generation 46 | Revalues: 133900 | GridSize: 298
Generation 47 | Revalues: 135490 | GridSize: 300
Generation 48 | Revalues: 137490 | GridSize: 300
Generation 49 | Revalues: 139480 | GridSize: 300
Generation 50 | Revalues: 141180 | GridSize: 299
Generation 51 | Revalues: 142360 | GridSize: 300
Generation 52 | Revalues: 143770 | GridSize: 300
Generation 53 | Revalues: 145830 | GridSize: 300
Generation 54 | Revalues: 147290 | GridSize: 299
Generation 55 | Revalues: 149320 | GridSize: 298
Generation 56 | Revalues: 150420 | GridSize: 298
Generation 57 | Revalues: 151730 | GridSize: 300
Generation 58 | Revalues: 153100 | GridSize: 297
Generation 59 | Revalues: 154560 | GridSize: 300
Generation 60 | Revalues: 155930 | GridSize: 300
Generation 61 | Revalues: 157450 | GridSize: 300
Generation 62 | Revalues: 159080 | GridSize: 300
