Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 29400 | GridSize: 251
Generation 2 | Revalues: 38640 | GridSize: 295
Generation 3 | Revalues: 40380 | GridSize: 300
Generation 4 | Revalues: 41820 | GridSize: 300
Generation 5 | Revalues: 43890 | GridSize: 300
Generation 6 | Revalues: 47080 | GridSize: 296
Generation 7 | Revalues: 49510 | GridSize: 300
Generation 8 | Revalues: 50920 | GridSize: 299
Generation 9 | Revalues: 53610 | GridSize: 298
Generation 10 | Revalues: 55080 | GridSize: 296
Generation 11 | Revalues: 56570 | GridSize: 300
Generation 12 | Revalues: 58230 | GridSize: 298
Generation 13 | Revalues: 59600 | GridSize: 300
Generation 14 | Revalues: 61150 | GridSize: 300
Generation 15 | Revalues: 62310 | GridSize: 300
Generation 16 | Revalues: 63940 | GridSize: 300
Generation 17 | Revalues: 65590 | GridSize: 300
Generation 18 | Revalues: 67260 | GridSize: 297
Generation 19 | Revalues: 68840 | GridSize: 300
Generation 20 | Revalues: 70180 | GridSize: 300
Generation 21 | Revalues: 71440 | GridSize: 299
Generation 22 | Revalues: 72990 | GridSize: 298
Generation 23 | Revalues: 74350 | GridSize: 300
Generation 24 | Revalues: 75820 | GridSize: 299
Generation 25 | Revalues: 77050 | GridSize: 298
Generation 26 | Revalues: 78740 | GridSize: 300
Generation 27 | Revalues: 79940 | GridSize: 300
Generation 28 | Revalues: 81600 | GridSize: 300
Generation 29 | Revalues: 83510 | GridSize: 300
Generation 30 | Revalues: 84770 | GridSize: 300
Generation 31 | Revalues: 85930 | GridSize: 300
Generation 32 | Revalues: 87190 | GridSize: 300
Generation 33 | Revalues: 88680 | GridSize: 300
Generation 34 | Revalues: 89900 | GridSize: 300
Generation 35 | Revalues: 91380 | GridSize: 300
Generation 36 | Revalues: 92620 | GridSize: 299
Generation 37 | Revalues: 93800 | GridSize: 299
Generation 38 | Revalues: 94960 | GridSize: 298
Generation 39 | Revalues: 96360 | GridSize: 300
Generation 40 | Revalues: 97700 | GridSize: 300
Generation 41 | Revalues: 99220 | GridSize: 300
Generation 42 | Revalues: 100310 | GridSize: 300
Generation 43 | Revalues: 101770 | GridSize: 300
Generation 44 | Revalues: 103030 | GridSize: 299
Generation 45 | Revalues: 104100 | GridSize: 300
Generation 46 | Revalues: 105340 | GridSize: 300
Generation 47 | Revalues: 106580 | GridSize: 300
Generation 48 | Revalues: 107780 | GridSize: 300
Generation 49 | Revalues: 109070 | GridSize: 300
Generation 50 | Revalues: 110360 | GridSize: 300
Generation 51 | Revalues: 111810 | GridSize: 300
Generation 52 | Revalues: 112850 | GridSize: 300
Generation 53 | Revalues: 114000 | GridSize: 300
Generation 54 | Revalues: 115250 | GridSize: 297
Generation 55 | Revalues: 116400 | GridSize: 300
Generation 56 | Revalues: 117750 | GridSize: 300
Generation 57 | Revalues: 119130 | GridSize: 300
Generation 58 | Revalues: 120240 | GridSize: 300
Generation 59 | Revalues: 121480 | GridSize: 300
Generation 60 | Revalues: 123060 | GridSize: 297
Generation 61 | Revalues: 124300 | GridSize: 298
Generation 62 | Revalues: 126050 | GridSize: 300
Generation 63 | Revalues: 127170 | GridSize: 296
Generation 64 | Revalues: 128540 | GridSize: 298
Generation 65 | Revalues: 129830 | GridSize: 300
Generation 66 | Revalues: 130970 | GridSize: 300
Generation 67 | Revalues: 132010 | GridSize: 300
Generation 68 | Revalues: 133180 | GridSize: 298
Generation 69 | Revalues: 134360 | GridSize: 298
Generation 70 | Revalues: 135420 | GridSize: 299
Generation 71 | Revalues: 136620 | GridSize: 299
Generation 72 | Revalues: 137730 | GridSize: 300
Generation 73 | Revalues: 138930 | GridSize: 300
Generation 74 | Revalues: 140110 | GridSize: 300
Generation 75 | Revalues: 141220 | GridSize: 300
Generation 76 | Revalues: 142350 | GridSize: 300
Generation 77 | Revalues: 143530 | GridSize: 300
Generation 78 | Revalues: 144840 | GridSize: 300
Generation 79 | Revalues: 146080 | GridSize: 297
Generation 80 | Revalues: 147190 | GridSize: 300
Generation 81 | Revalues: 148370 | GridSize: 299
Generation 82 | Revalues: 149410 | GridSize: 300
Generation 83 | Revalues: 150470 | GridSize: 300
Generation 84 | Revalues: 151480 | GridSize: 300
Generation 85 | Revalues: 152670 | GridSize: 300
Generation 86 | Revalues: 153770 | GridSize: 299
Generation 87 | Revalues: 154810 | GridSize: 300
Generation 88 | Revalues: 156110 | GridSize: 300
Generation 89 | Revalues: 157530 | GridSize: 299
Generation 90 | Revalues: 158570 | GridSize: 300
Generation 91 | Revalues: 159640 | GridSize: 300
Generation 92 | Revalues: 160700 | GridSize: 300
Generation 93 | Revalues: 161820 | GridSize: 300
Generation 94 | Revalues: 163090 | GridSize: 300
Generation 95 | Revalues: 164220 | GridSize: 300
Generation 96 | Revalues: 165250 | GridSize: 300
Generation 97 | Revalues: 166630 | GridSize: 299
Generation 98 | Revalues: 167720 | GridSize: 300
Generation 99 | Revalues: 168780 | GridSize: 300
Generation 100 | Revalues: 170070 | GridSize: 296
Generation 101 | Revalues: 171180 | GridSize: 300
Generation 102 | Revalues: 172410 | GridSize: 300
Generation 103 | Revalues: 173620 | GridSize: 300
Generation 104 | Revalues: 174830 | GridSize: 300
Generation 105 | Revalues: 175970 | GridSize: 300
Generation 106 | Revalues: 177040 | GridSize: 300
Generation 107 | Revalues: 178140 | GridSize: 300
Generation 108 | Revalues: 179240 | GridSize: 300
Generation 109 | Revalues: 180300 | GridSize: 294
Generation 110 | Revalues: 181550 | GridSize: 300
Generation 111 | Revalues: 182750 | GridSize: 300
Generation 112 | Revalues: 183920 | GridSize: 300
Generation 113 | Revalues: 185030 | GridSize: 300
Generation 114 | Revalues: 186210 | GridSize: 297
Generation 115 | Revalues: 187430 | GridSize: 299
Generation 116 | Revalues: 188540 | GridSize: 300
Generation 117 | Revalues: 189790 | GridSize: 300
Generation 118 | Revalues: 190960 | GridSize: 300
Generation 119 | Revalues: 192100 | GridSize: 300
Generation 120 | Revalues: 193160 | GridSize: 300
Generation 121 | Revalues: 194380 | GridSize: 300
Generation 122 | Revalues: 195440 | GridSize: 300
Generation 123 | Revalues: 196560 | GridSize: 298
Generation 124 | Revalues: 197750 | GridSize: 298
Generation 125 | Revalues: 198960 | GridSize: 300
Generation 126 | Revalues: 200150 | GridSize: 300
Generation 127 | Revalues: 201410 | GridSize: 300
Generation 128 | Revalues: 202710 | GridSize: 300
Generation 129 | Revalues: 203920 | GridSize: 300
Generation 130 | Revalues: 205060 | GridSize: 300
Generation 131 | Revalues: 206210 | GridSize: 300
Generation 132 | Revalues: 207390 | GridSize: 300
Generation 133 | Revalues: 208560 | GridSize: 300
Generation 134 | Revalues: 209650 | GridSize: 300
Generation 135 | Revalues: 210950 | GridSize: 299
Generation 136 | Revalues: 212420 | GridSize: 298
Generation 137 | Revalues: 213860 | GridSize: 300
Generation 138 | Revalues: 215240 | GridSize: 300
Generation 139 | Revalues: 216590 | GridSize: 297
