Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 34960 | GridSize: 298
Generation 2 | Revalues: 44220 | GridSize: 299
Generation 3 | Revalues: 51300 | GridSize: 289
Generation 4 | Revalues: 53610 | GridSize: 300
Generation 5 | Revalues: 57150 | GridSize: 295
Generation 6 | Revalues: 59120 | GridSize: 300
Generation 7 | Revalues: 61220 | GridSize: 300
Generation 8 | Revalues: 64380 | GridSize: 300
Generation 9 | Revalues: 65920 | GridSize: 300
Generation 10 | Revalues: 68070 | GridSize: 300
Generation 11 | Revalues: 69790 | GridSize: 300
Generation 12 | Revalues: 71490 | GridSize: 300
Generation 13 | Revalues: 73550 | GridSize: 300
Generation 14 | Revalues: 75640 | GridSize: 300
Generation 15 | Revalues: 77660 | GridSize: 300
Generation 16 | Revalues: 79430 | GridSize: 297
Generation 17 | Revalues: 82180 | GridSize: 300
Generation 18 | Revalues: 83860 | GridSize: 299
Generation 19 | Revalues: 85730 | GridSize: 299
Generation 20 | Revalues: 88300 | GridSize: 300
Generation 21 | Revalues: 89690 | GridSize: 300
Generation 22 | Revalues: 91000 | GridSize: 300
Generation 23 | Revalues: 92660 | GridSize: 300
Generation 24 | Revalues: 94310 | GridSize: 300
Generation 25 | Revalues: 95430 | GridSize: 300
Generation 26 | Revalues: 96730 | GridSize: 300
Generation 27 | Revalues: 98350 | GridSize: 299
Generation 28 | Revalues: 99560 | GridSize: 300
Generation 29 | Revalues: 101800 | GridSize: 300
Generation 30 | Revalues: 103330 | GridSize: 300
Generation 31 | Revalues: 104740 | GridSize: 300
Generation 32 | Revalues: 106200 | GridSize: 300
Generation 33 | Revalues: 108170 | GridSize: 300
Generation 34 | Revalues: 109410 | GridSize: 300
Generation 35 | Revalues: 111180 | GridSize: 298
Generation 36 | Revalues: 112610 | GridSize: 299
Generation 37 | Revalues: 113970 | GridSize: 300
Generation 38 | Revalues: 115260 | GridSize: 299
Generation 39 | Revalues: 116760 | GridSize: 300
Generation 40 | Revalues: 118670 | GridSize: 300
Generation 41 | Revalues: 120140 | GridSize: 300
Generation 42 | Revalues: 121760 | GridSize: 300
Generation 43 | Revalues: 122960 | GridSize: 300
Generation 44 | Revalues: 124230 | GridSize: 300
Generation 45 | Revalues: 125560 | GridSize: 300
Generation 46 | Revalues: 127220 | GridSize: 300
Generation 47 | Revalues: 128820 | GridSize: 300
Generation 48 | Revalues: 130050 | GridSize: 300
Generation 49 | Revalues: 131480 | GridSize: 300
Generation 50 | Revalues: 132760 | GridSize: 300
Generation 51 | Revalues: 134230 | GridSize: 300
Generation 52 | Revalues: 135470 | GridSize: 300
Generation 53 | Revalues: 137010 | GridSize: 299
Generation 54 | Revalues: 138100 | GridSize: 300
Generation 55 | Revalues: 139300 | GridSize: 300
Generation 56 | Revalues: 140920 | GridSize: 300
Generation 57 | Revalues: 142040 | GridSize: 300
Generation 58 | Revalues: 143740 | GridSize: 300
Generation 59 | Revalues: 144830 | GridSize: 300
Generation 60 | Revalues: 146340 | GridSize: 300
Generation 61 | Revalues: 147710 | GridSize: 300
Generation 62 | Revalues: 148820 | GridSize: 300
Generation 63 | Revalues: 150210 | GridSize: 298
Generation 64 | Revalues: 151420 | GridSize: 300
Generation 65 | Revalues: 152780 | GridSize: 300
Generation 66 | Revalues: 154190 | GridSize: 300
Generation 67 | Revalues: 155610 | GridSize: 300
Generation 68 | Revalues: 156940 | GridSize: 300
Generation 69 | Revalues: 158290 | GridSize: 300
Generation 70 | Revalues: 159490 | GridSize: 300
Generation 71 | Revalues: 160630 | GridSize: 300
Generation 72 | Revalues: 161910 | GridSize: 300
Generation 73 | Revalues: 163490 | GridSize: 299
Generation 74 | Revalues: 164920 | GridSize: 300
Generation 75 | Revalues: 166580 | GridSize: 300
Generation 76 | Revalues: 167810 | GridSize: 300
Generation 77 | Revalues: 168970 | GridSize: 300
Generation 78 | Revalues: 170640 | GridSize: 300
Generation 79 | Revalues: 171770 | GridSize: 300
Generation 80 | Revalues: 173210 | GridSize: 300
Generation 81 | Revalues: 174400 | GridSize: 300
Generation 82 | Revalues: 175620 | GridSize: 300
Generation 83 | Revalues: 176950 | GridSize: 300
Generation 84 | Revalues: 178170 | GridSize: 300
Generation 85 | Revalues: 179390 | GridSize: 300
Generation 86 | Revalues: 180410 | GridSize: 300
Generation 87 | Revalues: 181860 | GridSize: 300
Generation 88 | Revalues: 182900 | GridSize: 300
Generation 89 | Revalues: 184180 | GridSize: 300
