Instance_ID,total_area_km2,total_available_points,total_fixed_turbines,density,pareto_rw_INF_avg,pareto_rw_INF_sd,pareto_rw_INF_r1,pareto_rw_INF_kr,pareto_rw_INF_sk,pareto_rw_SUP_avg,pareto_rw_SUP_sd,pareto_rw_SUP_r1,pareto_rw_SUP_kr,pareto_rw_SUP_sk,pareto_rw_INC_avg,pareto_rw_INC_sd,pareto_rw_INC_r1,pareto_rw_INC_kr,pareto_rw_INC_sk,pareto_rw_IND_avg,pareto_rw_IND_sd,pareto_rw_IND_r1,pareto_rw_IND_kr,pareto_rw_IND_sk,pareto_aw_INF_avg,pareto_aw_INF_sd,pareto_aw_INF_r1,pareto_aw_INF_kr,pareto_aw_INF_sk,pareto_aw_SUP_avg,pareto_aw_SUP_sd,pareto_aw_SUP_r1,pareto_aw_SUP_kr,pareto_aw_SUP_sk,pareto_aw_INC_avg,pareto_aw_INC_sd,pareto_aw_INC_r1,pareto_aw_INC_kr,pareto_aw_INC_sk,pareto_aw_IND_avg,pareto_aw_IND_sd,pareto_aw_IND_r1,pareto_aw_IND_kr,pareto_aw_IND_sk,decomp_rw_FV_avg_avg,decomp_rw_FV_avg_sd,decomp_rw_FV_sd_avg,decomp_rw_FV_sd_sd,decomp_rw_FV_r1_avg,decomp_rw_FV_r1_sd,decomp_rw_FV_kr_avg,decomp_rw_FV_kr_sd,decomp_rw_FV_sk_avg,decomp_rw_FV_sk_sd,decomp_rw_FD_avg_avg,decomp_rw_FD_avg_sd,decomp_rw_FD_sd_avg,decomp_rw_FD_sd_sd,decomp_rw_FD_r1_avg,decomp_rw_FD_r1_sd,decomp_rw_FD_kr_avg,decomp_rw_FD_kr_sd,decomp_rw_FD_sk_avg,decomp_rw_FD_sk_sd,decomp_rw_IN_avg_avg,decomp_rw_IN_avg_sd,decomp_rw_IN_sd_avg,decomp_rw_IN_sd_sd,decomp_rw_IN_r1_avg,decomp_rw_IN_r1_sd,decomp_rw_IN_kr_avg,decomp_rw_IN_kr_sd,decomp_rw_IN_sk_avg,decomp_rw_IN_sk_sd,decomp_aw_FV_avg_avg,decomp_aw_FV_avg_sd,decomp_aw_FV_sd_avg,decomp_aw_FV_sd_sd,decomp_aw_FV_r1_avg,decomp_aw_FV_r1_sd,decomp_aw_FV_kr_avg,decomp_aw_FV_kr_sd,decomp_aw_FV_sk_avg,decomp_aw_FV_sk_sd,decomp_aw_FD_avg_avg,decomp_aw_FD_avg_sd,decomp_aw_FD_sd_avg,decomp_aw_FD_sd_sd,decomp_aw_FD_r1_avg,decomp_aw_FD_r1_sd,decomp_aw_FD_kr_avg,decomp_aw_FD_kr_sd,decomp_aw_FD_sk_avg,decomp_aw_FD_sk_sd,decomp_aw_IN_avg_avg,decomp_aw_IN_avg_sd,decomp_aw_IN_sd_avg,decomp_aw_IN_sd_sd,decomp_aw_IN_r1_avg,decomp_aw_IN_r1_sd,decomp_aw_IN_kr_avg,decomp_aw_IN_kr_sd,decomp_aw_IN_sk_avg,decomp_aw_IN_sk_sd,PC1,PC2,PC3,Cluster_Label
1,200.47206009386755,7383,50,36.828074678052594,0.2588,0.0361671121,0.2164908402,2.6314425451,-0.3240257907,0.28685,0.0419860393,0.3453388949,3.2064366432,-0.1048958179,0.45435,0.0436557843,0.2044778278,2.8821748227,-0.0371045327,0.0311,0.0089044932,0.1648821179,3.0453045562,0.4312973452,0.515,0.1180922294,0.9208374823,1.8126343644,-0.0996437831,0.0791549296,0.0512724421,0.8043608005,2.774915128,0.7293117676,0.4058450704,0.0740621452,0.8473087562,1.8857602277,-0.1113035736,0.0449295775,0.0108281375,0.1535910764,2.6582625416,0.0680466367,0.4948734065,0.3003831445,0.0021165147,0.0013469739,0.9371692729,0.045535977,2.4621813379,0.6473937489,-0.1330232051,0.4660983225,-4.0137e-06,6.96799e-05,5.63966e-05,3.21059e-05,0.2138873627,0.1700415894,2.7095216433,0.3118555777,-0.049312354,0.1599719557,0.492745,0.0341051825,0.0399255887,0.0045358423,0.1365417926,0.154425879,2.769760337,0.2621450746,-0.0578506215,0.2090846843,0.4454114655,0.2700865449,0.0226329168,0.0139969681,0.9763974298,0.0073443647,2.3085488014,0.1806886151,0.6993611484,0.1205633037,-0.0007358768,0.0004516577,0.0003136687,0.0001924706,0.9522284527,0.0141493421,2.4477058066,0.2568228256,0.7412428335,0.1432089863,0.1569305595,0.0210257059,0.145417192,0.0123984704,0.9464615247,0.0131869244,2.5763548111,0.2904703463,0.8679926152,0.1527123545,2.1452070816315087,1.433392073818746,-1.8880463083664047,1
3,486.6234913378517,17930,55,36.845734575422725,0.24195,0.032248217,0.3067342076,2.8735887271,0.0749972657,0.2401,0.0385161005,0.2584103036,2.8080555925,-0.2596342731,0.51795,0.0353701498,0.1342577087,2.722294496,0.0529112121,0.0335,0.0099121138,-0.0286842173,3.269331624,0.2187161059,0.4706535948,0.1528965356,0.9524544992,1.7301572069,-0.0367239665,0.0826797386,0.0746013942,0.9173366419,3.2243659249,1.0750783898,0.4466666667,0.0923300417,0.8800010503,1.820676209,-0.3541038259,0.044379085,0.0103582915,0.1119611538,2.7273353665,0.0293485032,0.4907955464,0.2989845951,0.0014543387,0.0009968306,0.9358909979,0.049220383,2.300237797,0.4467327766,-0.0684105166,0.4071616794,4.4079e-06,2.11965e-05,3.05489e-05,1.90541e-05,0.1192991532,0.134340364,2.9986414394,0.5847355883,0.0129044514,0.1849756715,0.5011625,0.0174559007,0.0370965993,0.0029359744,0.082145229,0.1195508617,2.9851447547,0.5570704244,0.0289400144,0.2314767397,0.4398460501,0.2691483534,0.0276499895,0.0172260605,0.9885142108,0.0066312726,2.093826382,0.228058208,0.5391416746,0.1488998694,-0.0004440317,0.0002752721,0.0002145062,0.0001328471,0.9712535271,0.0083957041,2.1154688364,0.2140120617,0.5291106646,0.1498426761,0.1739721529,0.020499043,0.1477928098,0.00751178,0.9600742946,0.005835242,2.3225399706,0.2127012193,0.7393876969,0.144876599,-0.8849718055382729,3.1622215400071263,-1.4447203365169548,1
7,140.43028761379438,4880,12,34.750338284720854,0.22235,0.0360239851,0.0233054358,3.0260722575,-0.1634399686,0.32545,0.035623693,0.3417284984,2.6331170926,-0.0826079932,0.4522,0.0435736159,0.1611795453,3.3284618877,0.0544919046,0.03215,0.0098299288,0.114436737,3.6103161627,0.5901661309,0.3923404255,0.075567717,0.856846936,2.213172818,0.435880132,0.0762765957,0.0558442752,0.8018592221,3.2377805871,0.8268871317,0.5313829787,0.04209541,0.3988560438,2.4522207094,-0.3011459763,0.0453191489,0.0117330346,-0.0747819001,1.8144986024,0.1209057464,0.4992390594,0.3025776914,0.0019292995,0.0014658895,0.9398037499,0.0358198854,2.5876588736,0.8136443116,-0.0706088323,0.5420129333,-3.984e-07,4.07106e-05,4.82417e-05,3.06209e-05,0.2289670356,0.1686869799,3.0267158411,0.6175339643,0.0766224928,0.2898443416,0.502665,0.0255758827,0.0395684522,0.0038483227,0.1594185655,0.1474055014,3.0209572105,0.6037613352,0.070809178,0.2244173204,0.4550983286,0.2769537145,0.0210533015,0.0126040313,0.9802870196,0.0054016102,2.1707867764,0.1314100325,0.6063253285,0.1002829218,-0.0006041546,0.0003595039,0.0002675143,0.0001602684,0.9608155248,0.0078690932,2.2574541953,0.1410045382,0.6203672706,0.1098462952,0.1578918149,0.0187167862,0.1453050446,0.014164662,0.9475166447,0.0111778949,2.6099102936,0.2505814398,0.8735918447,0.1394520393,-0.9710384710060052,1.0250360082527619,-1.354485250187099,1
8,501.3378369927656,18885,44,37.66920947614914,0.2514,0.0501202554,0.5672582392,2.6669344097,0.4819477252,0.31485,0.0653775764,0.7180656256,2.3787955405,-0.2574459478,0.43375,0.0384407011,0.2056306041,2.2971248081,-0.2153564913,0.034,0.0099247166,0.0281632234,2.6294416244,0.0168783348,0.4617663043,0.0975989172,0.877154252,2.3093326237,-0.212316934,0.0885054348,0.0743856722,0.9338242246,2.8269604557,0.9077887756,0.4497282609,0.0457210596,0.3002834191,2.667294621,-0.2549293758,0.0408967391,0.0100209124,0.124146613,3.3386158444,0.1946192182,0.4938709471,0.3000867742,0.0009344249,0.0006872054,0.9535241382,0.0304447386,2.2299589704,0.4763984213,-0.1773983119,0.4129186546,-1.0479e-06,1.54899e-05,2.07347e-05,1.28536e-05,0.2727149492,0.1773173454,2.8475320172,0.4103563011,-0.0391076766,0.2560786233,0.4923775,0.0251803022,0.0418836588,0.0053848398,0.2531183343,0.1523040974,2.9273775467,0.3504674967,-0.0906044515,0.2601253118,0.4572173739,0.2910347797,0.0208535143,0.0126230994,0.9912859272,0.003594572,2.1125251209,0.1528702351,0.574439663,0.1456812052,-0.0002257989,0.0001305001,0.0001035404,6.4623e-05,0.9681034326,0.0146275709,2.1687866712,0.29966302,0.5536754044,0.2166956279,0.1691590725,0.0307143475,0.1399425318,0.0203185232,0.9589897597,0.0175313211,2.4603479482,0.4963786088,0.758906469,0.2981921389,0.20465968059966286,-1.514738072414245,-0.3911679846117252,1
10,527.9065135699819,19517,64,36.97056107153474,0.25935,0.0321298537,0.1589208335,3.9290895388,0.1881923304,0.23995,0.0335670597,0.2222528592,2.8400592359,0.1948030259,0.5007,0.0376896538,0.1987052528,2.8290630177,-0.2246216694,0.03465,0.0093609561,-0.0444070571,2.9199350483,0.5587157103,0.4842944785,0.1203610077,0.9193852613,1.871841538,-0.3259435506,0.0748773006,0.0730029643,0.9293715879,3.3538167431,1.1917888769,0.4408282209,0.0632073805,0.7315398808,2.1303341372,-0.0952957148,0.0428527607,0.0111867763,0.0306986684,3.0544925169,0.4853998463,0.4981557596,0.3023620209,0.0012479653,0.0009465294,0.9407897146,0.0480089717,2.60985796,0.6156940335,0.080768716,0.4735626852,-8.2576e-06,2.0461e-05,2.75306e-05,1.70547e-05,0.0921216796,0.1170769985,2.7728565551,0.3778249065,-0.0038435553,0.2037997079,0.49197,0.0198882591,0.0375528854,0.002785148,0.0533938769,0.0988750404,2.8827555241,0.4233826336,-0.0236683557,0.2389504412,0.4496676157,0.2786535724,0.0217861476,0.0128159742,0.9884249745,0.0050171092,2.1742963772,0.2243417301,0.6224312281,0.1484722791,-0.0003518133,0.0002130707,0.0001529332,8.93103e-05,0.9666869522,0.0082008711,2.2979066216,0.3407884711,0.6624925287,0.1887615095,0.1603555783,0.0226753415,0.1426395608,0.01030306,0.9575217648,0.005625724,2.6124775289,0.3328326915,0.8803800294,0.1711761799,-1.2008416420977717,0.3156372180830133,-1.1064641128642703,1
14,292.3564474642647,11006,72,37.64582616685847,0.2837,0.0466616545,0.4407114324,2.6295184556,0.209885427,0.2311,0.0336049104,0.2715755104,3.7332908562,-0.3212276109,0.4852,0.0398931072,0.4026096041,3.5908434133,-0.0001950596,0.03845,0.0098156762,0.0638574865,2.943028535,0.357390377,0.4785638298,0.1222128035,0.9337978977,1.8524420672,-0.2356800086,0.0859574468,0.0648536675,0.8996590696,2.693053085,0.7579249578,0.4354787234,0.0684597612,0.7171696143,2.3654574432,0.0287682237,0.0330851064,0.0108448042,0.240462088,4.1702210419,0.6415675138,0.4926214188,0.3004764031,0.0016490245,0.0012981016,0.9270107727,0.0587726742,2.3178961933,0.5438128326,-0.0204828036,0.4170500077,3.8872e-06,3.17011e-05,5.08826e-05,3.32711e-05,0.4355132922,0.1716578127,2.8487290277,0.5309654555,0.1043006974,0.3010860611,0.49721,0.0261840629,0.0457362733,0.0057187459,0.361924555,0.1489510886,2.8175827557,0.5388788987,0.1113075567,0.2065024935,0.4514543088,0.2739386521,0.0232897397,0.0141233879,0.9839783946,0.0087450878,2.233626364,0.5415821033,0.6232468969,0.2348542008,-0.0006502474,0.0003976575,0.0002591694,0.000157916,0.9509650338,0.019422745,2.8489607719,0.7023347294,0.8638325526,0.2676298607,0.1414669876,0.0192121044,0.1353519392,0.0101650382,0.94433706,0.0094572909,3.3043435158,0.4655069531,1.126739343,0.1580045724,3.4147393734212157,-1.7771457988133195,-1.5754060909976577,1
15,472.4437811449951,16624,10,35.187255422667995,0.23585,0.0366473396,0.3969938421,3.6227106804,0.4730125908,0.23775,0.0307032164,0.0979604821,3.0796613707,0.279709452,0.5264,0.0401626692,0.2856790211,2.9951688155,-0.2768046774,0.04085,0.010748372,-0.0425377723,2.8779515652,0.6914055326,0.4802857143,0.1140485038,0.8969253567,1.9288910282,-0.1122820486,0.0639047619,0.0560738499,0.8916810366,2.982067253,1.0127647445,0.4558095238,0.0698983064,0.7324434047,2.0340914294,-0.2852146693,0.044047619,0.0104675289,0.0798115588,3.0438028177,0.3152252542,0.4934756016,0.3004515498,0.0012970567,0.0009460247,0.941125806,0.0407339772,2.6013333497,0.6390965188,0.038590072,0.5692370392,-8.558e-07,3.31443e-05,3.19053e-05,1.93035e-05,0.2486410001,0.1548936316,2.9367643706,0.5950261557,0.0353533942,0.2444255434,0.4999375,0.0276183403,0.0399387148,0.0034256287,0.2097559488,0.1409094192,2.9703325502,0.435024877,0.0500857957,0.2584131925,0.453285929,0.2776041837,0.0204734271,0.012575807,0.9856182777,0.0066549854,2.2432648865,0.155272699,0.6805695663,0.1029143997,-0.0003921567,0.0002402252,0.0001707711,0.0001065314,0.9632594815,0.0137014384,2.3642274323,0.157279678,0.7382530947,0.0950624066,0.1499947458,0.0163832371,0.1406780563,0.0107813305,0.9567201368,0.0086034686,2.6752085236,0.2718735327,0.9455162619,0.1249350721,-0.2786812061494263,0.7293309594354919,-2.715607001474879,1
19,200.06889085103376,7407,45,37.02224752930262,0.2475,0.0378516842,0.3406623113,2.1354266871,0.0277280938,0.29895,0.0404616794,0.3172594002,2.5758376601,0.3189744581,0.45355,0.0382837759,0.3850559573,2.772109432,0.1223899759,0.03345,0.0092383711,0.1426560235,2.5337183196,0.1735505785,0.4959574468,0.1074171541,0.9095283429,2.1030602172,-0.302359304,0.0745744681,0.0580794557,0.9130486244,2.9331512891,0.9656976234,0.4294680851,0.0587569285,0.6448668014,2.0665088183,-0.1861301472,0.0404255319,0.011052572,0.1127987474,2.5723243195,0.1582429641,0.4908544871,0.2985303624,0.0015057077,0.0009283226,0.9362886513,0.0306514718,2.4943552487,0.5169838793,0.0557323157,0.4141347763,-1.2771e-06,3.72143e-05,4.25711e-05,2.56725e-05,0.2675576708,0.2089156286,2.7268587549,0.4030429706,0.0139317952,0.2495064343,0.4938225,0.0288725063,0.0405000322,0.0056393058,0.1823911522,0.1592965285,2.8031815321,0.4492772092,-0.029082784,0.2105956185,0.4360680183,0.2656053162,0.0266098585,0.0158732165,0.9846834426,0.0058771899,2.1962354029,0.1220944317,0.6535590899,0.0909883874,-0.0006623308,0.0004025892,0.0002557061,0.0001557017,0.9566688195,0.0076065555,2.7026742782,0.2246990845,0.8661502821,0.1106837908,0.1430323218,0.0192913562,0.1352751688,0.0084571624,0.9492364228,0.0093109002,2.971683671,0.3389822486,1.0187419792,0.1387782692,2.355058739860494,0.12782656811099374,-3.286181822382719,1
21,617.9322775180581,22961,12,37.15779355663939,0.24755,0.0306960502,0.0292548622,3.402211503,-0.2353994966,0.24375,0.038074762,0.1973613561,3.5033401686,0.4248825285,0.5087,0.0355149264,0.0804065688,2.5725367716,-0.3231630037,0.0418,0.0117796435,0.1452325729,2.8767017776,0.2721640919,0.4852209945,0.1411611508,0.9340130633,1.8652662849,-0.2351991258,0.0983149171,0.0797098,0.9350961064,2.6369902032,0.8508427742,0.4164640884,0.0718841539,0.7910666908,2.0927449896,-0.1873908624,0.0435082873,0.0106156451,0.1401354743,3.5107621107,0.6564049781,0.4953095575,0.3006630828,0.0011196574,0.0008467847,0.939222699,0.0374583451,2.5351386426,0.5995531668,-0.0110750992,0.5054714838,4.9905e-06,1.56822e-05,2.27122e-05,1.43166e-05,0.161207909,0.1307542577,2.7871009688,0.2262180202,-0.076060656,0.1877031053,0.5074525,0.0192435475,0.0369456376,0.0025550905,0.0907250619,0.1220371171,2.909445814,0.32217487,-0.056157284,0.21377866,0.4575598245,0.2874257991,0.0209466713,0.0125782823,0.9893711574,0.0050410554,2.3026686658,0.2875309136,0.7037540801,0.1651642735,-0.0002778915,0.0001742527,0.000117444,7.05696e-05,0.9649798603,0.0057198831,2.3535891989,0.2694086903,0.67636104,0.16668166,0.1590764199,0.0169265192,0.1406634556,0.0126419207,0.9578791508,0.007694721,2.5559661652,0.3325042814,0.8474926893,0.1759062066,-1.4642682344390745,1.4660484994700036,-1.2780638063826557,1
24,217.0562139773752,7607,44,35.046220795102016,0.26745,0.0394746438,0.3630004259,2.7895574657,0.1143843287,0.2605,0.050217029,0.6449883907,2.4603615345,-0.2342188062,0.47205,0.0401378562,0.254259832,3.7281933356,0.2365643083,0.0383,0.0107522091,0.2100478724,2.9371686965,0.3173805628,0.4565841584,0.1373005857,0.9325919237,1.8685152806,-0.1889177502,0.0872277228,0.0744733165,0.9107268825,2.2840020621,0.7947174959,0.4561881188,0.0751043779,0.7648697842,2.1679953121,-0.2213100765,0.0448019802,0.0105050858,0.3405423392,2.6805312588,0.065096825,0.4956557957,0.3009148924,0.0020709735,0.0013404411,0.9278639233,0.0427230863,2.4772915841,0.8824188416,-0.0949519179,0.5113573058,1.4421e-05,7.57412e-05,5.52666e-05,3.24588e-05,0.2817474813,0.1367497249,3.1214486213,0.5452402307,0.1473571663,0.2451823508,0.508115,0.0322450349,0.0394002821,0.0052746821,0.1838365269,0.1147731175,3.0168528852,0.3712343052,0.1478781672,0.2163758016,0.4400920656,0.2673416325,0.0243544382,0.0147366654,0.9828779313,0.0062895485,2.2632660521,0.1219017824,0.6643039215,0.092836651,-0.0005927534,0.0003565854,0.0002294087,0.000142022,0.9486413967,0.0124470478,2.63163468,0.3560468086,0.7842992476,0.1777917614,0.1469253552,0.0154135972,0.13376922,0.0101898846,0.9478850262,0.0130071561,2.8574590174,0.3889343973,0.9678045489,0.165447009,1.7057748135584367,0.8014329142380824,-2.6253505297634723,1
