Instance_ID,total_area_km2,total_available_points,total_fixed_turbines,density,pareto_rw_INF_avg,pareto_rw_INF_sd,pareto_rw_INF_r1,pareto_rw_INF_kr,pareto_rw_INF_sk,pareto_rw_SUP_avg,pareto_rw_SUP_sd,pareto_rw_SUP_r1,pareto_rw_SUP_kr,pareto_rw_SUP_sk,pareto_rw_INC_avg,pareto_rw_INC_sd,pareto_rw_INC_r1,pareto_rw_INC_kr,pareto_rw_INC_sk,pareto_rw_IND_avg,pareto_rw_IND_sd,pareto_rw_IND_r1,pareto_rw_IND_kr,pareto_rw_IND_sk,pareto_aw_INF_avg,pareto_aw_INF_sd,pareto_aw_INF_r1,pareto_aw_INF_kr,pareto_aw_INF_sk,pareto_aw_SUP_avg,pareto_aw_SUP_sd,pareto_aw_SUP_r1,pareto_aw_SUP_kr,pareto_aw_SUP_sk,pareto_aw_INC_avg,pareto_aw_INC_sd,pareto_aw_INC_r1,pareto_aw_INC_kr,pareto_aw_INC_sk,pareto_aw_IND_avg,pareto_aw_IND_sd,pareto_aw_IND_r1,pareto_aw_IND_kr,pareto_aw_IND_sk,decomp_rw_FV_avg_avg,decomp_rw_FV_avg_sd,decomp_rw_FV_sd_avg,decomp_rw_FV_sd_sd,decomp_rw_FV_r1_avg,decomp_rw_FV_r1_sd,decomp_rw_FV_kr_avg,decomp_rw_FV_kr_sd,decomp_rw_FV_sk_avg,decomp_rw_FV_sk_sd,decomp_rw_FD_avg_avg,decomp_rw_FD_avg_sd,decomp_rw_FD_sd_avg,decomp_rw_FD_sd_sd,decomp_rw_FD_r1_avg,decomp_rw_FD_r1_sd,decomp_rw_FD_kr_avg,decomp_rw_FD_kr_sd,decomp_rw_FD_sk_avg,decomp_rw_FD_sk_sd,decomp_rw_IN_avg_avg,decomp_rw_IN_avg_sd,decomp_rw_IN_sd_avg,decomp_rw_IN_sd_sd,decomp_rw_IN_r1_avg,decomp_rw_IN_r1_sd,decomp_rw_IN_kr_avg,decomp_rw_IN_kr_sd,decomp_rw_IN_sk_avg,decomp_rw_IN_sk_sd,decomp_aw_FV_avg_avg,decomp_aw_FV_avg_sd,decomp_aw_FV_sd_avg,decomp_aw_FV_sd_sd,decomp_aw_FV_r1_avg,decomp_aw_FV_r1_sd,decomp_aw_FV_kr_avg,decomp_aw_FV_kr_sd,decomp_aw_FV_sk_avg,decomp_aw_FV_sk_sd,decomp_aw_FD_avg_avg,decomp_aw_FD_avg_sd,decomp_aw_FD_sd_avg,decomp_aw_FD_sd_sd,decomp_aw_FD_r1_avg,decomp_aw_FD_r1_sd,decomp_aw_FD_kr_avg,decomp_aw_FD_kr_sd,decomp_aw_FD_sk_avg,decomp_aw_FD_sk_sd,decomp_aw_IN_avg_avg,decomp_aw_IN_avg_sd,decomp_aw_IN_sd_avg,decomp_aw_IN_sd_sd,decomp_aw_IN_r1_avg,decomp_aw_IN_r1_sd,decomp_aw_IN_kr_avg,decomp_aw_IN_kr_sd,decomp_aw_IN_sk_avg,decomp_aw_IN_sk_sd,PC1,PC2,PC3,Cluster_Label
0,1137.9264919271588,42616,45,37.450573742972445,0.24985,0.033522045,0.0540344917,3.0891031634,0.1234264591,0.2452,0.0317641307,-0.0288211983,3.274583726,0.1347827203,0.50495,0.0387781833,-0.0190062325,2.8793803048,-0.0539023805,0.03605,0.0101315103,0.0151830055,2.6718203388,-0.0487966433,0.3928138528,0.0837699642,0.8381004295,2.0075817656,-0.0824295116,0.104047619,0.06048829,0.8931821852,2.5033419395,0.5888419314,0.5031385281,0.0412966025,0.3034503229,2.9468201928,-0.1739855196,0.0422510823,0.0105640568,0.036304113,3.0443023776,0.1919326639,0.4975422178,0.3019958969,0.0005830481,0.000504772,0.9552965579,0.0289811373,2.2541328127,0.4946260631,0.1417823898,0.3944961892,-1.1743e-06,6.0946e-06,1.03073e-05,6.1179e-06,-0.0020014892,0.0978527636,3.0419596921,0.3005873626,-0.1002714291,0.2489929075,0.4980175,0.0160893853,0.0361968631,0.0023132182,-0.0295615245,0.1115447867,2.9033107091,0.3820993487,-0.0454413631,0.2594824076,0.4474370107,0.3096638974,0.0253810159,0.0157808551,0.9954744111,0.0028993772,2.1460067119,0.2518058457,0.5686492176,0.1784599271,-0.0001307269,7.81922e-05,6.01179e-05,3.65385e-05,0.9705699688,0.0082139371,2.2864869819,0.2556800814,0.5935365635,0.1815590258,0.1788478904,0.0264397079,0.1423809369,0.0111574764,0.9616809204,0.0059466518,2.4681763128,0.185812125,0.7668310795,0.1713618229,-4.52964453278975,0.23300302216047356,2.085014816684597,0
1,200.47206009386755,7383,50,36.828074678052594,0.2588,0.0361671121,0.2164908402,2.6314425451,-0.3240257907,0.28685,0.0419860393,0.3453388949,3.2064366432,-0.1048958179,0.45435,0.0436557843,0.2044778278,2.8821748227,-0.0371045327,0.0311,0.0089044932,0.1648821179,3.0453045562,0.4312973452,0.515,0.1180922294,0.9208374823,1.8126343644,-0.0996437831,0.0791549296,0.0512724421,0.8043608005,2.774915128,0.7293117676,0.4058450704,0.0740621452,0.8473087562,1.8857602277,-0.1113035736,0.0449295775,0.0108281375,0.1535910764,2.6582625416,0.0680466367,0.4948734065,0.3003831445,0.0021165147,0.0013469739,0.9371692729,0.045535977,2.4621813379,0.6473937489,-0.1330232051,0.4660983225,-4.0137e-06,6.96799e-05,5.63966e-05,3.21059e-05,0.2138873627,0.1700415894,2.7095216433,0.3118555777,-0.049312354,0.1599719557,0.492745,0.0341051825,0.0399255887,0.0045358423,0.1365417926,0.154425879,2.769760337,0.2621450746,-0.0578506215,0.2090846843,0.4454114655,0.2700865449,0.0226329168,0.0139969681,0.9763974298,0.0073443647,2.3085488014,0.1806886151,0.6993611484,0.1205633037,-0.0007358768,0.0004516577,0.0003136687,0.0001924706,0.9522284527,0.0141493421,2.4477058066,0.2568228256,0.7412428335,0.1432089863,0.1569305595,0.0210257059,0.145417192,0.0123984704,0.9464615247,0.0131869244,2.5763548111,0.2904703463,0.8679926152,0.1527123545,0.13485778311065888,-2.6406366540932016,0.5935824771062788,0
2,411.3603277930127,15422,4,37.49024628296194,0.2484,0.0328243812,0.120394934,2.8908586124,0.2334371338,0.2555,0.030062435,-0.0074903099,2.7929250529,0.1860305433,0.4961,0.0365005479,0.1369504022,2.4480177651,-0.0490010604,0.03855,0.0102541455,0.1355815561,3.3494218611,0.3447329074,0.4366333333,0.1129741809,0.9240312315,1.9802847627,-0.2901731488,0.0844666667,0.0766140689,0.9052324356,3.4277693133,1.1439074258,0.4789,0.0545889794,0.6225956418,2.6039263487,-0.0356378709,0.0439333333,0.0123502587,0.189375801,3.5560204644,0.6198414057,0.4964549089,0.3014682124,0.0008929794,0.0005883154,0.9375273054,0.0461895729,2.5561904089,0.9354849399,0.1889464189,0.4950447416,2.844e-07,1.36817e-05,1.8146e-05,1.10746e-05,0.0197858835,0.1419833318,2.776609679,0.2581155668,0.0290154239,0.168730802,0.4980925,0.0197653059,0.0358715672,0.0026480732,0.0231154232,0.1261395374,2.8901407862,0.3569941908,-0.0468476448,0.2103256174,0.4483752396,0.2798123712,0.02394516,0.0139478869,0.9922268392,0.0044771604,1.9389831234,0.1138288343,0.408060441,0.1132710846,-0.0002873342,0.0001686083,0.0001419608,8.34852e-05,0.9730993578,0.0091309436,1.9782004658,0.0821990249,0.399186488,0.0934659144,0.1881486254,0.0330051255,0.1419751796,0.0108424262,0.9565012206,0.0121760752,2.1824870628,0.1440785183,0.6080473833,0.1397452057,-3.5915519347326392,-0.34251544107599424,2.7607116074761864,0
3,486.6234913378517,17930,55,36.845734575422725,0.24195,0.032248217,0.3067342076,2.8735887271,0.0749972657,0.2401,0.0385161005,0.2584103036,2.8080555925,-0.2596342731,0.51795,0.0353701498,0.1342577087,2.722294496,0.0529112121,0.0335,0.0099121138,-0.0286842173,3.269331624,0.2187161059,0.4706535948,0.1528965356,0.9524544992,1.7301572069,-0.0367239665,0.0826797386,0.0746013942,0.9173366419,3.2243659249,1.0750783898,0.4466666667,0.0923300417,0.8800010503,1.820676209,-0.3541038259,0.044379085,0.0103582915,0.1119611538,2.7273353665,0.0293485032,0.4907955464,0.2989845951,0.0014543387,0.0009968306,0.9358909979,0.049220383,2.300237797,0.4467327766,-0.0684105166,0.4071616794,4.4079e-06,2.11965e-05,3.05489e-05,1.90541e-05,0.1192991532,0.134340364,2.9986414394,0.5847355883,0.0129044514,0.1849756715,0.5011625,0.0174559007,0.0370965993,0.0029359744,0.082145229,0.1195508617,2.9851447547,0.5570704244,0.0289400144,0.2314767397,0.4398460501,0.2691483534,0.0276499895,0.0172260605,0.9885142108,0.0066312726,2.093826382,0.228058208,0.5391416746,0.1488998694,-0.0004440317,0.0002752721,0.0002145062,0.0001328471,0.9712535271,0.0083957041,2.1154688364,0.2140120617,0.5291106646,0.1498426761,0.1739721529,0.020499043,0.1477928098,0.00751178,0.9600742946,0.005835242,2.3225399706,0.2127012193,0.7393876969,0.144876599,-2.1864099897847704,-1.5352032833029554,3.0985889545288203,0
4,573.9872024678868,19981,28,34.81088065045821,0.2247,0.0328010671,-0.0722792474,2.7953847749,-0.0951844486,0.26525,0.0309949593,0.084612056,2.5100323789,0.3349362357,0.51005,0.0341137436,-0.1379212045,3.1685031646,0.0814031574,0.03785,0.0099059326,-0.0399538546,3.1242236146,0.2819940639,0.3862671233,0.0827084574,0.8394346359,2.0918958403,-0.1140225775,0.0892123288,0.0689269227,0.8716639172,2.8976887427,0.895585381,0.5245205479,0.040439913,0.2534606774,2.5509605945,0.063816984,0.0432191781,0.0126564149,0.3049919831,2.2252200468,0.0836794025,0.4980781903,0.3020286258,0.0005582589,0.0004246393,0.9298536055,0.0478300507,2.3400680536,0.396280922,0.1613838042,0.3265703609,5.956e-07,7.2346e-06,1.31846e-05,8.207e-06,0.1869631275,0.101754891,2.881506116,0.4035170007,-0.0006631038,0.2325745775,0.500315,0.0186377044,0.0378531229,0.0035676098,0.1749625293,0.0967094728,2.9228386069,0.4525729539,-0.1026446469,0.2393006945,0.4578103899,0.3049580966,0.0170596146,0.011300197,0.9927680494,0.0033258575,2.2520431703,0.2679785913,0.6736311958,0.2526742603,-0.0001289967,9.73382e-05,6.1932e-05,4.06364e-05,0.9163693681,0.1427322152,2.3113387166,0.4375067123,0.6170337837,0.2354145807,0.1984784862,0.1053635515,0.133395218,0.0322922566,0.8930289427,0.1943022291,2.3407325447,0.3838390831,0.6913135507,0.2483404928,-0.5675843626467315,8.265038774214537,-5.016356339548216,0
5,630.779563634264,22606,46,35.83819340904855,0.28065,0.030876002,0.0090719071,2.5108863912,0.0258022168,0.23725,0.0344192896,-0.1197749947,2.4198980008,-0.1964822731,0.4821,0.0305055733,0.0153028084,2.3327863844,0.1136220018,0.0365,0.00988686,-0.0476411327,3.8345968433,0.0923491868,0.4394137931,0.1120067785,0.9080310093,1.9501187328,-0.1746771427,0.0906206897,0.0753574991,0.928218569,2.8555307607,0.937386312,0.4699655172,0.0534160526,0.6084597201,2.7574438563,-0.1312561228,0.0405862069,0.011492178,0.1387870799,2.7618858988,0.2160283008,0.4960610641,0.3005285116,0.000418285,0.0002743725,0.9268602861,0.0438187968,2.5091737025,0.5759896485,0.1187652568,0.3967130686,-3.5646e-06,8.0497e-06,1.04081e-05,6.5167e-06,0.0511287682,0.0912183461,3.1388444323,0.4549897602,0.0060330636,0.2522415016,0.4945925,0.0178366426,0.0353951999,0.0021518472,0.0380629589,0.0839938588,2.9088553992,0.4346279906,-0.0513329183,0.2140979664,0.4591277825,0.3055930864,0.0184481792,0.0110579657,0.9943951936,0.002844015,2.0980335368,0.141890057,0.5405818193,0.1503731997,-0.0001242777,7.73537e-05,5.85761e-05,3.54789e-05,0.9692796062,0.0123553437,2.2616317749,0.1796556172,0.6160159211,0.1789269088,0.1879417996,0.0514797236,0.1408153742,0.0139226505,0.9564513984,0.0224928828,2.4651054118,0.2245257811,0.7661572883,0.2069562554,-4.070915188547868,0.6589268040198171,1.179813771333029,0
6,712.6845639773555,26720,72,37.49204255369418,0.24115,0.0301567157,0.1630939914,2.9389516141,-0.2465892542,0.2641,0.0263285017,-0.0519354112,2.5507769054,0.04793483,0.49475,0.0323834448,-0.1141938683,3.6176264131,-0.1658480528,0.0332,0.0094212526,0.1035578407,2.8248328937,0.2393311762,0.3875126904,0.0993297645,0.9056890306,2.0328585518,-0.0306235994,0.120177665,0.0862830539,0.9327903461,2.0368051177,0.5231381322,0.4923096447,0.038326285,0.2482906003,2.7174465271,-0.1407589691,0.0416497462,0.0129600778,0.286962402,2.534538691,0.049496871,0.5019591664,0.3047353459,0.0007403442,0.0007074965,0.9292363386,0.0569225912,2.5058058858,0.6856841888,0.0369558066,0.5062149183,7.866e-07,1.43936e-05,1.39978e-05,8.8809e-06,0.002469131,0.096116596,2.962868051,0.3965392145,-0.0298392503,0.2192797802,0.49903,0.0234151628,0.0360765219,0.0022358034,0.0292618736,0.1053873031,2.9738130622,0.5039373773,-0.0015309989,0.1893167255,0.4596429116,0.2952095411,0.0190646546,0.0117669395,0.9926931917,0.0034176315,2.1317865782,0.1757212459,0.597632586,0.1497217576,-0.0001742046,0.0001068508,8.15887e-05,5.04545e-05,0.9716289356,0.005318236,2.1615428386,0.1699963814,0.5943447049,0.1485632707,0.1741210835,0.0290420122,0.1454196281,0.0084658658,0.962666983,0.0069477686,2.3830840571,0.2426330286,0.7624203564,0.1810102102,-4.606268704392562,0.3747539262306106,2.7535537392645772,0
7,140.43028761379438,4880,12,34.750338284720854,0.22235,0.0360239851,0.0233054358,3.0260722575,-0.1634399686,0.32545,0.035623693,0.3417284984,2.6331170926,-0.0826079932,0.4522,0.0435736159,0.1611795453,3.3284618877,0.0544919046,0.03215,0.0098299288,0.114436737,3.6103161627,0.5901661309,0.3923404255,0.075567717,0.856846936,2.213172818,0.435880132,0.0762765957,0.0558442752,0.8018592221,3.2377805871,0.8268871317,0.5313829787,0.04209541,0.3988560438,2.4522207094,-0.3011459763,0.0453191489,0.0117330346,-0.0747819001,1.8144986024,0.1209057464,0.4992390594,0.3025776914,0.0019292995,0.0014658895,0.9398037499,0.0358198854,2.5876588736,0.8136443116,-0.0706088323,0.5420129333,-3.984e-07,4.07106e-05,4.82417e-05,3.06209e-05,0.2289670356,0.1686869799,3.0267158411,0.6175339643,0.0766224928,0.2898443416,0.502665,0.0255758827,0.0395684522,0.0038483227,0.1594185655,0.1474055014,3.0209572105,0.6037613352,0.070809178,0.2244173204,0.4550983286,0.2769537145,0.0210533015,0.0126040313,0.9802870196,0.0054016102,2.1707867764,0.1314100325,0.6063253285,0.1002829218,-0.0006041546,0.0003595039,0.0002675143,0.0001602684,0.9608155248,0.0078690932,2.2574541953,0.1410045382,0.6203672706,0.1098462952,0.1578918149,0.0187167862,0.1453050446,0.014164662,0.9475166447,0.0111778949,2.6099102936,0.2505814398,0.8735918447,0.1394520393,-1.6296169339276285,-1.6246984466567975,1.3972970179683324,0
8,501.3378369927656,18885,44,37.66920947614914,0.2514,0.0501202554,0.5672582392,2.6669344097,0.4819477252,0.31485,0.0653775764,0.7180656256,2.3787955405,-0.2574459478,0.43375,0.0384407011,0.2056306041,2.2971248081,-0.2153564913,0.034,0.0099247166,0.0281632234,2.6294416244,0.0168783348,0.4617663043,0.0975989172,0.877154252,2.3093326237,-0.212316934,0.0885054348,0.0743856722,0.9338242246,2.8269604557,0.9077887756,0.4497282609,0.0457210596,0.3002834191,2.667294621,-0.2549293758,0.0408967391,0.0100209124,0.124146613,3.3386158444,0.1946192182,0.4938709471,0.3000867742,0.0009344249,0.0006872054,0.9535241382,0.0304447386,2.2299589704,0.4763984213,-0.1773983119,0.4129186546,-1.0479e-06,1.54899e-05,2.07347e-05,1.28536e-05,0.2727149492,0.1773173454,2.8475320172,0.4103563011,-0.0391076766,0.2560786233,0.4923775,0.0251803022,0.0418836588,0.0053848398,0.2531183343,0.1523040974,2.9273775467,0.3504674967,-0.0906044515,0.2601253118,0.4572173739,0.2910347797,0.0208535143,0.0126230994,0.9912859272,0.003594572,2.1125251209,0.1528702351,0.574439663,0.1456812052,-0.0002257989,0.0001305001,0.0001035404,6.4623e-05,0.9681034326,0.0146275709,2.1687866712,0.29966302,0.5536754044,0.2166956279,0.1691590725,0.0307143475,0.1399425318,0.0203185232,0.9589897597,0.0175313211,2.4603479482,0.4963786088,0.758906469,0.2981921389,-2.334407214283992,-0.9555463507262516,-0.5029269763787806,0
9,854.8997360093806,32089,32,37.53539584628892,0.25825,0.0290032326,0.2697114763,2.7762647306,-0.2952047379,0.2495,0.0336340601,0.1760756516,2.6807129453,0.3316685252,0.49225,0.0336405633,-0.0187455229,2.6243057213,-0.2512839303,0.03755,0.008230887,-0.2150278051,3.3206826904,0.3656603308,0.4101715686,0.090269721,0.8483338232,2.1531657508,-0.173737106,0.0792401961,0.0600880575,0.9102370044,2.4023741897,0.6635622286,0.5105882353,0.0456128966,0.3537438931,3.1940197258,0.1239040777,0.0473039216,0.0115081295,0.0780863083,3.3565966105,0.3241025836,0.4958252315,0.3015276182,0.0006540517,0.0005465024,0.9501416004,0.0317435713,2.5660229384,1.0860467248,-0.0920529138,0.5912148738,-2.4227e-06,5.8342e-06,1.29016e-05,7.704e-06,0.0519624056,0.1192122458,3.0825424167,0.4577414965,0.023328462,0.2592243542,0.4956775,0.0160966726,0.0364407816,0.0017804662,0.050213158,0.1096631911,3.0387245729,0.4915014106,-0.0605226253,0.2194287841,0.4615374062,0.3056002825,0.0164635307,0.0104945535,0.9928781463,0.0039338012,2.1669300757,0.2375448152,0.5792262217,0.2048505367,-0.0001435207,9.20514e-05,6.08646e-05,3.67081e-05,0.9503076186,0.0435781967,2.3701941109,0.2523181043,0.6190000353,0.185638917,0.1855844535,0.0786273236,0.1262656605,0.0240104865,0.9380750017,0.0579067855,2.5585180023,0.2069533149,0.7759812292,0.2097974611,-3.356787270937025,2.9110630583815436,-0.4587380424691562,0
