Instance_ID,total_area_km2,total_available_points,total_fixed_turbines,density,pareto_rw_INF_avg,pareto_rw_INF_sd,pareto_rw_INF_r1,pareto_rw_INF_kr,pareto_rw_INF_sk,pareto_rw_SUP_avg,pareto_rw_SUP_sd,pareto_rw_SUP_r1,pareto_rw_SUP_kr,pareto_rw_SUP_sk,pareto_rw_INC_avg,pareto_rw_INC_sd,pareto_rw_INC_r1,pareto_rw_INC_kr,pareto_rw_INC_sk,pareto_rw_IND_avg,pareto_rw_IND_sd,pareto_rw_IND_r1,pareto_rw_IND_kr,pareto_rw_IND_sk,pareto_aw_INF_avg,pareto_aw_INF_sd,pareto_aw_INF_r1,pareto_aw_INF_kr,pareto_aw_INF_sk,pareto_aw_SUP_avg,pareto_aw_SUP_sd,pareto_aw_SUP_r1,pareto_aw_SUP_kr,pareto_aw_SUP_sk,pareto_aw_INC_avg,pareto_aw_INC_sd,pareto_aw_INC_r1,pareto_aw_INC_kr,pareto_aw_INC_sk,pareto_aw_IND_avg,pareto_aw_IND_sd,pareto_aw_IND_r1,pareto_aw_IND_kr,pareto_aw_IND_sk,decomp_rw_FV_avg_avg,decomp_rw_FV_avg_sd,decomp_rw_FV_sd_avg,decomp_rw_FV_sd_sd,decomp_rw_FV_r1_avg,decomp_rw_FV_r1_sd,decomp_rw_FV_kr_avg,decomp_rw_FV_kr_sd,decomp_rw_FV_sk_avg,decomp_rw_FV_sk_sd,decomp_rw_FD_avg_avg,decomp_rw_FD_avg_sd,decomp_rw_FD_sd_avg,decomp_rw_FD_sd_sd,decomp_rw_FD_r1_avg,decomp_rw_FD_r1_sd,decomp_rw_FD_kr_avg,decomp_rw_FD_kr_sd,decomp_rw_FD_sk_avg,decomp_rw_FD_sk_sd,decomp_rw_IN_avg_avg,decomp_rw_IN_avg_sd,decomp_rw_IN_sd_avg,decomp_rw_IN_sd_sd,decomp_rw_IN_r1_avg,decomp_rw_IN_r1_sd,decomp_rw_IN_kr_avg,decomp_rw_IN_kr_sd,decomp_rw_IN_sk_avg,decomp_rw_IN_sk_sd,decomp_aw_FV_avg_avg,decomp_aw_FV_avg_sd,decomp_aw_FV_sd_avg,decomp_aw_FV_sd_sd,decomp_aw_FV_r1_avg,decomp_aw_FV_r1_sd,decomp_aw_FV_kr_avg,decomp_aw_FV_kr_sd,decomp_aw_FV_sk_avg,decomp_aw_FV_sk_sd,decomp_aw_FD_avg_avg,decomp_aw_FD_avg_sd,decomp_aw_FD_sd_avg,decomp_aw_FD_sd_sd,decomp_aw_FD_r1_avg,decomp_aw_FD_r1_sd,decomp_aw_FD_kr_avg,decomp_aw_FD_kr_sd,decomp_aw_FD_sk_avg,decomp_aw_FD_sk_sd,decomp_aw_IN_avg_avg,decomp_aw_IN_avg_sd,decomp_aw_IN_sd_avg,decomp_aw_IN_sd_sd,decomp_aw_IN_r1_avg,decomp_aw_IN_r1_sd,decomp_aw_IN_kr_avg,decomp_aw_IN_kr_sd,decomp_aw_IN_sk_avg,decomp_aw_IN_sk_sd,PC1,PC2,PC3,Cluster_Label
0,1137.9264919271588,42616,45,37.450573742972445,0.24985,0.033522045,0.0540344917,3.0891031634,0.1234264591,0.2452,0.0317641307,-0.0288211983,3.274583726,0.1347827203,0.50495,0.0387781833,-0.0190062325,2.8793803048,-0.0539023805,0.03605,0.0101315103,0.0151830055,2.6718203388,-0.0487966433,0.3928138528,0.0837699642,0.8381004295,2.0075817656,-0.0824295116,0.104047619,0.06048829,0.8931821852,2.5033419395,0.5888419314,0.5031385281,0.0412966025,0.3034503229,2.9468201928,-0.1739855196,0.0422510823,0.0105640568,0.036304113,3.0443023776,0.1919326639,0.4975422178,0.3019958969,0.0005830481,0.000504772,0.9552965579,0.0289811373,2.2541328127,0.4946260631,0.1417823898,0.3944961892,-1.1743e-06,6.0946e-06,1.03073e-05,6.1179e-06,-0.0020014892,0.0978527636,3.0419596921,0.3005873626,-0.1002714291,0.2489929075,0.4980175,0.0160893853,0.0361968631,0.0023132182,-0.0295615245,0.1115447867,2.9033107091,0.3820993487,-0.0454413631,0.2594824076,0.4474370107,0.3096638974,0.0253810159,0.0157808551,0.9954744111,0.0028993772,2.1460067119,0.2518058457,0.5686492176,0.1784599271,-0.0001307269,7.81922e-05,6.01179e-05,3.65385e-05,0.9705699688,0.0082139371,2.2864869819,0.2556800814,0.5935365635,0.1815590258,0.1788478904,0.0264397079,0.1423809369,0.0111574764,0.9616809204,0.0059466518,2.4681763128,0.185812125,0.7668310795,0.1713618229,-4.52964453278975,0.23300302216047356,2.085014816684597,0
10,527.9065135699819,19517,64,36.97056107153474,0.25935,0.0321298537,0.1589208335,3.9290895388,0.1881923304,0.23995,0.0335670597,0.2222528592,2.8400592359,0.1948030259,0.5007,0.0376896538,0.1987052528,2.8290630177,-0.2246216694,0.03465,0.0093609561,-0.0444070571,2.9199350483,0.5587157103,0.4842944785,0.1203610077,0.9193852613,1.871841538,-0.3259435506,0.0748773006,0.0730029643,0.9293715879,3.3538167431,1.1917888769,0.4408282209,0.0632073805,0.7315398808,2.1303341372,-0.0952957148,0.0428527607,0.0111867763,0.0306986684,3.0544925169,0.4853998463,0.4981557596,0.3023620209,0.0012479653,0.0009465294,0.9407897146,0.0480089717,2.60985796,0.6156940335,0.080768716,0.4735626852,-8.2576e-06,2.0461e-05,2.75306e-05,1.70547e-05,0.0921216796,0.1170769985,2.7728565551,0.3778249065,-0.0038435553,0.2037997079,0.49197,0.0198882591,0.0375528854,0.002785148,0.0533938769,0.0988750404,2.8827555241,0.4233826336,-0.0236683557,0.2389504412,0.4496676157,0.2786535724,0.0217861476,0.0128159742,0.9884249745,0.0050171092,2.1742963772,0.2243417301,0.6224312281,0.1484722791,-0.0003518133,0.0002130707,0.0001529332,8.93103e-05,0.9666869522,0.0082008711,2.2979066216,0.3407884711,0.6624925287,0.1887615095,0.1603555783,0.0226753415,0.1426395608,0.01030306,0.9575217648,0.005625724,2.6124775289,0.3328326915,0.8803800294,0.1711761799,-2.6895703414205108,-1.2245149657239534,0.8516691935713221,0
101,125.15820717651792,4727,26,37.76819839975205,0.2872,0.0344696968,0.1181351615,3.3292377443,-0.2819523574,0.30135,0.0618257835,0.6682951948,2.4247949912,0.4804217179,0.41145,0.0519629435,0.6073306165,2.3753932195,-0.0515113909,0.0334,0.0083630138,-0.0108075017,3.1103172792,0.1022517708,0.4176415094,0.075019518,0.7063156749,2.5995432097,-0.3010906751,0.0724528302,0.0698017587,0.9082005413,2.7089484313,1.0485320382,0.5099056604,0.0433990975,0.1717015508,3.6158269374,0.0284785051,0.0494339623,0.0142967333,0.288714954,2.6559390025,0.4432898449,0.495079052,0.3013941139,0.0026130788,0.0015993181,0.9293093226,0.0411085377,2.5264934776,0.5409400269,0.2210994192,0.3553109303,7.487e-06,9.03635e-05,7.44098e-05,4.49767e-05,0.3282574737,0.1490103736,2.7356938718,0.2519354091,0.0423097994,0.2371447298,0.4983,0.0340958465,0.040975103,0.0044720451,0.2579974215,0.1432719483,2.8712977776,0.4603096396,0.0863134758,0.2561191033,0.4488554894,0.2724651052,0.0190632383,0.0118808925,0.9676759568,0.0076249804,2.5780957999,0.2029312803,0.8623324029,0.1064907005,-0.0007643223,0.000465789,0.0003130283,0.000196828,0.9437562346,0.0109706905,2.6546092891,0.195357204,0.8623190578,0.0885352834,0.1447851744,0.0164251969,0.1430851291,0.0131580991,0.9397888534,0.012313353,2.8500025953,0.3331070765,1.0180337935,0.1342602063,0.7266240678018224,-2.9590129493692907,0.15163186895261657,0
102,872.1210322876741,32850,54,37.66679025482353,0.26815,0.0328759411,-0.0138285765,2.7135235966,0.0376738783,0.2554,0.0323239849,0.027060734,3.2729145414,-0.1265455348,0.47645,0.0335208517,-0.0059479433,3.1703645162,-0.1356585948,0.03555,0.0105805246,0.0455079091,2.5419200578,-0.0874908934,0.4064516129,0.0872207259,0.8415122251,2.2033166768,0.2183095622,0.1037788018,0.063083274,0.8756867954,2.3486138498,0.5994967143,0.4897695853,0.0466696637,0.3592685527,3.2979982582,-0.394486649,0.040483871,0.0113742764,0.0967935959,2.8888715208,0.1271360773,0.4977478701,0.3023856483,0.000502491,0.0003866876,0.9404426725,0.0341998973,2.8373731917,0.9080090714,-0.0054515715,0.6116114234,1.047e-07,6.9035e-06,1.07414e-05,6.5308e-06,0.0103644527,0.0947138968,2.7825807741,0.3657175262,-0.0732270384,0.2037109592,0.499085,0.0186593616,0.0350188027,0.002167823,0.0526637169,0.1164185719,3.0039750483,0.3877728392,-0.1278385199,0.1922425047,0.4529301121,0.3089515539,0.0209999961,0.0142039309,0.994725098,0.0035582299,2.0637242531,0.3199222746,0.4883789507,0.2404816314,-0.0001227454,8.64533e-05,6.06478e-05,4.03762e-05,0.9104608375,0.1680362184,2.2798712632,0.5349454126,0.4557696143,0.2946989564,0.2076055577,0.0988876591,0.1301850308,0.0327028195,0.8804062049,0.2234648279,2.5318314651,0.5128268703,0.6791657331,0.1996917437,-0.239236897361738,9.848470071669349,-5.708125268362836,2
103,226.0273317322685,8293,6,36.69025306117906,0.33855,0.0578977331,0.4757527548,2.6552811324,-0.0796899268,0.213,0.0469201449,0.5052952963,5.3232017338,0.9277533201,0.44845,0.0460309407,0.2973955658,2.800598453,0.2522246816,0.04015,0.0112573309,0.0651010111,2.8791105198,0.2202553603,0.6042366412,0.1600816505,0.9444308707,2.9353620125,-0.9703896533,0.0912977099,0.095780418,0.9143885184,7.080664639,2.0122900169,0.3044656489,0.080367125,0.8364171974,2.5908050058,0.5564608215,0.0363740458,0.010503606,0.2093769014,2.9030622734,-0.0636720028,0.4937503919,0.300003098,0.0013804362,0.0009416459,0.9138666133,0.0470445712,2.4237146232,0.5658654834,-0.1426027637,0.4052357909,-2.00662e-05,3.7292e-05,8.36171e-05,5.91814e-05,0.6648340918,0.1356498233,2.5109904609,0.4186469906,-0.0899933415,0.2286849358,0.4867275,0.0210761208,0.05695934,0.0088844784,0.4977170352,0.1340087,2.617252721,0.2755905231,0.0860696887,0.2272799974,0.458350401,0.2786832655,0.0167920108,0.0100896813,0.982546093,0.0038660022,2.2616612172,0.1530229661,0.6874864197,0.1234877398,-0.0005383419,0.0003237416,0.0001561585,9.09241e-05,0.8972800788,0.0314636091,3.8889344445,1.3177494407,1.0212677179,0.248923397,0.1422152107,0.0326837092,0.1225110809,0.0186343047,0.9235017596,0.0262123538,3.3210316753,0.8696370224,1.001051828,0.2242607354,2.664792746184668,-3.6611658899056088,-8.662213130948293,4
104,467.4265721035172,17654,63,37.76849895493385,0.2721,0.0518467935,0.5273463118,2.5773382784,0.3527924136,0.26175,0.0504548065,0.6407950285,2.4521864383,-0.1425853263,0.46615,0.04534785,0.3887318057,3.3177016948,0.3125858128,0.03175,0.0115839328,0.3721297124,2.4787918021,0.4110257627,0.4446818182,0.0845207809,0.7831616418,2.3417267614,-0.2125871172,0.0674090909,0.0528923943,0.8583086396,3.9423978792,1.1541639855,0.4879090909,0.0476940144,0.3312350141,2.9169756511,-0.2196203022,0.0517272727,0.0123294983,-0.0104377935,3.2545954617,0.0510919909,0.4969815372,0.3018179843,0.0010225296,0.0006557452,0.9208133887,0.0403811188,2.4203872472,0.5223936528,0.0505154263,0.4625616243,1.493e-06,4.23469e-05,3.99969e-05,2.46046e-05,0.5303921027,0.1322382329,2.7842787984,0.3432377695,-0.0314502624,0.3051146522,0.4949625,0.0455376599,0.0457096329,0.0073203201,0.3817695231,0.1438787875,2.8219027363,0.3505309345,-0.0635243167,0.2478457366,0.4654570823,0.2901891327,0.0117367722,0.0071436228,0.9828816456,0.0048904188,2.609955123,0.1874862728,0.845336716,0.1185582146,-0.0003943906,0.0002368232,9.0055e-05,5.64853e-05,0.8723262175,0.0181983373,6.7471367089,1.454464035,1.6990734311,0.286564991,0.1175377276,0.0216625573,0.1065716127,0.0092123791,0.9248933748,0.01264657,4.367095861,0.5050459922,1.3219563484,0.1229641323,-0.1354787392439441,-2.3637908069307,-6.854482494257519,0
106,266.2128934158494,9464,70,35.55049448794483,0.2354,0.0315410843,0.1738898189,2.8497496634,0.3695584546,0.2886,0.0334595278,0.2979127629,3.2440727211,0.2672184855,0.476,0.0362973828,0.0418783176,3.0941733848,-0.0292962612,0.0392,0.0105052368,-0.0963096738,2.5361832067,0.1922408894,0.3689150943,0.0857101432,0.8284258533,2.0718972696,-0.3893738979,0.1006132075,0.0747470667,0.923243488,2.3971398496,0.6944400643,0.5304716981,0.035077598,-0.1154994516,2.3075137222,0.0612394352,0.0504245283,0.0141441021,0.2099457836,2.9763957776,0.4137829514,0.4934555204,0.299552608,0.0011772162,0.0009276879,0.9538163653,0.0355424447,2.3654812386,0.4352379084,0.1199712467,0.4286661221,-2.6215e-06,2.33624e-05,2.28024e-05,1.40918e-05,0.1290316156,0.1403639814,3.002775095,0.4439627526,0.0187607194,0.2317601885,0.500205,0.0265031644,0.0373232361,0.0029734322,0.0872209961,0.144460037,2.8159506275,0.3555750642,-0.0562386459,0.2485193477,0.460767376,0.2841060414,0.0174273635,0.0106469455,0.9863519419,0.0043970674,2.3304708152,0.1233300243,0.7437830516,0.0742602198,-0.0003005191,0.0001877561,0.0001323399,8.0421e-05,0.965221086,0.0074275113,2.418387446,0.1416228362,0.76041472,0.0808001334,0.1543660977,0.0099335912,0.1490897842,0.0063783759,0.958955807,0.0063603361,2.7308662634,0.2167908577,0.962991219,0.0989564535,-3.405491081276261,-1.032611073906418,1.9931550545027343,0
107,120.3487986079694,4321,56,35.90397286869025,0.2848,0.045226762,0.490404135,2.2373968361,0.1660346082,0.20995,0.0458011736,0.5282158827,3.9593396168,0.6954246554,0.50525,0.049746231,0.5618804637,2.6044275464,0.2562638895,0.03935,0.0100661562,0.1241559169,2.9123051486,-0.0793024116,0.5401190476,0.1709166049,0.9222070468,2.0927549832,-0.4963409247,0.0851190476,0.0849473793,0.8752155403,2.8006688124,0.9824534569,0.3747619048,0.0939221586,0.8357534453,2.1232497853,0.1606026777,0.0347619048,0.0094461116,-0.0608161648,2.316971789,-0.2280357285,0.4886539679,0.2963840746,0.0050772507,0.0040320857,0.9055820437,0.0430768303,2.4317368638,0.5145729119,0.0301043398,0.3061695431,-4.2276e-06,0.0001696875,0.0002221923,0.0001583199,0.5361520604,0.1508158498,2.7016561389,0.3932710709,0.0392876836,0.2345064698,0.4982925,0.0316553008,0.0528315804,0.0111719732,0.4661378724,0.1617688229,2.721760546,0.4596672919,0.0510345613,0.2210174013,0.4268117417,0.2590714927,0.0243407048,0.0157441787,0.9396081562,0.02197435,2.4855761379,0.2204787761,0.8543294693,0.1182233182,-0.0020427361,0.001244391,0.0008516973,0.0005477799,0.9192957395,0.0317502841,2.5313167434,0.2161423824,0.8521433324,0.1189524249,0.1338037842,0.0270144838,0.1453530057,0.0271966308,0.8969276554,0.0268730835,3.0620375133,0.4897007148,1.112613359,0.1960847935,10.718027479738108,-6.721520368599746,-1.3649007958699317,4
108,169.2541728448166,6229,9,36.80263768569628,0.23195,0.0340065802,0.2708338142,2.9538615371,0.6057854258,0.29385,0.0446029988,0.3000058209,2.809176102,-0.083633873,0.4742,0.0431898136,0.2280548566,2.8074845523,0.182584969,0.02955,0.0099018938,0.1643418526,3.2986290142,0.457024814,0.431484375,0.1357435533,0.8998248215,1.7968432964,-0.0429539905,0.09984375,0.0742776082,0.9258639401,2.0794902622,0.5037598763,0.468671875,0.073096908,0.6511901718,1.8476848498,-0.2384433863,0.046796875,0.0117049398,0.1716189699,8.0974711941,1.3030565318,0.4902774847,0.2976209179,0.0036120671,0.0031200457,0.9577216186,0.0366937573,2.4816968683,0.8775782734,0.0250532705,0.6660456454,9.0659e-06,7.88166e-05,8.41573e-05,5.92718e-05,0.4306274149,0.1834038198,2.8396111885,0.3798958941,0.0972428669,0.3310466329,0.5041425,0.0261973294,0.0424333954,0.004090731,0.3148719822,0.1551248236,2.878088908,0.4261049252,0.0665821748,0.2510130337,0.4376696046,0.2659060386,0.0265786122,0.0163460326,0.9735156498,0.0128395824,2.1591194394,0.1522944821,0.6310245928,0.106032032,-0.0009811658,0.0005918419,0.0004439712,0.0002736566,0.9552265173,0.0187352666,2.1991817773,0.1603988849,0.6329024256,0.1052003606,0.1529569513,0.0231553422,0.1463506579,0.0174188437,0.9425988274,0.013970193,2.5603313361,0.3030503431,0.8835388348,0.1500110289,1.6321224702436077,-2.6637715525922347,2.9352258320158024,0
109,1254.9229355259204,46433,27,37.00067843651339,0.2343,0.0291635046,0.0752142462,3.052827162,-0.1999119307,0.2719,0.0339542339,-0.0611856124,2.4553609844,-0.1030343804,0.4938,0.0375107984,-0.0544962123,3.2034657833,0.2200579066,0.03325,0.0103047319,-0.0245450424,2.7651583991,0.2687668497,0.3952506964,0.0954162182,0.8538190972,2.1279117258,0.0358680505,0.1096796657,0.0704460156,0.911730144,2.1136644844,0.4513118409,0.4950696379,0.0440031418,0.251625357,3.120419334,-0.3603860131,0.0424930362,0.0119182139,0.1480194986,2.7864004722,0.4120493086,0.4999231715,0.3033467077,0.0003694002,0.0002696147,0.9479467019,0.0525348677,2.4752047715,0.5393293078,0.0251795984,0.5038640248,-1.4806e-06,3.4229e-06,6.9451e-06,4.3623e-06,-0.0033128527,0.0988402827,2.8403966835,0.2778309731,-0.0081760037,0.1743229418,0.4962675,0.0126154298,0.0354271373,0.0019038945,-0.0021924534,0.0957211133,2.8594773813,0.5047547952,0.0059989597,0.1737621083,0.4536778048,0.3230288178,0.0206143187,0.0143194551,0.9962414175,0.001731689,2.1169931724,0.1444558567,0.5770653845,0.1147827087,-8.55496e-05,5.65434e-05,4.00701e-05,2.79795e-05,0.9724523702,0.0025086641,2.1455920256,0.1568485165,0.5866230863,0.1172997138,0.1744300854,0.0218151825,0.1407295913,0.0028536463,0.9660406185,0.0021484448,2.3037705114,0.1688912619,0.7410403919,0.1184548957,-5.397217229650282,0.32259639257005035,2.9173726166811242,0
