Instance_ID,total_area_km2,total_available_points,total_fixed_turbines,density,pareto_rw_INF_avg,pareto_rw_INF_sd,pareto_rw_INF_r1,pareto_rw_INF_kr,pareto_rw_INF_sk,pareto_rw_SUP_avg,pareto_rw_SUP_sd,pareto_rw_SUP_r1,pareto_rw_SUP_kr,pareto_rw_SUP_sk,pareto_rw_INC_avg,pareto_rw_INC_sd,pareto_rw_INC_r1,pareto_rw_INC_kr,pareto_rw_INC_sk,pareto_rw_IND_avg,pareto_rw_IND_sd,pareto_rw_IND_r1,pareto_rw_IND_kr,pareto_rw_IND_sk,pareto_aw_INF_avg,pareto_aw_INF_sd,pareto_aw_INF_r1,pareto_aw_INF_kr,pareto_aw_INF_sk,pareto_aw_SUP_avg,pareto_aw_SUP_sd,pareto_aw_SUP_r1,pareto_aw_SUP_kr,pareto_aw_SUP_sk,pareto_aw_INC_avg,pareto_aw_INC_sd,pareto_aw_INC_r1,pareto_aw_INC_kr,pareto_aw_INC_sk,pareto_aw_IND_avg,pareto_aw_IND_sd,pareto_aw_IND_r1,pareto_aw_IND_kr,pareto_aw_IND_sk,decomp_rw_FV_avg_avg,decomp_rw_FV_avg_sd,decomp_rw_FV_sd_avg,decomp_rw_FV_sd_sd,decomp_rw_FV_r1_avg,decomp_rw_FV_r1_sd,decomp_rw_FV_kr_avg,decomp_rw_FV_kr_sd,decomp_rw_FV_sk_avg,decomp_rw_FV_sk_sd,decomp_rw_FD_avg_avg,decomp_rw_FD_avg_sd,decomp_rw_FD_sd_avg,decomp_rw_FD_sd_sd,decomp_rw_FD_r1_avg,decomp_rw_FD_r1_sd,decomp_rw_FD_kr_avg,decomp_rw_FD_kr_sd,decomp_rw_FD_sk_avg,decomp_rw_FD_sk_sd,decomp_rw_IN_avg_avg,decomp_rw_IN_avg_sd,decomp_rw_IN_sd_avg,decomp_rw_IN_sd_sd,decomp_rw_IN_r1_avg,decomp_rw_IN_r1_sd,decomp_rw_IN_kr_avg,decomp_rw_IN_kr_sd,decomp_rw_IN_sk_avg,decomp_rw_IN_sk_sd,decomp_aw_FV_avg_avg,decomp_aw_FV_avg_sd,decomp_aw_FV_sd_avg,decomp_aw_FV_sd_sd,decomp_aw_FV_r1_avg,decomp_aw_FV_r1_sd,decomp_aw_FV_kr_avg,decomp_aw_FV_kr_sd,decomp_aw_FV_sk_avg,decomp_aw_FV_sk_sd,decomp_aw_FD_avg_avg,decomp_aw_FD_avg_sd,decomp_aw_FD_sd_avg,decomp_aw_FD_sd_sd,decomp_aw_FD_r1_avg,decomp_aw_FD_r1_sd,decomp_aw_FD_kr_avg,decomp_aw_FD_kr_sd,decomp_aw_FD_sk_avg,decomp_aw_FD_sk_sd,decomp_aw_IN_avg_avg,decomp_aw_IN_avg_sd,decomp_aw_IN_sd_avg,decomp_aw_IN_sd_sd,decomp_aw_IN_r1_avg,decomp_aw_IN_r1_sd,decomp_aw_IN_kr_avg,decomp_aw_IN_kr_sd,decomp_aw_IN_sk_avg,decomp_aw_IN_sk_sd,PC1,PC2,PC3,Cluster_Label
1,200.47206009386755,7383,50,36.828074678052594,0.2588,0.0361671121,0.2164908402,2.6314425451,-0.3240257907,0.28685,0.0419860393,0.3453388949,3.2064366432,-0.1048958179,0.45435,0.0436557843,0.2044778278,2.8821748227,-0.0371045327,0.0311,0.0089044932,0.1648821179,3.0453045562,0.4312973452,0.515,0.1180922294,0.9208374823,1.8126343644,-0.0996437831,0.0791549296,0.0512724421,0.8043608005,2.774915128,0.7293117676,0.4058450704,0.0740621452,0.8473087562,1.8857602277,-0.1113035736,0.0449295775,0.0108281375,0.1535910764,2.6582625416,0.0680466367,0.4948734065,0.3003831445,0.0021165147,0.0013469739,0.9371692729,0.045535977,2.4621813379,0.6473937489,-0.1330232051,0.4660983225,-4.0137e-06,6.96799e-05,5.63966e-05,3.21059e-05,0.2138873627,0.1700415894,2.7095216433,0.3118555777,-0.049312354,0.1599719557,0.492745,0.0341051825,0.0399255887,0.0045358423,0.1365417926,0.154425879,2.769760337,0.2621450746,-0.0578506215,0.2090846843,0.4454114655,0.2700865449,0.0226329168,0.0139969681,0.9763974298,0.0073443647,2.3085488014,0.1806886151,0.6993611484,0.1205633037,-0.0007358768,0.0004516577,0.0003136687,0.0001924706,0.9522284527,0.0141493421,2.4477058066,0.2568228256,0.7412428335,0.1432089863,0.1569305595,0.0210257059,0.145417192,0.0123984704,0.9464615247,0.0131869244,2.5763548111,0.2904703463,0.8679926152,0.1527123545,2.1452070816315087,1.433392073818746,-1.8880463083664047,1
10,527.9065135699819,19517,64,36.97056107153474,0.25935,0.0321298537,0.1589208335,3.9290895388,0.1881923304,0.23995,0.0335670597,0.2222528592,2.8400592359,0.1948030259,0.5007,0.0376896538,0.1987052528,2.8290630177,-0.2246216694,0.03465,0.0093609561,-0.0444070571,2.9199350483,0.5587157103,0.4842944785,0.1203610077,0.9193852613,1.871841538,-0.3259435506,0.0748773006,0.0730029643,0.9293715879,3.3538167431,1.1917888769,0.4408282209,0.0632073805,0.7315398808,2.1303341372,-0.0952957148,0.0428527607,0.0111867763,0.0306986684,3.0544925169,0.4853998463,0.4981557596,0.3023620209,0.0012479653,0.0009465294,0.9407897146,0.0480089717,2.60985796,0.6156940335,0.080768716,0.4735626852,-8.2576e-06,2.0461e-05,2.75306e-05,1.70547e-05,0.0921216796,0.1170769985,2.7728565551,0.3778249065,-0.0038435553,0.2037997079,0.49197,0.0198882591,0.0375528854,0.002785148,0.0533938769,0.0988750404,2.8827555241,0.4233826336,-0.0236683557,0.2389504412,0.4496676157,0.2786535724,0.0217861476,0.0128159742,0.9884249745,0.0050171092,2.1742963772,0.2243417301,0.6224312281,0.1484722791,-0.0003518133,0.0002130707,0.0001529332,8.93103e-05,0.9666869522,0.0082008711,2.2979066216,0.3407884711,0.6624925287,0.1887615095,0.1603555783,0.0226753415,0.1426395608,0.01030306,0.9575217648,0.005625724,2.6124775289,0.3328326915,0.8803800294,0.1711761799,-1.2008416420977717,0.3156372180830133,-1.1064641128642703,1
100,477.58201135607226,17482,36,36.60523132008398,0.2682,0.047479048,0.4613424107,2.6832801249,0.2903046017,0.22115,0.0422720652,0.4740478194,2.6783658598,0.0613252068,0.51065,0.0413319187,0.2422796123,3.2534260043,-0.0395174107,0.0375,0.011169154,-0.1537290715,3.1193649825,0.2825919169,0.4538700565,0.0894450566,0.8325091995,2.4679725918,-0.0956116008,0.082740113,0.06067865,0.8841608804,3.0746171317,0.8781051314,0.4633898305,0.0478649289,0.4572840286,2.6318894693,-0.1418360235,0.039180791,0.0110867699,0.1928306738,2.9623499307,0.2754530686,0.5016927233,0.3050499318,0.00058216,0.000392894,0.9412036867,0.0394995437,2.4110303351,0.4436813565,0.0301593551,0.298665106,-3.9246e-06,1.98891e-05,2.00542e-05,1.27211e-05,0.5254081328,0.1087916559,2.7782662935,0.4475829253,-0.0333428895,0.2788821472,0.492305,0.0320353863,0.0516910789,0.0063267975,0.4765838447,0.1280609279,2.7722336463,0.480628514,0.0245494214,0.2724019931,0.4638765169,0.3081940499,0.0149384047,0.0103110447,0.9925971345,0.0021776533,2.2353153586,0.1655012811,0.6474050294,0.2217642418,-0.0001641577,0.0001057125,5.46449e-05,3.12568e-05,0.9248333349,0.0703249634,3.1183495409,0.4091672853,0.9587056466,0.1887020431,0.1622354952,0.0846078998,0.1113272282,0.0159075222,0.9078749871,0.1118201288,3.0855872319,0.3739067646,0.9748332355,0.216590075,0.6182375108885416,-5.2748724308286405,1.0376096310270029,0
101,125.15820717651792,4727,26,37.76819839975205,0.2872,0.0344696968,0.1181351615,3.3292377443,-0.2819523574,0.30135,0.0618257835,0.6682951948,2.4247949912,0.4804217179,0.41145,0.0519629435,0.6073306165,2.3753932195,-0.0515113909,0.0334,0.0083630138,-0.0108075017,3.1103172792,0.1022517708,0.4176415094,0.075019518,0.7063156749,2.5995432097,-0.3010906751,0.0724528302,0.0698017587,0.9082005413,2.7089484313,1.0485320382,0.5099056604,0.0433990975,0.1717015508,3.6158269374,0.0284785051,0.0494339623,0.0142967333,0.288714954,2.6559390025,0.4432898449,0.495079052,0.3013941139,0.0026130788,0.0015993181,0.9293093226,0.0411085377,2.5264934776,0.5409400269,0.2210994192,0.3553109303,7.487e-06,9.03635e-05,7.44098e-05,4.49767e-05,0.3282574737,0.1490103736,2.7356938718,0.2519354091,0.0423097994,0.2371447298,0.4983,0.0340958465,0.040975103,0.0044720451,0.2579974215,0.1432719483,2.8712977776,0.4603096396,0.0863134758,0.2561191033,0.4488554894,0.2724651052,0.0190632383,0.0118808925,0.9676759568,0.0076249804,2.5780957999,0.2029312803,0.8623324029,0.1064907005,-0.0007643223,0.000465789,0.0003130283,0.000196828,0.9437562346,0.0109706905,2.6546092891,0.195357204,0.8623190578,0.0885352834,0.1447851744,0.0164251969,0.1430851291,0.0131580991,0.9397888534,0.012313353,2.8500025953,0.3331070765,1.0180337935,0.1342602063,2.3525259572406183,-0.3759392670610063,-1.6214379046923761,1
103,226.0273317322685,8293,6,36.69025306117906,0.33855,0.0578977331,0.4757527548,2.6552811324,-0.0796899268,0.213,0.0469201449,0.5052952963,5.3232017338,0.9277533201,0.44845,0.0460309407,0.2973955658,2.800598453,0.2522246816,0.04015,0.0112573309,0.0651010111,2.8791105198,0.2202553603,0.6042366412,0.1600816505,0.9444308707,2.9353620125,-0.9703896533,0.0912977099,0.095780418,0.9143885184,7.080664639,2.0122900169,0.3044656489,0.080367125,0.8364171974,2.5908050058,0.5564608215,0.0363740458,0.010503606,0.2093769014,2.9030622734,-0.0636720028,0.4937503919,0.300003098,0.0013804362,0.0009416459,0.9138666133,0.0470445712,2.4237146232,0.5658654834,-0.1426027637,0.4052357909,-2.00662e-05,3.7292e-05,8.36171e-05,5.91814e-05,0.6648340918,0.1356498233,2.5109904609,0.4186469906,-0.0899933415,0.2286849358,0.4867275,0.0210761208,0.05695934,0.0088844784,0.4977170352,0.1340087,2.617252721,0.2755905231,0.0860696887,0.2272799974,0.458350401,0.2786832655,0.0167920108,0.0100896813,0.982546093,0.0038660022,2.2616612172,0.1530229661,0.6874864197,0.1234877398,-0.0005383419,0.0003237416,0.0001561585,9.09241e-05,0.8972800788,0.0314636091,3.8889344445,1.3177494407,1.0212677179,0.248923397,0.1422152107,0.0326837092,0.1225110809,0.0186343047,0.9235017596,0.0262123538,3.3210316753,0.8696370224,1.001051828,0.2242607354,8.396841701796784,-7.493081909019097,-1.5486397192229073,0
104,467.4265721035172,17654,63,37.76849895493385,0.2721,0.0518467935,0.5273463118,2.5773382784,0.3527924136,0.26175,0.0504548065,0.6407950285,2.4521864383,-0.1425853263,0.46615,0.04534785,0.3887318057,3.3177016948,0.3125858128,0.03175,0.0115839328,0.3721297124,2.4787918021,0.4110257627,0.4446818182,0.0845207809,0.7831616418,2.3417267614,-0.2125871172,0.0674090909,0.0528923943,0.8583086396,3.9423978792,1.1541639855,0.4879090909,0.0476940144,0.3312350141,2.9169756511,-0.2196203022,0.0517272727,0.0123294983,-0.0104377935,3.2545954617,0.0510919909,0.4969815372,0.3018179843,0.0010225296,0.0006557452,0.9208133887,0.0403811188,2.4203872472,0.5223936528,0.0505154263,0.4625616243,1.493e-06,4.23469e-05,3.99969e-05,2.46046e-05,0.5303921027,0.1322382329,2.7842787984,0.3432377695,-0.0314502624,0.3051146522,0.4949625,0.0455376599,0.0457096329,0.0073203201,0.3817695231,0.1438787875,2.8219027363,0.3505309345,-0.0635243167,0.2478457366,0.4654570823,0.2901891327,0.0117367722,0.0071436228,0.9828816456,0.0048904188,2.609955123,0.1874862728,0.845336716,0.1185582146,-0.0003943906,0.0002368232,9.0055e-05,5.64853e-05,0.8723262175,0.0181983373,6.7471367089,1.454464035,1.6990734311,0.286564991,0.1175377276,0.0216625573,0.1065716127,0.0092123791,0.9248933748,0.01264657,4.367095861,0.5050459922,1.3219563484,0.1229641323,5.14132541281034,-10.178883209657572,-3.8729080429783433,0
105,254.35008360463547,9365,66,36.8193313219313,0.2684,0.0426373076,0.351496228,2.7833811777,-0.3154643264,0.24675,0.0334542598,0.193280617,3.5243225027,-0.0281062788,0.48485,0.037185044,0.1807602893,3.7953815805,-0.2887485056,0.03955,0.0102736313,0.043085104,2.9264864597,0.1211135808,0.4975,0.1067219909,0.8611258879,2.1888885368,-0.3557465278,0.0798888889,0.0483619328,0.8526795589,2.6145134893,0.7274626309,0.4226111111,0.0662915605,0.6662465568,2.26547196,0.1785189466,0.0392222222,0.0093068407,0.0741157223,2.6986356482,0.3512236395,0.4965455668,0.3009371697,0.0015216398,0.0011267581,0.9379967033,0.0315327476,2.7633610881,0.5739682811,-0.2707558196,0.4917016683,1.11603e-05,2.53019e-05,4.06062e-05,2.61297e-05,0.3211123838,0.1359173697,2.8293345054,0.3810372041,-0.0287059738,0.258411649,0.5075575,0.0250952499,0.039905505,0.0041473845,0.2309992388,0.1284992006,2.8862189053,0.3073838849,0.01606926,0.2350593986,0.4518600107,0.2760620154,0.0189801471,0.0116737729,0.982669023,0.0072780706,2.3963327421,0.2487286964,0.7500474305,0.1429043607,-0.0004744426,0.0002893042,0.0001740321,0.0001064537,0.9452809182,0.0134294516,3.0679197007,0.3846068787,0.9462646972,0.14081849,0.1382984838,0.0147144297,0.1308217305,0.0077330484,0.9411199701,0.0146335341,3.3444623921,0.4583877061,1.1257686078,0.1629416539,1.5819341479972464,-1.8514798469575973,-2.2730059180842397,1
107,120.3487986079694,4321,56,35.90397286869025,0.2848,0.045226762,0.490404135,2.2373968361,0.1660346082,0.20995,0.0458011736,0.5282158827,3.9593396168,0.6954246554,0.50525,0.049746231,0.5618804637,2.6044275464,0.2562638895,0.03935,0.0100661562,0.1241559169,2.9123051486,-0.0793024116,0.5401190476,0.1709166049,0.9222070468,2.0927549832,-0.4963409247,0.0851190476,0.0849473793,0.8752155403,2.8006688124,0.9824534569,0.3747619048,0.0939221586,0.8357534453,2.1232497853,0.1606026777,0.0347619048,0.0094461116,-0.0608161648,2.316971789,-0.2280357285,0.4886539679,0.2963840746,0.0050772507,0.0040320857,0.9055820437,0.0430768303,2.4317368638,0.5145729119,0.0301043398,0.3061695431,-4.2276e-06,0.0001696875,0.0002221923,0.0001583199,0.5361520604,0.1508158498,2.7016561389,0.3932710709,0.0392876836,0.2345064698,0.4982925,0.0316553008,0.0528315804,0.0111719732,0.4661378724,0.1617688229,2.721760546,0.4596672919,0.0510345613,0.2210174013,0.4268117417,0.2590714927,0.0243407048,0.0157441787,0.9396081562,0.02197435,2.4855761379,0.2204787761,0.8543294693,0.1182233182,-0.0020427361,0.001244391,0.0008516973,0.0005477799,0.9192957395,0.0317502841,2.5313167434,0.2161423824,0.8521433324,0.1189524249,0.1338037842,0.0270144838,0.1453530057,0.0271966308,0.8969276554,0.0268730835,3.0620375133,0.4897007148,1.112613359,0.1960847935,10.250317012997066,2.105426478578349,-0.7936285567689964,2
109,1254.9229355259204,46433,27,37.00067843651339,0.2343,0.0291635046,0.0752142462,3.052827162,-0.1999119307,0.2719,0.0339542339,-0.0611856124,2.4553609844,-0.1030343804,0.4938,0.0375107984,-0.0544962123,3.2034657833,0.2200579066,0.03325,0.0103047319,-0.0245450424,2.7651583991,0.2687668497,0.3952506964,0.0954162182,0.8538190972,2.1279117258,0.0358680505,0.1096796657,0.0704460156,0.911730144,2.1136644844,0.4513118409,0.4950696379,0.0440031418,0.251625357,3.120419334,-0.3603860131,0.0424930362,0.0119182139,0.1480194986,2.7864004722,0.4120493086,0.4999231715,0.3033467077,0.0003694002,0.0002696147,0.9479467019,0.0525348677,2.4752047715,0.5393293078,0.0251795984,0.5038640248,-1.4806e-06,3.4229e-06,6.9451e-06,4.3623e-06,-0.0033128527,0.0988402827,2.8403966835,0.2778309731,-0.0081760037,0.1743229418,0.4962675,0.0126154298,0.0354271373,0.0019038945,-0.0021924534,0.0957211133,2.8594773813,0.5047547952,0.0059989597,0.1737621083,0.4536778048,0.3230288178,0.0206143187,0.0143194551,0.9962414175,0.001731689,2.1169931724,0.1444558567,0.5770653845,0.1147827087,-8.55496e-05,5.65434e-05,4.00701e-05,2.79795e-05,0.9724523702,0.0025086641,2.1455920256,0.1568485165,0.5866230863,0.1172997138,0.1744300854,0.0218151825,0.1407295913,0.0028536463,0.9660406185,0.0021484448,2.3037705114,0.1688912619,0.7410403919,0.1184548957,-6.456676212798621,1.220100088372576,0.9383304313469515,4
11,704.9732527283236,24732,70,35.082182060502944,0.2617,0.0436074535,0.3598776458,3.2489448774,-0.0286782283,0.25425,0.0371441449,0.2544442134,2.5445727473,-0.31633915,0.48405,0.0486605333,0.3254031783,3.2360807725,-0.0078937819,0.03555,0.0108142267,-0.1207397839,3.0774587135,0.1902592412,0.4558947368,0.1121370847,0.8884865758,2.2980416454,-0.2314805977,0.083,0.0664173408,0.8939129096,3.3360039542,1.0126884798,0.4611052632,0.0592793518,0.620239395,2.5227196002,-0.240774703,0.0415526316,0.0109344876,0.0449168447,4.250095237,0.3798356033,0.4976140951,0.3020114479,0.0008087705,0.0006650839,0.9537464356,0.0421191916,2.5256630974,0.6239838116,0.2281476179,0.479564443,-2.3284e-06,1.26926e-05,2.24625e-05,1.36047e-05,0.5435355119,0.1106677371,2.7927980275,0.5207312455,0.0315711808,0.2891267497,0.4994425,0.0251537088,0.0484025975,0.0046455546,0.4348952665,0.1391209559,2.8188614837,0.4142059824,-0.0171013669,0.3103744118,0.4586616527,0.3065331252,0.0178031748,0.0124958987,0.9913627884,0.0044625109,2.2810151302,0.2462934587,0.6725815738,0.2273214795,-0.0001509187,0.0001017494,6.21495e-05,4.13811e-05,0.9356585127,0.0721738163,2.5751764447,0.4915903574,0.6914334062,0.2589114886,0.1890553049,0.0926995053,0.1250187653,0.0304435596,0.8999940034,0.1687463809,2.5682333219,0.5369850777,0.735615229,0.3316872212,0.281616248779218,-4.103695248742859,3.092561484923345,4
