Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
0,0.4018650794,0.0879624607,0.6878124521,2.3588405011,0.0701507206,0.1098809524,0.0663772416,0.8053868401,2.5432515603,0.6095047671,0.4882539683,0.0517024356,0.1135656973,2.9461229888,-0.1548767976,0.4882539683,0.0517024356,0.1135656973,2.9461229888,-0.1548767976,0.8684420602499999,0.8561602951999999
1,0.3996825397,0.1173783498,0.867258725,2.1631961149,0.41220213,0.1279365079,0.0778716635,0.7839503255,2.9775519765,0.6183816333,0.4723809524,0.0667312612,0.4195504452,3.463531145,-0.5094673762,0.4723809524,0.0667312612,0.4195504452,3.463531145,-0.5094673762,0.71176977605,0.7119888226
10,0.3878125,0.0976089469,0.7597221361,2.2298198672,0.1560571827,0.1407291667,0.0850642501,0.7997392885,2.1006256842,0.4398630792,0.4714583333,0.0494759867,0.0892825271,2.4683753519,-0.0098398513,0.4714583333,0.0494759867,0.0892825271,2.4683753519,-0.0098398513,0.92579785416,0.9196138043099997
100,0.4264655172,0.0814550258,0.6151800334,2.6871762093,-0.5264620903,0.0957758621,0.0531937069,0.6754662122,3.4372890273,0.79160288,0.4777586207,0.0567068415,0.0724719084,2.8957738961,0.0544388848,0.4777586207,0.0567068415,0.0724719084,2.8957738961,0.0544388848,0.8440763327,0.8416801229499999
101,0.353125,0.0707741787,0.4862844029,3.0527144522,-0.1210900651,0.1084375,0.0755856044,0.8466758045,2.3050182362,0.3946897213,0.5384375,0.0610895539,0.1718434969,3.6413259903,0.8730003472,0.5384375,0.0610895539,0.1718434969,3.6413259903,0.8730003472,0.78983422385,0.7898593295
102,0.3802840909,0.0836009799,0.7252715607,2.8999244413,0.3207291824,0.1188636364,0.069133136,0.7265535714,3.2224205535,0.7913257255,0.5008522727,0.0547604369,0.1837595088,2.7680591627,-0.2303213928,0.5008522727,0.0547604369,0.1837595088,2.7680591627,-0.2303213928,0.8067996948999999,0.79016927305
103,0.3906666667,0.0824189838,0.6536574771,2.5656907059,0.1926910561,0.0935,0.0588734519,0.6171621966,3.5559753368,0.8738263078,0.5158333333,0.0562521605,0.0937701392,4.2912686139,0.4393815711,0.5158333333,0.0562521605,0.0937701392,4.2912686139,0.4393815711,0.7468422740599999,0.7464161064499999
104,0.4657657658,0.1060473254,0.823725759,2.4946106321,-0.3042429821,0.1032432432,0.0714352496,0.8551762126,2.4617921238,0.6804442086,0.430990991,0.054192765,0.3462568511,2.4706228434,-0.088205552,0.430990991,0.054192765,0.3462568511,2.4706228434,-0.088205552,0.859128586,0.8569751050000001
105,0.4532941176,0.1079039686,0.7991714038,2.3497112586,-0.5667880845,0.1169411765,0.0841849998,0.8420407007,4.1918989169,1.2313182008,0.4297647059,0.0576393752,0.2851011239,2.2713754948,0.1945887925,0.4297647059,0.0576393752,0.2851011239,2.2713754948,0.1945887925,0.8076559726499999,0.8049653516499999
106,0.3583333333,0.0751883158,0.580922045,2.1685881462,0.0646213731,0.0972727273,0.0586346018,0.8098179096,2.8457929225,0.6501350681,0.5443939394,0.0515848459,0.0686474538,2.6199184361,-0.1330811592,0.5443939394,0.0515848459,0.0686474538,2.6199184361,-0.1330811592,0.833821745105,0.8309996206549999
