Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
0,0.3,0.1469693846,-0.18,2.4176954733,0.0756015353,0.244,0.1267438361,-0.2010088474,2.592669164,0.7830834148,0.456,0.1722324011,-0.2104435947,1.9475375555,0.180233632,0.456,0.1722324011,-0.2104435947,1.9475375555,0.180233632,0.8684420602499999,0.8561602951999999
1,0.28,0.1854723699,0.1135411819,2.0543537047,0.2934054527,0.208,0.1324235629,0.0664017097,3.9013399755,0.9898562547,0.512,0.1773583942,-0.1090905355,2.405667973,0.0763321555,0.512,0.1773583942,-0.1090905355,2.405667973,0.0763321555,0.71176977605,0.7119888226
10,0.304,0.1455472432,0.193672365,2.3494742655,0.3975412101,0.196,0.1427725464,-0.2326394784,3.5716269602,0.7300586964,0.5,0.1549193338,0.1016949153,2.4166666667,0.0,0.5,0.1549193338,0.1016949153,2.4166666667,0.0,0.92579785416,0.9196138043099997
100,0.228,0.1483778959,-0.2534177137,2.8612235499,0.6149054178,0.236,0.152,-0.4228601571,3.3676901651,0.7455168392,0.536,0.1493452376,-0.3103223126,2.5699616516,0.1634682151,0.536,0.1493452376,-0.3103223126,2.5699616516,0.1634682151,0.8440763327,0.8416801229499999
101,0.256,0.1601998752,0.2095850321,3.420979969,0.5625453869,0.2,0.1232882801,-0.027027027,1.904432133,0.0,0.544,0.1722324011,0.1138362872,4.8647846168,1.1820410049,0.544,0.1722324011,0.1138362872,4.8647846168,1.1820410049,0.78983422385,0.7898593295
102,0.192,0.1016661202,-0.3277349069,2.4065743945,0.3888159761,0.324,0.1141227409,-0.2969633298,1.9445665232,0.0056837808,0.484,0.1665653025,-0.3005044381,2.6959227819,0.0466996823,0.484,0.1665653025,-0.3005044381,2.6959227819,0.0466996823,0.8067996948999999,0.79016927305
103,0.256,0.1745393938,0.3294125307,4.703678898,1.3665981349,0.332,0.159298462,-0.0527711817,3.1009280447,-0.5909580831,0.412,0.1336263447,0.0453855436,1.9861255636,-0.3204248713,0.412,0.1336263447,0.0453855436,1.9861255636,-0.3204248713,0.7468422740599999,0.7464161064499999
104,0.284,0.112,0.2372932151,2.1044812057,-0.1948797376,0.224,0.1175755077,-0.0170870627,2.5459104938,0.265077883,0.492,0.1597998748,0.0444283074,3.0831119151,-0.4574330514,0.492,0.1597998748,0.0444283074,3.0831119151,-0.4574330514,0.859128586,0.8569751050000001
105,0.208,0.1324235629,0.0838078552,1.8346841867,-0.1470067174,0.3,0.1574801575,-0.1774193548,2.0421436004,0.4301617205,0.492,0.1895679298,-0.2253766965,2.6781958864,0.1853960581,0.492,0.1895679298,-0.2253766965,2.6781958864,0.1853960581,0.8076559726499999,0.8049653516499999
106,0.228,0.1114271062,-0.0156741455,2.4884286322,0.4735193113,0.216,0.0924337601,0.5503237669,2.1419223162,0.2859016692,0.556,0.113419575,-0.1574653386,2.1166740922,0.2626622853,0.556,0.113419575,-0.1574653386,2.1166740922,0.2626622853,0.833821745105,0.8309996206549999
107,0.276,0.1175755077,-0.1836350692,2.3952064043,0.4732183598,0.224,0.1241933976,0.1687781168,2.7328343176,-0.0857984552,0.5,0.1414213562,0.2244897959,2.66,-0.5091168825,0.5,0.1414213562,0.2244897959,2.66,-0.5091168825,0.79972674065,0.7996427671
108,0.256,0.1444437607,-0.3190985749,4.6378368587,1.035026136,0.172,0.1077775487,0.0199987731,2.6846640712,0.3815633909,0.572,0.1637559159,-0.137461101,2.4859849283,-0.4749195326,0.572,0.1637559159,-0.137461101,2.4859849283,-0.4749195326,0.88698420754,0.8862789772499999
109,0.232,0.1406271666,-0.0482707725,2.1253652559,0.1973130333,0.304,0.1399428455,0.0213936212,2.0911908881,0.366676305,0.464,0.1621850795,-0.1117964986,3.4406956506,0.4799419054,0.464,0.1621850795,-0.1117964986,3.4406956506,0.4799419054,0.8528451131000001,0.8442081804500001
11,0.224,0.1175755077,-0.1013726581,4.9672228652,1.2986926231,0.3,0.1549193338,0.4642857143,3.0833333333,0.7745966692,0.476,0.1422111107,0.1981098932,2.1746389801,-0.4068207477,0.476,0.1422111107,0.1981098932,2.1746389801,-0.4068207477,0.7740695214,0.7650855382999999
110,0.244,0.135882302,-0.2746911426,1.9625821121,-0.3517163532,0.224,0.1556406117,0.0593401827,2.5956166052,0.4885760298,0.532,0.1713942823,-0.3335598869,3.6592087089,0.3549511716,0.532,0.1713942823,-0.3335598869,3.6592087089,0.3549511716,0.8498062316,0.8361384991499999
111,0.224,0.1422111107,-0.1144024838,3.3575924331,0.740608693,0.304,0.1427725464,-0.04248022,3.7610820442,0.6718703925,0.472,0.1929144888,0.111916307,3.5997095157,0.6334831732,0.472,0.1929144888,0.111916307,3.5997095157,0.6334831732,0.7309061940000001,0.7286684340499999
112,0.232,0.1348183964,0.1397868436,1.8566597649,0.2866140387,0.26,0.129614814,-0.0564053537,3.9149659864,0.2204333571,0.508,0.1622837022,0.0454722209,2.6559478481,0.3199473208,0.508,0.1622837022,0.0454722209,2.6559478481,0.3199473208,0.800794240515,0.8017430957000002
113,0.332,0.1891454467,0.2724228097,1.9282996406,-0.0749628983,0.24,0.1673320053,0.1499138426,3.3791836735,0.5327304659,0.428,0.1536749817,-0.037285284,2.0709729658,0.318061198,0.428,0.1536749817,-0.037285284,2.0709729658,0.318061198,0.8269540896499998,0.8260965218999999
114,0.208,0.123028452,0.3183107194,2.6387973843,0.3631398432,0.256,0.149879952,-0.1507513904,2.0260854214,-0.5077567954,0.536,0.1786169085,0.0134421025,2.5799922335,0.2926532482,0.536,0.1786169085,0.0134421025,2.5799922335,0.2926532482,0.7851663895500002,0.7843682164
115,0.252,0.1203993355,0.1381611138,2.8065801208,0.2968047886,0.304,0.1370547336,0.0425568162,2.7127527433,-0.0720437376,0.444,0.1601998752,-0.0249599038,3.7037440688,-0.620920095,0.444,0.1601998752,-0.0249599038,3.7037440688,-0.620920095,0.8987911610499999,0.8985768909
116,0.252,0.1552288633,-0.2582343375,3.0564514849,0.6364077049,0.224,0.1449965517,0.1862397692,2.1408957278,0.2074683255,0.524,0.1772681584,-0.0445540519,2.2491434414,0.2807028322,0.524,0.1772681584,-0.0445540519,2.2491434414,0.2807028322,0.9218373355499999,0.9104582165
117,0.224,0.1477294825,0.111064462,3.0333373466,0.7738246531,0.288,0.1177115118,-0.3250311908,3.1920299324,0.6747619714,0.488,0.1365869686,-0.106639839,2.7491195655,-0.2537730574,0.488,0.1365869686,-0.106639839,2.7491195655,-0.2537730574,0.8566465109999999,0.8538438401
118,0.248,0.1676186147,-0.065693259,2.0453440466,0.2385826207,0.204,0.1586946754,-0.0331808709,3.0156990421,1.015303459,0.548,0.1769067551,-0.1347321355,2.5143368838,0.2064100797,0.548,0.1769067551,-0.1347321355,2.5143368838,0.2064100797,0.8568127195499997,0.84989801805
119,0.288,0.1505191018,0.1742250855,2.2704263622,0.2748679793,0.208,0.1197330364,0.0511698518,5.4047901387,1.5237022757,0.504,0.1660843159,0.2035778092,2.346251366,-0.3254713376,0.504,0.1660843159,0.2035778092,2.346251366,-0.3254713376,0.8322686206000001,0.82438309205
12,0.248,0.1627759196,-0.1665979481,2.9347213471,0.4252311489,0.316,0.1433317829,0.0859717654,2.5181311323,-0.1189319537,0.436,0.1571750616,-0.1342398223,2.3441031974,0.1352902202,0.436,0.1571750616,-0.1342398223,2.3441031974,0.1352902202,0.8048494943549999,0.8037710344499999
120,0.32,0.1523154621,0.0331075997,1.9577883472,0.1358342409,0.324,0.1477294825,0.0190896655,2.271443744,0.5505029316,0.356,0.1298614646,-0.3000876892,2.5483492901,0.4160907606,0.356,0.1298614646,-0.3000876892,2.5483492901,0.4160907606,0.7219717106499999,0.7217303743999999
121,0.26,0.1264911064,0.0262361251,1.9675,0.3083220719,0.216,0.1346996659,-0.014905586,2.0827944346,0.2966426953,0.524,0.1304760514,-0.0888796868,2.7481874329,0.4143876871,0.524,0.1304760514,-0.0888796868,2.7481874329,0.4143876871,0.8331208250999997,0.8176994056
122,0.292,0.1647300823,0.3702136235,2.1087881586,-0.0331588747,0.248,0.1203993355,-0.0737277384,2.3680028654,-0.0217818192,0.46,0.164924225,0.1898285038,2.4697231834,-0.3638034376,0.46,0.164924225,0.1898285038,2.4697231834,-0.3638034376,0.8591479798999998,0.8518648898000001
123,0.256,0.0983056458,-0.1741814278,1.8586136573,0.4640211013,0.276,0.0991160935,-0.1041430382,3.4887956371,-0.73825184,0.468,0.1318180564,-0.1837611757,3.1779504085,0.3933095759,0.468,0.1318180564,-0.1837611757,3.1779504085,0.3933095759,0.78517765184,0.77186880752
124,0.24,0.1326649916,0.2277992278,2.6260330579,0.5756125669,0.296,0.1399428455,0.2288798289,2.5167083173,0.0711775174,0.464,0.1621850795,0.205312432,2.5665814197,0.1986556236,0.464,0.1621850795,0.205312432,2.5665814197,0.1986556236,0.83607879555,0.8330513288999999
125,0.244,0.120266371,-0.1521864852,2.0047967734,0.4860891411,0.272,0.1342236939,-0.1643786387,2.0921777839,-0.1756300365,0.484,0.1591979899,-0.2526122965,2.8946472299,-0.3319670359,0.484,0.1591979899,-0.2526122965,2.8946472299,-0.3319670359,0.8855458708,0.8785777187500001
126,0.3,0.1523154621,-0.1481481481,2.1254458977,-0.0679171204,0.268,0.1713942823,0.0498734619,2.7425384824,0.5030635857,0.432,0.1782582396,-0.0269180971,1.9810531728,0.4019424122,0.432,0.1782582396,-0.0269180971,1.9810531728,0.4019424122,0.828640630635,0.8264928513
127,0.304,0.1215894732,0.1182496707,2.7450666217,-0.7440408291,0.264,0.1382172203,0.1879835506,3.0157361346,0.4809267734,0.432,0.159298462,0.1425522726,2.2988674547,-0.0566164632,0.432,0.159298462,0.1425522726,2.2988674547,-0.0566164632,0.806021531065,0.8025293424000001
128,0.284,0.1488086019,0.047992858,2.1423786294,-0.0160814869,0.224,0.0861626369,-0.0939121411,1.9699019025,-0.1068548605,0.492,0.1494523335,-0.0257485402,2.3045028366,0.2086701872,0.492,0.1494523335,-0.0257485402,2.3045028366,0.2086701872,0.8721326047599998,0.8617714492599999
129,0.2,0.0979795897,-0.25,2.6041666667,0.2551551815,0.3,0.12,-0.34375,3.0092592593,0.5555555556,0.5,0.1469693846,-0.2592592593,2.7263374486,-0.3024061411,0.5,0.1469693846,-0.2592592593,2.7263374486,-0.3024061411,0.8818101417499999,0.8710189813000001
13,0.252,0.1417603612,0.2203259582,2.9887698284,0.296409433,0.208,0.1494523335,-0.1090096286,2.9202613279,0.5102871833,0.54,0.1574801575,0.0882543803,2.3636836629,0.2458066974,0.54,0.1574801575,0.0882543803,2.3636836629,0.2458066974,0.8336084961199999,0.8131252441199999
130,0.236,0.143888846,0.0192870942,2.3741976403,-0.0009022936,0.264,0.1195993311,0.2545059923,2.1471029833,0.4392743025,0.5,0.1766352173,0.1621621622,2.342209073,0.6532367505,0.5,0.1766352173,0.1621621622,2.342209073,0.6532367505,0.8163401254,0.8157576561
131,0.268,0.1377534029,-0.0215980531,2.9763073406,-0.0556754104,0.28,0.129614814,0.0181124881,2.7380952381,0.3747367071,0.452,0.1472956211,-0.0279861255,3.4813545827,-0.039172322,0.452,0.1472956211,-0.0279861255,3.4813545827,-0.039172322,0.8609662116099999,0.8554201882099999
132,0.264,0.1466424222,-0.1001223187,2.0530466093,-0.0478569369,0.292,0.135410487,0.0220831407,2.9819951938,0.7251945918,0.444,0.1698940847,0.0952921789,2.1583755734,-0.117302769,0.444,0.1698940847,0.0952921789,2.1583755734,-0.117302769,0.7867387521500001,0.7813230146500001
133,0.304,0.1611955334,-0.3487197032,2.2248901939,0.0496902864,0.224,0.1335065541,0.017256127,2.0816038086,0.1608861364,0.472,0.16857046,-0.0975156598,2.468940224,-0.1568034662,0.472,0.16857046,-0.0975156598,2.468940224,-0.1568034662,0.7546761692699999,0.74976288257
134,0.256,0.135882302,-0.0468516134,2.2441736827,0.3517163532,0.296,0.1215894732,-0.0061466413,2.0335216731,0.3435020537,0.448,0.1417603612,-0.2710480476,2.2851408779,-0.1279183956,0.448,0.1417603612,-0.2710480476,2.2851408779,-0.1279183956,0.78057236485,0.76278792135
135,0.276,0.1105621997,-0.3926772975,2.9448754146,-0.2264485447,0.272,0.1114271062,0.1692935766,4.0203727814,0.7408106928,0.452,0.1299846145,-0.1799016431,3.6516550448,-0.2624436477,0.452,0.1299846145,-0.1799016431,3.6516550448,-0.2624436477,0.8088564485,0.8074782077999998
136,0.24,0.1058300524,0.1666666667,2.6530612245,0.3644657418,0.284,0.1376372043,-0.0563142239,2.3696670699,0.3809957451,0.476,0.1581897595,0.2397091952,2.4035082842,-0.1476422924,0.476,0.1581897595,0.2397091952,2.4035082842,-0.1476422924,0.8915611508,0.88708087685
137,0.324,0.1422111107,0.0355429355,1.6864359678,-0.2607551429,0.16,0.1326649916,0.2529789184,1.7582644628,0.2466911001,0.516,0.1847809514,-0.0286138111,2.3900937998,-0.2350563008,0.516,0.1847809514,-0.0286138111,2.3900937998,-0.2350563008,0.9357349396,0.92404999985
138,0.308,0.1647300823,-0.1686784574,2.2521957881,0.3016083133,0.252,0.1299846145,-0.1425959781,2.2863507231,0.0653923546,0.44,0.1876166304,0.1396622547,2.1978305785,-0.0072682062,0.44,0.1876166304,0.1396622547,2.1978305785,-0.0072682062,0.7709208168199998,0.7636529147350002
139,0.232,0.0968297475,0.3384293031,2.8933417978,-0.1463460231,0.276,0.1175755077,-0.0593719102,2.1540798611,0.1778998627,0.492,0.135410487,-0.0036983038,2.1824922562,-0.2414222132,0.492,0.135410487,-0.0036983038,2.1824922562,-0.2414222132,0.77398164805,0.7742030026499999
14,0.212,0.1365869686,0.0374386603,4.0344656638,0.9130706381,0.2,0.1385640646,0.2051282051,3.125,1.0825317547,0.588,0.1557433787,0.0379325101,2.0331642776,0.072780573,0.588,0.1557433787,0.0379325101,2.0331642776,0.072780573,0.79384943385,0.78865143795
140,0.248,0.1417603612,0.395780478,2.056936894,0.0405726418,0.228,0.1312097557,0.1298540036,1.9664183745,-0.2072223283,0.524,0.1335065541,-0.2776159262,2.7645230122,0.2617425409,0.524,0.1335065541,-0.2776159262,2.7645230122,0.2617425409,0.8098845170499999,0.7981623293
141,0.256,0.135882302,0.1080441366,2.7566703411,0.6386911845,0.284,0.1316966211,0.1325631119,3.1933218502,0.296219218,0.46,0.16,0.0288220551,2.9599609375,-0.15234375,0.46,0.16,0.0288220551,2.9599609375,-0.15234375,0.78844275963,0.7860688494500001
