Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
0,0.350625,0.0826414507,0.3736668181,2.5020622474,-0.094334566,0.13875,0.0735760661,0.5778419416,3.0161008934,0.6168784638,0.510625,0.0711309312,0.0257669885,3.1136348318,0.1980453812,0.510625,0.0711309312,0.0257669885,3.1136348318,0.1980453812,0.9328896170499998,0.8672645405285
1,0.3829508197,0.1050112291,0.6424205457,2.5191546086,-0.1349467716,0.1193442623,0.0749178534,0.6861106998,2.6422250099,0.6450525826,0.497704918,0.0683384404,-0.056272343,2.444062338,0.3420043525,0.497704918,0.0683384404,-0.056272343,2.444062338,0.3420043525,0.7864280212064999,0.7718365639325001
10,0.3377777778,0.0915436886,0.5566452939,2.3169151149,0.0728392779,0.1744444444,0.0804079107,0.64062615,2.9907182808,0.577782953,0.4877777778,0.068032309,-0.0725301557,2.8065268014,-0.1652117674,0.4877777778,0.068032309,-0.0725301557,2.8065268014,-0.1652117674,0.987695161085,0.9622513469200001
100,0.4227118644,0.1141784287,0.6166536334,2.804134615,-0.4085847157,0.1213559322,0.0754075397,0.6757052011,2.7317309862,0.6332029294,0.4559322034,0.0753549486,0.1662410706,3.0304007436,0.0651357144,0.4559322034,0.0753549486,0.1662410706,3.0304007436,0.0651357144,0.917417823655,0.8839551456435
101,0.3533333333,0.0807039733,0.1248962656,2.7601934006,0.2377753157,0.1418181818,0.0817036235,0.5680219308,4.0516395325,0.5639457699,0.5048484848,0.0756435506,-0.1697686485,2.4990635176,0.0438065946,0.5048484848,0.0756435506,-0.1697686485,2.4990635176,0.0438065946,0.8580990758824999,0.8549473397502501
102,0.3549618321,0.0828994981,0.2651154254,2.5908726128,0.1404211812,0.1294656489,0.076261032,0.6151678249,2.2560719241,0.5620324615,0.5155725191,0.0675996331,-0.0407411374,2.8979115078,-0.0580551205,0.5155725191,0.0675996331,-0.0407411374,2.8979115078,-0.0580551205,0.87030830845,0.8015203408740001
103,0.5138461538,0.1323285613,0.7330938891,2.730368295,-0.4133120091,0.1294871795,0.0817578889,0.6892767145,4.8276190828,1.1717987699,0.3566666667,0.0835382097,0.4093647823,2.8475122071,0.1649832409,0.3566666667,0.0835382097,0.4093647823,2.8475122071,0.1649832409,0.8193412249430001,0.8067063625380001
104,0.4575384615,0.1018902995,0.4163255485,2.8316367086,-0.2551602087,0.1153846154,0.0619448122,0.4642466893,2.4888395853,0.43053974,0.4270769231,0.0769759818,0.0510541821,2.4992828382,-0.0161890383,0.4270769231,0.0769759818,0.0510541821,2.4992828382,-0.0161890383,0.9348238153449999,0.9161733043725002
105,0.3352173913,0.0826921775,0.228688366,2.5291003469,0.3548589341,0.1752173913,0.0754332164,0.4069709884,2.9797847341,0.1446755937,0.4895652174,0.0788768033,0.0248462472,3.2023975368,-0.1430284364,0.4895652174,0.0788768033,0.0248462472,3.2023975368,-0.1430284364,0.8906735659259999,0.8695021116699998
106,0.3375609756,0.0814736374,0.4358037973,2.6709027001,0.3586246659,0.1302439024,0.0723301308,0.4496041015,3.3726310531,0.5793271329,0.532195122,0.0705211331,0.2357215261,2.5013929718,0.3678722859,0.532195122,0.0705211331,0.2357215261,2.5013929718,0.3678722859,0.9063076756499997,0.8869057031180001
