Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
0,0.272,0.0292574777,-0.6497975709,1.8333915626,0.569229029,0.242,0.0213541565,-0.3989169675,3.1057248384,-1.3703729243,0.486,0.0300665928,-0.5317919075,2.5789411857,-1.0701908065,0.486,0.0300665928,-0.5317919075,2.5789411857,-1.0701908065,0.9328896170499998,0.8672645405285
1,0.268,0.0538144962,0.1686517389,1.6474848143,-0.1053342257,0.232,0.0116619038,0.7959183673,2.6660899654,-1.1500493357,0.5,0.0629285309,0.2551020408,1.8878175696,0.3130053955,0.5,0.0629285309,0.2551020408,1.8878175696,0.3130053955,0.7864280212064999,0.7718365639325001
10,0.234,0.0392937654,-0.0874503123,2.7004886037,-1.1108039135,0.246,0.0402988834,-0.271331058,2.8200271785,-1.0642155795,0.52,0.0517687164,-0.3027522936,1.6980396525,-0.2854256475,0.52,0.0517687164,-0.3027522936,1.6980396525,-0.2854256475,0.987695161085,0.9622513469200001
100,0.286,0.032,-0.6317991632,1.4189453125,0.03515625,0.252,0.0702566723,-0.3060848187,2.0359676797,0.0847090738,0.462,0.0426145515,0.1991786448,2.3239437986,-0.4484414709,0.462,0.0426145515,0.1991786448,2.3239437986,-0.4484414709,0.917417823655,0.8839551456435
101,0.262,0.0248193473,-0.4741641337,2.0324675325,-0.621634858,0.26,0.0328633535,-0.6842105263,1.183127572,0.3719103786,0.478,0.0292574777,-0.6323666978,2.3050484758,-0.2817396204,0.478,0.0292574777,-0.6323666978,2.3050484758,-0.2817396204,0.8580990758824999,0.8549473397502501
102,0.268,0.0426145515,-0.7540766858,2.0794212967,0.5414791205,0.248,0.0193907194,-0.7737789203,1.4081032141,-0.3752617726,0.484,0.0293938769,-0.7125984252,1.5781893004,-0.3477670622,0.484,0.0293938769,-0.7125984252,1.5781893004,-0.3477670622,0.87030830845,0.8015203408740001
103,0.304,0.0349857114,-0.0913872452,2.4482250417,0.0851888397,0.26,0.0572712843,0.3225806452,2.011451517,-0.229970951,0.436,0.0293938769,0.6759259259,1.2888374486,0.1115122645,0.436,0.0293938769,0.6759259259,1.2888374486,0.1115122645,0.8193412249430001,0.8067063625380001
104,0.292,0.0519230199,-0.3233965673,1.2153888825,0.3744415583,0.256,0.0372021505,0.2647058824,1.3849610745,0.3859556859,0.452,0.0661513416,0.0675844806,1.4344839226,-0.0900378461,0.452,0.0661513416,0.0675844806,1.4344839226,-0.0900378461,0.9348238153449999,0.9161733043725002
105,0.254,0.0338230691,-0.3982430454,1.921389799,0.5222570323,0.26,0.0477493455,0.14,2.5,-0.3086291956,0.486,0.0440908154,0.7475106686,1.5680282477,0.1842437415,0.486,0.0440908154,0.7475106686,1.5680282477,0.1842437415,0.8906735659259999,0.8695021116699998
106,0.276,0.0516139516,-0.9477911647,1.9945215486,0.3958703373,0.218,0.0381575681,-0.5171755725,2.7518717546,1.1041549626,0.506,0.0387814389,-0.3869588455,2.4330296514,-0.4369824589,0.506,0.0387814389,-0.3869588455,2.4330296514,-0.4369824589,0.9063076756499997,0.8869057031180001
107,0.252,0.0470744092,0.3911174785,1.2257490649,-0.3671888581,0.33,0.0346410162,0.1694915254,1.45,-0.2886751346,0.418,0.044,-0.4123294593,2.2152346151,-0.8519909842,0.418,0.044,-0.4123294593,2.2152346151,-0.8519909842,0.8782541806919999,0.8767567097211
108,0.236,0.0397994975,0.4798474946,1.4211049893,-0.0654797364,0.206,0.0387814389,-0.6204690832,2.3587596197,0.2830922144,0.558,0.0545527268,-0.0258229285,2.7161593826,1.0327386548,0.558,0.0545527268,-0.0258229285,2.7161593826,1.0327386548,0.9723408774929998,0.9671056098826
109,0.266,0.0595315043,0.0836884928,1.7456929717,-0.1071572537,0.286,0.0326190129,-0.0792580101,1.5925433885,-0.0912793904,0.448,0.0649307323,-0.0710141564,1.3471783645,0.3547204419,0.448,0.0649307323,-0.0710141564,1.3471783645,0.3547204419,0.9040381258399999,0.842316054223
11,0.306,0.0431740663,-0.4308012487,1.9648639688,0.7658388594,0.232,0.0354400903,-0.5806246017,2.3648221023,0.239392066,0.462,0.0503587132,0.2289220918,2.0138572381,0.1736438231,0.462,0.0503587132,0.2289220918,2.0138572381,0.1736438231,0.841261632385,0.7827758727195
110,0.256,0.0422374242,-0.179245283,2.2713205574,0.6937082223,0.218,0.0391918359,0.3039443155,2.4361979167,1.0269996057,0.526,0.0682934843,0.283327471,1.2426718723,-0.247293104,0.526,0.0682934843,0.283327471,1.2426718723,-0.247293104,0.866086683205,0.795922497832
111,0.196,0.0527636238,0.1606714628,2.1575505351,0.2169728883,0.234,0.0449888875,0.308466052,1.9858223062,-0.4870768025,0.57,0.0289827535,-0.4761904762,2.5,0.492903971,0.57,0.0289827535,-0.4761904762,2.5,0.492903971,0.799677899145,0.7708040615020001
112,0.246,0.0224499443,-0.9631236443,1.2422524565,-0.1315095,0.33,0.0469041576,-0.7155963303,2.2619834711,0.5233108492,0.424,0.0300665928,-0.4024390244,2.5084579842,-0.7841001948,0.424,0.0300665928,-0.4024390244,2.5084579842,-0.7841001948,0.8345209516005001,0.8333293816639997
113,0.28,0.018973666,-1.0,2.5,-0.0,0.252,0.0401995025,-0.3141228626,1.3629301049,0.4078667295,0.468,0.0457820926,-0.3859516616,1.8441961424,0.2791184334,0.468,0.0457820926,-0.3859516616,1.8441961424,0.2791184334,0.9026729472304998,0.8975197271876001
114,0.286,0.0471593045,-0.1169252977,2.570687335,-0.8814452582,0.31,0.0252982213,-0.8709677419,1.26953125,-0.222347648,0.404,0.0372021505,0.1859791425,2.4073808012,0.7327564471,0.404,0.0372021505,0.1859791425,2.4073808012,0.7327564471,0.8493097719049999,0.8292313416934999
115,0.258,0.0354400903,-0.5044858523,2.8759990263,-1.2099004415,0.278,0.0231516738,-0.8272171254,1.3968589886,0.2436882574,0.464,0.028,0.0064446831,1.9380466472,0.5160349854,0.464,0.028,0.0064446831,1.9380466472,0.5160349854,0.9758990383189999,0.9746405449170499
