Fold,SBS_Best_Models
0,COMOLSD
1,COMOLSD
2,MOEAD
3,COMOLSD
4,MOEAD
5,MOEAD
6,COMOLSD
7,COMOLSD
8,MOEAD
9,MOEAD
10,COMOLSD
11,COMOLSD
12,COMOLSD
13,MOEAD
14,COMOLSD
15,MOEAD
16,COMOLSD
17,COMOLSD
18,MOEAD
19,MOEAD
20,COMOLSD
21,MOEAD
22,COMOLSD
23,MOEAD
24,COMOLSD
25,COMOLSD
26,MOEAD
27,COMOLSD
28,COMOLSD
29,MOEAD
30,COMOLSD
31,COMOLSD
32,MOEAD
33,COMOLSD
34,COMOLSD
35,MOEAD
36,MOEAD
37,MOEAD
38,MOEAD
39,COMOLSD
40,MOEAD
41,COMOLSD
42,COMOLSD
43,COMOLSD
44,MOEAD
45,MOEAD
46,COMOLSD
47,COMOLSD
48,MOEAD
49,COMOLSD
50,MOEAD
51,MOEAD
52,MOEAD
53,COMOLSD
54,MOEAD
55,COMOLSD
56,MOEAD
57,MOEAD
58,COMOLSD
59,COMOLSD
60,COMOLSD
61,COMOLSD
62,COMOLSD
63,COMOLSD
64,MOEAD
65,COMOLSD
66,COMOLSD
67,MOEAD
68,MOEAD
69,MOEAD
70,COMOLSD
71,COMOLSD
72,COMOLSD
73,COMOLSD
74,COMOLSD
75,MOEAD
76,MOEAD
77,MOEAD
78,COMOLSD
79,COMOLSD
80,COMOLSD
81,MOEAD
82,MOEAD
83,COMOLSD
84,COMOLSD
85,COMOLSD
86,COMOLSD
87,COMOLSD
88,COMOLSD
89,COMOLSD
90,COMOLSD
91,COMOLSD
92,COMOLSD
93,COMOLSD
94,COMOLSD
95,MOEAD
96,MOEAD
97,MOEAD
98,COMOLSD
99,MOEAD
