Feature,Importance
INF_sd,0.2185270505113643
INC_sd,0.18454801107554208
INC_avg,0.12172679378047968
IND_avg,0.0880117927063473
INC_sk,0.08428774908843266
INC_kr,0.04271562935649112
INF_avg,0.040985568676357095
IND_kr,0.03428664493197893
IND_r1,0.028994052426380694
INC_r1,0.028219681973998215
INF_kr,0.024125759961014164
IND_sd,0.02276361969409064
INF_sk,0.016414025012235756
SUP_sd,0.015872132236978823
INF_r1,0.012015179249765216
SUP_sk,0.011644855311596708
SUP_kr,0.01102736963180766
SUP_r1,0.005603367785356439
IND_sk,0.004800724924519967
SUP_avg,0.00342999166526247
