Fold,SBS_Best_Models
0,MOEAD
1,COMOLSD
2,MOEAD
3,MOEAD
4,MOEAD
5,COMOLSD
6,COMOLSD
7,MOEAD
8,MOEAD
9,COMOLSD
10,MOEAD
11,MOEAD
12,MOEAD
13,COMOLSD
14,MOEAD
15,MOEAD
16,MOEAD
17,COMOLSD
18,COMOLSD
19,COMOLSD
20,COMOLSD
21,COMOLSD
22,COMOLSD
23,MOEAD
24,MOEAD
25,MOEAD
26,MOEAD
27,COMOLSD
28,MOEAD
29,MOEAD
30,MOEAD
31,COMOLSD
32,COMOLSD
33,COMOLSD
34,COMOLSD
35,COMOLSD
36,COMOLSD
37,COMOLSD
38,MOEAD
39,MOEAD
40,COMOLSD
41,MOEAD
42,MOEAD
43,MOEAD
44,COMOLSD
45,COMOLSD
46,MOEAD
47,COMOLSD
48,COMOLSD
49,COMOLSD
50,COMOLSD
51,MOEAD
52,MOEAD
53,COMOLSD
54,MOEAD
55,MOEAD
56,MOEAD
57,COMOLSD
58,COMOLSD
59,COMOLSD
60,MOEAD
61,MOEAD
62,MOEAD
63,MOEAD
64,MOEAD
65,MOEAD
66,COMOLSD
67,MOEAD
68,MOEAD
69,MOEAD
70,COMOLSD
71,COMOLSD
72,COMOLSD
73,COMOLSD
74,COMOLSD
75,COMOLSD
76,COMOLSD
77,MOEAD
78,COMOLSD
79,MOEAD
80,MOEAD
81,MOEAD
82,COMOLSD
83,MOEAD
84,COMOLSD
85,MOEAD
86,COMOLSD
87,MOEAD
88,COMOLSD
89,MOEAD
90,MOEAD
91,COMOLSD
92,COMOLSD
93,MOEAD
94,MOEAD
95,COMOLSD
96,MOEAD
97,MOEAD
98,MOEAD
99,COMOLSD
