Fold,SBS_Best_Models
0,COMOLSD
1,COMOLSD
2,MOEAD
3,MOEAD
4,COMOLSD
5,MOEAD
6,COMOLSD
7,COMOLSD
8,COMOLSD
9,MOEAD
10,COMOLSD
11,COMOLSD
12,MOEAD
13,MOEAD
14,MOEAD
15,COMOLSD
16,MOEAD
17,COMOLSD
18,MOEAD
19,MOEAD
20,MOEAD
21,MOEAD
22,MOEAD
23,MOEAD
24,MOEAD
25,MOEAD
26,MOEAD
27,COMOLSD
28,MOEAD
29,COMOLSD
30,COMOLSD
31,COMOLSD
32,MOEAD
33,COMOLSD
34,COMOLSD
35,MOEAD
36,COMOLSD
37,MOEAD
38,MOEAD
39,COMOLSD
40,COMOLSD
41,COMOLSD
42,COMOLSD
43,COMOLSD
44,COMOLSD
45,MOEAD
46,COMOLSD
47,COMOLSD
48,MOEAD
49,MOEAD
50,COMOLSD
51,COMOLSD
52,COMOLSD
53,COMOLSD
54,COMOLSD
55,COMOLSD
56,MOEAD
57,MOEAD
58,COMOLSD
59,COMOLSD
60,COMOLSD
61,MOEAD
62,COMOLSD
63,MOEAD
64,MOEAD
65,MOEAD
66,MOEAD
67,COMOLSD
68,COMOLSD
69,MOEAD
70,COMOLSD
71,COMOLSD
72,MOEAD
73,COMOLSD
74,MOEAD
75,COMOLSD
76,COMOLSD
77,MOEAD
78,COMOLSD
79,MOEAD
80,MOEAD
81,COMOLSD
82,COMOLSD
83,MOEAD
84,COMOLSD
85,COMOLSD
86,COMOLSD
87,MOEAD
88,COMOLSD
89,COMOLSD
90,COMOLSD
91,MOEAD
92,MOEAD
93,COMOLSD
94,MOEAD
95,COMOLSD
96,COMOLSD
97,MOEAD
98,MOEAD
99,COMOLSD
