Fold,SBS_Best_Models
0,MOEAD
1,COMOLSD
2,COMOLSD
3,MOEAD
4,COMOLSD
5,COMOLSD
6,MOEAD
7,MOEAD
8,MOEAD
9,COMOLSD
10,MOEAD
11,COMOLSD
12,COMOLSD
13,COMOLSD
14,MOEAD
15,MOEAD
16,COMOLSD
17,MOEAD
18,COMOLSD
19,COMOLSD
20,COMOLSD
21,COMOLSD
22,MOEAD
23,COMOLSD
24,COMOLSD
25,MOEAD
26,MOEAD
27,COMOLSD
28,COMOLSD
29,COMOLSD
30,COMOLSD
31,MOEAD
32,COMOLSD
33,COMOLSD
34,COMOLSD
35,COMOLSD
36,MOEAD
37,COMOLSD
38,COMOLSD
39,MOEAD
40,COMOLSD
41,COMOLSD
42,COMOLSD
43,COMOLSD
44,COMOLSD
45,COMOLSD
46,MOEAD
47,COMOLSD
48,COMOLSD
49,MOEAD
50,COMOLSD
51,COMOLSD
52,MOEAD
53,COMOLSD
54,COMOLSD
55,COMOLSD
56,MOEAD
57,MOEAD
58,MOEAD
59,COMOLSD
60,MOEAD
61,COMOLSD
62,MOEAD
63,COMOLSD
64,COMOLSD
65,COMOLSD
66,COMOLSD
67,MOEAD
68,MOEAD
69,COMOLSD
70,COMOLSD
71,COMOLSD
72,COMOLSD
73,COMOLSD
74,COMOLSD
75,COMOLSD
76,MOEAD
77,COMOLSD
78,COMOLSD
79,COMOLSD
80,COMOLSD
81,MOEAD
82,COMOLSD
83,COMOLSD
84,MOEAD
85,MOEAD
86,MOEAD
87,MOEAD
88,COMOLSD
89,COMOLSD
90,MOEAD
91,COMOLSD
92,MOEAD
93,COMOLSD
94,COMOLSD
95,COMOLSD
96,MOEAD
97,COMOLSD
98,MOEAD
99,MOEAD
