Feature,Importance
SUP_sd,0.23736816061476315
INF_avg,0.1204708107951348
SUP_avg,0.10470156737252902
INF_sk,0.10201754257705041
IND_sd,0.08210425120501233
INC_r1,0.06012480794824367
IND_sk,0.049769470762964625
SUP_sk,0.03715380662784777
INC_avg,0.03582960006880462
INF_sd,0.023832354830576333
INF_r1,0.022525328798507712
INC_kr,0.022220731994120838
INC_sd,0.020179461694229253
SUP_r1,0.015778697262973304
IND_kr,0.015457530676246879
IND_r1,0.01304048794750229
INF_kr,0.012884958893080192
IND_avg,0.011136920079553166
SUP_kr,0.007650917502607523
INC_sk,0.005752592348252031
