Feature,Importance
INF_sd,0.17291319511113595
INF_kr,0.14617930322060727
INC_sd,0.1394132410683834
INF_avg,0.09493450358281583
IND_avg,0.06839745455578457
INC_avg,0.067808557061428
INC_r1,0.06315557840733423
INC_kr,0.059562255901374615
INF_r1,0.0514935667785718
IND_sk,0.0280947303354761
IND_kr,0.024919049400635575
SUP_avg,0.017943997711442786
INF_sk,0.015363772225249895
IND_r1,0.011773260359755244
INC_sk,0.010647682535017435
IND_sd,0.008705782153901638
SUP_r1,0.006321693289564501
SUP_sd,0.005245512320395158
SUP_kr,0.003791348961511081
SUP_sk,0.0033355150196150147
