Fold,SBS_Best_Models
0,COMOLSD
1,COMOLSD
2,COMOLSD
3,COMOLSD
4,COMOLSD
5,MOEAD
6,COMOLSD
7,COMOLSD
8,COMOLSD
9,COMOLSD
10,COMOLSD
11,MOEAD
12,COMOLSD
13,COMOLSD
14,MOEAD
15,COMOLSD
16,COMOLSD
17,MOEAD
18,MOEAD
19,COMOLSD
20,COMOLSD
21,MOEAD
22,MOEAD
23,MOEAD
24,MOEAD
25,MOEAD
26,COMOLSD
27,MOEAD
28,MOEAD
29,COMOLSD
30,MOEAD
31,MOEAD
32,MOEAD
33,COMOLSD
34,MOEAD
35,MOEAD
36,MOEAD
37,COMOLSD
38,COMOLSD
39,MOEAD
40,COMOLSD
41,MOEAD
42,MOEAD
43,MOEAD
44,MOEAD
45,COMOLSD
46,MOEAD
47,MOEAD
48,COMOLSD
49,COMOLSD
50,MOEAD
51,MOEAD
52,COMOLSD
53,MOEAD
54,MOEAD
55,COMOLSD
56,MOEAD
57,MOEAD
58,COMOLSD
59,COMOLSD
60,MOEAD
61,MOEAD
62,MOEAD
63,COMOLSD
64,MOEAD
65,COMOLSD
66,COMOLSD
67,COMOLSD
68,COMOLSD
69,MOEAD
70,COMOLSD
71,MOEAD
72,MOEAD
73,COMOLSD
74,COMOLSD
75,COMOLSD
76,MOEAD
77,COMOLSD
78,MOEAD
79,COMOLSD
80,MOEAD
81,MOEAD
82,MOEAD
83,COMOLSD
84,MOEAD
85,MOEAD
86,MOEAD
87,MOEAD
88,MOEAD
89,COMOLSD
90,COMOLSD
91,COMOLSD
92,COMOLSD
93,MOEAD
94,COMOLSD
95,MOEAD
96,MOEAD
97,COMOLSD
98,COMOLSD
99,MOEAD
