Fold,SBS_Best_Models
0,COMOLSD
1,COMOLSD
2,MOEAD
3,COMOLSD
4,COMOLSD
5,MOEAD
6,MOEAD
7,COMOLSD
8,COMOLSD
9,MOEAD
10,MOEAD
11,MOEAD
12,COMOLSD
13,MOEAD
14,MOEAD
15,MOEAD
16,COMOLSD
17,COMOLSD
18,COMOLSD
19,COMOLSD
20,MOEAD
21,COMOLSD
22,COMOLSD
23,MOEAD
24,COMOLSD
25,COMOLSD
26,COMOLSD
27,COMOLSD
28,MOEAD
29,MOEAD
30,MOEAD
31,COMOLSD
32,MOEAD
33,COMOLSD
34,COMOLSD
35,COMOLSD
36,COMOLSD
37,COMOLSD
38,MOEAD
39,COMOLSD
40,COMOLSD
41,COMOLSD
42,COMOLSD
43,COMOLSD
44,COMOLSD
45,MOEAD
46,MOEAD
47,MOEAD
48,COMOLSD
49,COMOLSD
50,MOEAD
51,MOEAD
52,COMOLSD
53,COMOLSD
54,COMOLSD
55,COMOLSD
56,MOEAD
57,COMOLSD
58,MOEAD
59,COMOLSD
60,MOEAD
61,COMOLSD
62,MOEAD
63,MOEAD
64,COMOLSD
65,COMOLSD
66,COMOLSD
67,MOEAD
68,COMOLSD
69,MOEAD
70,COMOLSD
71,COMOLSD
72,MOEAD
73,COMOLSD
74,MOEAD
75,MOEAD
76,COMOLSD
77,COMOLSD
78,COMOLSD
79,COMOLSD
80,COMOLSD
81,COMOLSD
82,COMOLSD
83,COMOLSD
84,COMOLSD
85,COMOLSD
86,COMOLSD
87,MOEAD
88,COMOLSD
89,MOEAD
90,MOEAD
91,COMOLSD
92,COMOLSD
93,COMOLSD
94,COMOLSD
95,MOEAD
96,COMOLSD
97,MOEAD
98,COMOLSD
99,COMOLSD
