Feature,Importance
INF_sd,0.2147394063865411
INC_sd,0.17039720987556467
INC_avg,0.10206551842558388
IND_avg,0.09746890543832581
INC_sk,0.07187503380185545
INF_avg,0.050068018599368304
INC_kr,0.043126550635202064
IND_r1,0.04244431899194722
IND_kr,0.04222188399684138
IND_sd,0.026396821973156473
INF_kr,0.024879361182846633
INC_r1,0.024525578383046902
INF_r1,0.01691818568651189
SUP_sd,0.016842455695182158
INF_sk,0.016383740627362104
SUP_sk,0.011127512507371838
SUP_kr,0.011108666483183888
SUP_r1,0.007144163466630077
IND_sk,0.005815939721946502
SUP_avg,0.004450728121531655
