Fold,SBS_Best_Models
0,COMOLSD
1,MOEAD
2,COMOLSD
3,COMOLSD
4,COMOLSD
5,MOEAD
6,MOEAD
7,MOEAD
8,MOEAD
9,MOEAD
10,MOEAD
11,MOEAD
12,MOEAD
13,COMOLSD
14,MOEAD
15,MOEAD
16,COMOLSD
17,COMOLSD
18,COMOLSD
19,MOEAD
20,COMOLSD
21,COMOLSD
22,COMOLSD
23,COMOLSD
24,COMOLSD
25,MOEAD
26,MOEAD
27,MOEAD
28,MOEAD
29,COMOLSD
30,MOEAD
31,MOEAD
32,MOEAD
33,MOEAD
34,COMOLSD
35,MOEAD
36,COMOLSD
37,COMOLSD
38,MOEAD
39,MOEAD
40,MOEAD
41,MOEAD
42,MOEAD
43,MOEAD
44,COMOLSD
45,COMOLSD
46,MOEAD
47,MOEAD
48,COMOLSD
49,COMOLSD
50,COMOLSD
51,COMOLSD
52,COMOLSD
53,MOEAD
54,COMOLSD
55,COMOLSD
56,MOEAD
57,COMOLSD
58,COMOLSD
59,COMOLSD
60,COMOLSD
61,MOEAD
62,MOEAD
63,MOEAD
64,COMOLSD
65,COMOLSD
66,MOEAD
67,COMOLSD
68,COMOLSD
69,MOEAD
70,COMOLSD
71,COMOLSD
72,MOEAD
73,COMOLSD
74,MOEAD
75,MOEAD
76,MOEAD
77,MOEAD
78,COMOLSD
79,COMOLSD
80,COMOLSD
81,MOEAD
82,MOEAD
83,MOEAD
84,COMOLSD
85,MOEAD
86,COMOLSD
87,MOEAD
88,MOEAD
89,COMOLSD
90,MOEAD
91,MOEAD
92,MOEAD
93,COMOLSD
94,MOEAD
95,MOEAD
96,MOEAD
97,COMOLSD
98,MOEAD
99,COMOLSD
