Feature,Importance
INC_avg,0.1181010858886278
INF_sd,0.11710091595860134
INF_avg,0.11500770481092175
SUP_avg,0.08660154421239614
SUP_sd,0.08249999933543252
IND_r1,0.07243015224907695
IND_avg,0.06895191058927079
INF_r1,0.06542342293528514
SUP_sk,0.042797134339646055
INC_sd,0.03160319978115312
SUP_r1,0.030341571410797883
IND_sd,0.022613948883168984
INC_r1,0.02235288974598845
INF_sk,0.020979344211408874
INC_kr,0.02039334675683112
IND_sk,0.020087899345727585
INF_kr,0.018950284798328765
IND_kr,0.01555988370843025
SUP_kr,0.015092386556362993
INC_sk,0.013111374482543372
