Feature,Importance
INF_sd,0.19518498037667714
IND_avg,0.12707534179749896
INC_sd,0.06238002568732225
SUP_sd,0.06069208280692409
INC_r1,0.059811220737025564
INF_avg,0.05559323561234293
IND_kr,0.051734647173638265
INC_avg,0.04803900302944017
INF_r1,0.047235871198833615
INF_kr,0.04017297120374409
SUP_sk,0.03955690127061687
IND_sd,0.036970853525370544
INC_kr,0.03066898545363263
SUP_avg,0.027158658715279595
IND_r1,0.026593111491627283
SUP_r1,0.02482462534869196
SUP_kr,0.024073362883884463
IND_sk,0.0159644841107997
INC_sk,0.013538055931535252
INF_sk,0.012731581645114587
