Fold,SBS_Best_Models
0,COMOLSD
1,COMOLSD
2,COMOLSD
3,COMOLSD
4,MOEAD
5,COMOLSD
6,COMOLSD
7,MOEAD
8,MOEAD
9,MOEAD
10,COMOLSD
11,COMOLSD
12,COMOLSD
13,COMOLSD
14,COMOLSD
15,COMOLSD
16,MOEAD
17,COMOLSD
18,COMOLSD
19,COMOLSD
20,MOEAD
21,COMOLSD
22,COMOLSD
23,COMOLSD
24,COMOLSD
25,COMOLSD
26,COMOLSD
27,COMOLSD
28,COMOLSD
29,COMOLSD
30,COMOLSD
31,COMOLSD
32,COMOLSD
33,COMOLSD
34,COMOLSD
35,COMOLSD
36,COMOLSD
37,COMOLSD
38,COMOLSD
39,COMOLSD
40,COMOLSD
41,MOEAD
42,COMOLSD
43,COMOLSD
44,COMOLSD
45,MOEAD
46,MOEAD
47,COMOLSD
48,COMOLSD
49,MOEAD
50,MOEAD
51,COMOLSD
52,MOEAD
53,MOEAD
54,COMOLSD
55,COMOLSD
56,MOEAD
57,MOEAD
58,MOEAD
59,MOEAD
60,MOEAD
61,COMOLSD
62,COMOLSD
63,MOEAD
64,COMOLSD
65,COMOLSD
66,COMOLSD
67,COMOLSD
68,COMOLSD
69,MOEAD
70,COMOLSD
71,COMOLSD
72,COMOLSD
73,COMOLSD
74,COMOLSD
75,COMOLSD
76,COMOLSD
77,COMOLSD
78,COMOLSD
79,COMOLSD
80,COMOLSD
81,MOEAD
82,COMOLSD
83,COMOLSD
84,COMOLSD
85,COMOLSD
86,COMOLSD
87,COMOLSD
88,COMOLSD
89,COMOLSD
90,MOEAD
91,COMOLSD
92,COMOLSD
93,COMOLSD
94,COMOLSD
95,COMOLSD
96,COMOLSD
97,MOEAD
98,COMOLSD
99,COMOLSD
