Feature,Importance
SUP_avg,0.13001334074686377
SUP_sd,0.11221107085456175
INC_avg,0.10113579652908136
INF_sd,0.09685902837095214
IND_avg,0.07854119726778196
INF_avg,0.06902941942280584
INC_sd,0.06880576798575232
SUP_kr,0.04752852453849653
INC_sk,0.044782459177539806
INF_sk,0.03861127693426042
SUP_r1,0.034470857901656375
IND_sk,0.031487931951169
INF_kr,0.023276700137452023
IND_r1,0.022402850317001954
INC_r1,0.019492342111119748
SUP_sk,0.01788474019126889
IND_kr,0.017482110436503766
INF_r1,0.017434775500458834
INC_kr,0.015454201297320114
IND_sd,0.013095608327953352
