Feature,Importance
INF_avg,0.18126355087261137
SUP_avg,0.12286038669404005
INF_sd,0.12164286372243202
INF_r1,0.07387871382272942
INC_avg,0.0599440161585486
IND_avg,0.056273801650805776
INC_sk,0.05031510804931481
IND_sd,0.045215405205858546
INF_sk,0.043050365231640735
SUP_r1,0.03352842266227102
SUP_sk,0.03332169365039821
INC_sd,0.026858149418146723
IND_r1,0.026048828368109976
SUP_sd,0.024427281109616908
IND_kr,0.02162571279283125
IND_sk,0.019928741941922564
INC_kr,0.018774231574788133
INF_kr,0.01605245009614581
INC_r1,0.014371514588009292
SUP_kr,0.01061876238977894
