Feature,Importance
IND_avg,0.2746947211777439
SUP_sk,0.09097152389237437
INF_avg,0.07779689361595732
IND_sd,0.07260361182846115
INF_kr,0.06223069979853741
INF_sd,0.06179847587943481
INF_r1,0.06045645104332112
SUP_kr,0.04180203892671879
IND_sk,0.03461103529310335
SUP_r1,0.03438475297890218
IND_kr,0.03428761132652781
SUP_avg,0.03273960069214402
INC_avg,0.030341130110385008
INC_kr,0.023519195548579012
INC_sk,0.02346614759293161
INC_r1,0.014325186779864883
IND_r1,0.014201540358268308
INF_sk,0.006363866633633577
SUP_sd,0.005833879660360563
INC_sd,0.0035716368627508256
