Feature,Importance
INF_sd,0.1935538557815951
INC_sd,0.14466081710185488
INC_avg,0.12084795100613922
IND_avg,0.10910382112712391
INC_sk,0.0824304380339752
INF_avg,0.06508904817617718
INC_kr,0.038616925437291144
IND_kr,0.034965893275553606
INF_kr,0.029695384228867507
INC_r1,0.02841378591505265
IND_sd,0.027801998930405344
IND_r1,0.02766021247580525
SUP_sd,0.020744649483418125
INF_sk,0.019255188391206494
INF_r1,0.01910056188111618
SUP_kr,0.010857067796530345
SUP_sk,0.008968029166907535
SUP_avg,0.007222983951591532
SUP_r1,0.0057237981386815935
IND_sk,0.0052875897007073755
