Feature,Importance
INF_sd,0.20398925422923728
INF_kr,0.17842533433798646
INC_sd,0.09578233243700626
INC_avg,0.07863057357491939
INF_avg,0.07675948461429567
IND_avg,0.07018619919805799
INF_r1,0.06473322595309283
INC_r1,0.06439395425844559
IND_kr,0.03186252638738827
IND_sk,0.03158198554499669
INC_kr,0.029534245133227343
SUP_r1,0.016319731051715337
SUP_avg,0.015378481247602594
IND_r1,0.012100787620137807
INF_sk,0.009841936833360133
INC_sk,0.008342643575002891
IND_sd,0.006517283962403048
SUP_sd,0.002718285428243464
SUP_sk,0.0015356192188442199
SUP_kr,0.0013661153940368392
