Feature,Importance
INF_avg,0.21839397680948422
INF_sd,0.17595065445420932
SUP_avg,0.16648608359166828
INC_r1,0.11310641308567196
INC_sd,0.04207249089376639
IND_avg,0.041975462488930804
SUP_sk,0.036556112310133476
IND_kr,0.03537840957462027
SUP_sd,0.026732594518150098
INC_avg,0.025544908384476494
IND_sd,0.023964924493672764
SUP_r1,0.019011735576576937
IND_sk,0.016502095281077534
INF_r1,0.015162267767793778
INC_kr,0.012823963310289661
INF_kr,0.008713993223961951
INC_sk,0.008245782937885695
INF_sk,0.004711290754123144
IND_r1,0.00441439487428874
SUP_kr,0.004252445669218539
