Feature,Importance
IND_sd,0.12598954141396992
INF_sd,0.11301494219288852
INC_sd,0.10991145474402657
INC_sk,0.08411464321661036
SUP_r1,0.0805092491281651
IND_kr,0.06768333345069256
INC_avg,0.06462511972893506
IND_sk,0.058697548087175956
INC_r1,0.049267547484217286
INF_avg,0.04745522657094918
IND_avg,0.046357694604071756
INF_sk,0.03832939711315783
INC_kr,0.0242030691742782
IND_r1,0.02053622610894519
SUP_avg,0.01685075910106708
SUP_kr,0.014796964458070267
SUP_sk,0.01446227883695659
INF_kr,0.011353247906460109
SUP_sd,0.006812046515676862
INF_r1,0.00502971016368561
